snapshot_date,snapshot_label,season,game_id,cfbd_game_id,game_date,game_week,away_team,home_team,market_spread_home,market_total,market_spread_open_home,market_total_open,projected_margin_home,model_spread_home,projected_total,market_spread_book,market_total_book,market_books_available,market_spread_last_update,market_total_last_update,market_line_source
2026-07-13,Preseason,2026,g71,401858433,2026-09-05,1,Boise State,Oregon,-24.5,53.5,,53.5,24.367,-24.367,53.0,fanduel,fanduel,"1xbet,ballybet,betfairsportsbook,betmgm,betonline,betparx,betrivers,bovada,caesars,casumo,coolbet,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,paddypower,pointsbet,sportsbet,tabtouch,unibet,virginbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g72,401858434,2026-09-05,1,Marshall,Penn State,-23.5,53.5,,54.5,26.667,-26.667,58.0,fanduel,fanduel,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,pointsbet,sportsbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g73,401858207,2026-09-05,1,Miami-OH,Pittsburgh,-15.5,50.5,,50.5,16.433,-16.433,48.2,fanduel,fanduel,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,pointsbet,sportsbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g74,401858435,2026-09-05,1,Indiana State,Purdue,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g75,401862697,2026-09-05,1,HCU,Rice,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g76,401866411,2026-09-05,1,MVSU,Sacramento State,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g77,401860879,2026-09-05,1,Portland State,San Diego State,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g78,401868316,2026-09-05,1,Southeastern La.,South Alabama,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g79,401856665,2026-09-05,1,Kent State,South Carolina,-34.5,50.5,,52.5,34.333,-34.333,49.9,fanduel,fanduel,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,sportsbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g80,401862699,2026-09-05,1,Florida International,South Florida,-11.5,55.5,,54.5,14.333,-14.333,57.0,fanduel,fanduel,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,pointsbet,sportsbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g81,401868356,2026-09-05,1,Alcorn State,Southern Miss,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g82,401858208,2026-09-05,1,New Hampshire,Syracuse,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g83,401862698,2026-09-05,1,Rhode Island,Temple,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g84,401856666,2026-09-05,1,Furman,Tennessee,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g85,401856667,2026-09-05,1,Texas State,Texas,-31.5,60.5,,59.5,33.4,-33.4,60.8,fanduel,fanduel,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,pointsbet,sportsbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g86,401856668,2026-09-05,1,Missouri State,Texas A&M,-39.5,52.5,,52.5,39.467,-39.467,52.8,fanduel,fanduel,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,sportsbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g87,401856770,2026-09-05,1,Abilene Christian,Texas Tech,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g88,,2026-09-05,1,Sam Houston,Troy,-17.5,52.5,,50.5,17.6,-17.6,53.8,fanduel,fanduel,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,pointsbet,sportsbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g89,401856772,2026-09-05,1,Oklahoma State,Tulsa,13.5,60.5,,61.5,-13.967,13.967,54.3,fanduel,fanduel,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,pointsbet,sportsbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g90,401858436,2026-09-05,1,Fresno State,USC,-23.5,50.5,,51.5,21.567,-21.567,50.9,fanduel,fanduel,"1xbet,betonline,betsson,bovada,caesars,coolbet,draftkings,fanduel,hardrockbet,lowvig,nordicbet,pointsbet,sportsbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g91,401862700,2026-09-05,1,UTRGV,UTSA,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g92,401860880,2026-09-05,1,Idaho State,Utah State,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g93,401856669,2026-09-05,1,Austin Peay,Vanderbilt,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g94,401858211,2026-09-05,1,VMI,Virginia Tech,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g95,401858437,2026-09-05,1,Washington State,Washington,-21.5,50.5,,50.5,19.367,-19.367,47.5,fanduel,fanduel,"ballybet,betmgm,betonline,betparx,betrivers,bovada,casumo,coolbet,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,pointsbet,sportsbet,tabtouch,unibet,virginbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g96,401856780,2026-09-05,1,Coastal Carolina,West Virginia,-18.5,58.5,,57.5,18.467,-18.467,53.7,fanduel,fanduel,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,pointsbet,sportsbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g97,401858438,2026-09-06,1,Wisconsin,Notre Dame,-20.5,47.5,,47.5,21.933,-21.933,47.0,fanduel,fanduel,"1xbet,ballybet,betfairsportsbook,betmgm,betonline,betparx,betrivers,bovada,caesars,casumo,coolbet,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,paddypower,pointsbet,sportsbet,tabtouch,unibet,virginbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
