market,model_id,checkpoint,threshold,existing_roi,recomputed_roi,difference
spread,spread_4src_25_25_25_25_v1,SAT_11PM_ET,2.0,0.0846940852680756,0.0846940852680757,9.71445146547012e-17
spread,spread_4src_25_25_25_25_v1,SAT_11PM_ET,2.5,0.1313442813163561,0.13134428131635617,8.326672684688674e-17
spread,spread_4src_25_25_25_25_v1,SAT_11PM_ET,3.0,0.1266384518043373,0.1266384518043374,8.326672684688674e-17
spread,spread_4src_25_25_25_25_v1,SAT_11PM_ET,3.5,0.0776133284308529,0.07761332843085293,2.7755575615628914e-17
spread,spread_4src_25_25_25_25_v1,SAT_11PM_ET,4.0,0.0811154725937818,0.08111547259378185,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,SAT_11PM_ET,4.5,-0.0541922110498471,-0.054192211049847144,-4.163336342344337e-17
spread,spread_4src_25_25_25_25_v1,SAT_11PM_ET,5.0,-0.0820448904654545,-0.08204489046545449,1.3877787807814457e-17
spread,spread_4src_25_25_25_25_v1,SAT_11PM_ET,6.0,-0.0049715967973312,-0.004971596797331259,-5.898059818321144e-17
spread,spread_4src_25_25_25_25_v1,SAT_11PM_ET,7.0,0.1317154596815613,0.13171545968156143,1.3877787807814457e-16
spread,spread_4src_25_25_25_25_v1,SAT_11PM_ET,8.0,-0.0454545454545454,-0.045454545454545414,-1.3877787807814457e-17
spread,spread_4src_25_25_25_25_v1,SAT_11PM_ET,9.0,0.2727272727272727,0.27272727272727276,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,SAT_11PM_ET,10.0,,,
spread,spread_4src_25_25_25_25_v1,SUN_12PM_ET,0.5,0.0903685315656088,0.09036853156560884,4.163336342344337e-17
spread,spread_4src_25_25_25_25_v1,SUN_12PM_ET,1.0,0.1039728544568895,0.10397285445688959,8.326672684688674e-17
spread,spread_4src_25_25_25_25_v1,SUN_12PM_ET,1.5,0.108275598317106,0.10827559831710606,6.938893903907228e-17
spread,spread_4src_25_25_25_25_v1,SUN_12PM_ET,2.0,0.1504775621829334,0.15047756218293346,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,SUN_12PM_ET,2.5,0.2107092799897816,0.21070927998978162,2.7755575615628914e-17
spread,spread_4src_25_25_25_25_v1,SUN_12PM_ET,3.0,0.2192280447088564,0.21922804470885648,8.326672684688674e-17
spread,spread_4src_25_25_25_25_v1,SUN_12PM_ET,3.5,0.1925383307407518,0.19253833074075183,2.7755575615628914e-17
spread,spread_4src_25_25_25_25_v1,SUN_12PM_ET,4.0,0.2500432582137845,0.2500432582137845,0.0
spread,spread_4src_25_25_25_25_v1,SUN_12PM_ET,4.5,0.2869652929691736,0.2869652929691737,1.1102230246251565e-16
spread,spread_4src_25_25_25_25_v1,SUN_12PM_ET,5.0,0.3454332618097225,0.3454332618097225,0.0
