game_id,season,week,actual_total_points,closing_total,theodds_event_id,sp_plus,sp_plus_snapshot_timestamp,massey_total,away_pred,home_pred,representative_date,massey_dual,sagarin,sagarin_snapshot_timestamp,sagarin_quality_status,dratings,source_tier,source_file,source_field,archive_datetime_utc,game_datetime_utc,pregame_minutes,provenance_safe,dr_archive_ts,kickoff_ts,primary_common_components,dratings_common_components,BASELINE_40_SP_40_MASSEY_20_SAGARIN,DRATINGS_40_SP_40_MASSEY_20_DRATINGS,CONTROL_50_SP_50_MASSEY,checkpoint,best_us_over_total,best_us_under_total,checkpoint_timestamp_utc,checkpoint_ts,dratings_available_by_checkpoint,model_total,over_edge,under_edge,side,edge,bet_line,result,profit_flat_110,clv,next_same_side_edge,next_checkpoint_movement,next_side,next_edge_magnitude,edge_decay,signal_strengthened,signal_reversed,model,clv_gt_10,clv_gt_15,clv_gt_20,edge_gt_10,edge_gt_15,edge_gt_20
401405079,2022,2,57,68.5,8b9e632b5ad7fc7142ca8b0b7dd5a953,63.6,,61.5,14.0,48.0,2022-09-10,61.75,40.61,20220908142538.0,research_grade,,,,,,,,,,,True,False,58.262,,62.675,SUN_9PM_ET,68.5,68.5,2022-09-05T01:00:00Z,2022-09-05 01:00:00+00:00,False,58.262,-10.238,10.238,UNDER,10.238,68.5,W,0.9090909090909092,0.0,10.238,0.0,UNDER,10.238,0.0,False,False,BASELINE_40_SP_40_MASSEY_20_SAGARIN,False,False,False,True,False,False
401405079,2022,2,57,68.5,8b9e632b5ad7fc7142ca8b0b7dd5a953,63.6,,61.5,14.0,48.0,2022-09-10,61.75,40.61,20220908142538.0,research_grade,,,,,,,,,,,True,False,58.262,,62.675,CLOSE,68.5,68.5,2022-09-10T16:00:00.000Z,2022-09-10 16:00:00+00:00,False,58.262,-10.238,10.238,UNDER,10.238,68.5,W,0.9090909090909092,0.0,,,,,,False,False,BASELINE_40_SP_40_MASSEY_20_SAGARIN,False,False,False,True,False,False
401403989,2022,3,61,57.5,3eeb7fbbb117db37f1bbb0c17e220157,56.1,,61.5,28.0,31.0,2022-09-17,60.25,66.55,20220914090204.0,research_grade,,,,,,,,,,,True,False,59.85000000000001,,58.175,SUN_2PM_ET,49.5,49.5,2022-09-11T18:00:00Z,2022-09-11 18:00:00+00:00,False,59.85000000000001,10.350000000000009,-10.350000000000009,OVER,10.350000000000009,49.5,W,0.9090909090909092,8.0,3.3500000000000085,7.0,OVER,3.3500000000000085,7.0,False,False,BASELINE_40_SP_40_MASSEY_20_SAGARIN,False,False,False,True,False,False
401405087,2022,3,61,73.5,1de736bb5d1c45558e43d9b154af2e5a,63.05,,64.5,31.0,34.0,2022-09-17,64.75,53.16,20220914090204.0,research_grade,,,,,,,,,,,True,False,61.752,,63.9,CLOSE,73.5,73.5,2022-09-17T23:30:00.000Z,2022-09-17 23:30:00+00:00,False,61.752,-11.747999999999998,11.747999999999998,UNDER,11.747999999999998,73.5,W,0.9090909090909092,0.0,,,,,,False,False,BASELINE_40_SP_40_MASSEY_20_SAGARIN,False,False,False,True,False,False
401403992,2022,3,62,71.5,c20c119db2af00537e95fa2c3f24f031,57.3,,60.5,27.0,35.0,2022-09-17,61.25,63.1,20220914090204.0,research_grade,,,,,,,,,,,True,False,60.040000000000006,,59.275,SUN_9PM_ET,69.5,71.5,2022-09-12T01:00:00Z,2022-09-12 01:00:00+00:00,False,60.040000000000006,-9.459999999999994,11.459999999999994,UNDER,11.459999999999994,71.5,W,0.9090909090909092,0.0,11.459999999999994,0.0,UNDER,11.459999999999994,0.0,False,False,BASELINE_40_SP_40_MASSEY_20_SAGARIN,False,False,False,True,False,False
401403992,2022,3,62,71.5,c20c119db2af00537e95fa2c3f24f031,57.3,,60.5,27.0,35.0,2022-09-17,61.25,63.1,20220914090204.0,research_grade,,,,,,,,,,,True,False,60.040000000000006,,59.275,CLOSE,71.5,71.5,2022-09-18T02:30:00.000Z,2022-09-18 02:30:00+00:00,False,60.040000000000006,-11.459999999999994,11.459999999999994,UNDER,11.459999999999994,71.5,W,0.9090909090909092,0.0,,,,,,False,False,BASELINE_40_SP_40_MASSEY_20_SAGARIN,False,False,False,True,False,False
401416617,2022,6,45,54.5,027e42c42e440ba6af2e36b5aee9dfdb,62.85,,64.5,34.0,28.0,2022-10-08,63.25,71.15,20221007231301.0,research_grade,53.8,A1_SATURDAY_PREGAME,dratings_saturday_boards_recovered_2021_2025.csv,Total Points,2022-10-06T23:22:17+00:00,2022-10-08T16:00:00+00:00,2437.7166666666667,True,2022-10-06 23:22:17+00:00,2022-10-08 16:00:00+00:00,True,True,64.67,61.2,63.05,SUN_9PM_ET,54.5,55.5,2022-10-03T01:00:00Z,2022-10-03 01:00:00+00:00,False,64.67,10.170000000000002,-9.170000000000002,OVER,10.170000000000002,54.5,L,-1.0,0.0,10.170000000000002,0.0,OVER,10.170000000000002,0.0,False,False,BASELINE_40_SP_40_MASSEY_20_SAGARIN,False,False,False,True,False,False
401416617,2022,6,45,54.5,027e42c42e440ba6af2e36b5aee9dfdb,62.85,,64.5,34.0,28.0,2022-10-08,63.25,71.15,20221007231301.0,research_grade,53.8,A1_SATURDAY_PREGAME,dratings_saturday_boards_recovered_2021_2025.csv,Total Points,2022-10-06T23:22:17+00:00,2022-10-08T16:00:00+00:00,2437.7166666666667,True,2022-10-06 23:22:17+00:00,2022-10-08 16:00:00+00:00,True,True,64.67,61.2,63.05,CLOSE,54.5,54.5,2022-10-08T16:00:00.000Z,2022-10-08 16:00:00+00:00,True,64.67,10.170000000000002,-10.170000000000002,OVER,10.170000000000002,54.5,L,-1.0,0.0,,,,,,False,False,BASELINE_40_SP_40_MASSEY_20_SAGARIN,False,False,False,True,False,False
401404012,2022,6,44,64.5,a73d1348c3a0c551ada840fe1b9f0c7c,52.05,,58.5,26.0,31.0,2022-10-08,57.75,44.91,20221007231301.0,research_grade,60.0,A1_SATURDAY_PREGAME,dratings_saturday_boards_recovered_2021_2025.csv,Total Points,2022-10-06T23:22:17+00:00,2022-10-08T23:30:00+00:00,2887.7166666666667,True,2022-10-06 23:22:17+00:00,2022-10-08 23:30:00+00:00,True,True,52.902,55.92,54.9,CLOSE,64.5,64.5,2022-10-08T23:30:00.000Z,2022-10-08 23:30:00+00:00,True,52.902,-11.598,11.598,UNDER,11.598,64.5,W,0.9090909090909092,0.0,,,,,,False,False,BASELINE_40_SP_40_MASSEY_20_SAGARIN,False,False,False,True,False,False
401404008,2022,6,71,72.0,7fb5a88edf7d10e5fcf6e15ec05cf7ff,61.45,,66.5,38.0,28.0,2022-10-08,66.25,75.82,20221007231301.0,research_grade,56.4,A1_SATURDAY_PREGAME,dratings_saturday_boards_recovered_2021_2025.csv,Total Points,2022-10-06T23:22:17+00:00,2022-10-09T01:00:00+00:00,2977.7166666666667,True,2022-10-06 23:22:17+00:00,2022-10-09 01:00:00+00:00,True,True,66.244,62.36,63.85,SUN_2PM_ET,56.5,56.5,2022-10-02T18:00:00Z,2022-10-02 18:00:00+00:00,False,66.244,9.744,-9.744,OVER,9.744,56.5,W,0.9090909090909092,15.5,9.744,0.0,OVER,9.744,0.0,False,False,BASELINE_40_SP_40_MASSEY_20_SAGARIN,True,True,False,False,False,False
