team,power_rank,power_rating,spplus,fpi,teamrankings,rating_source_count,rating_min,rating_max,rating_range,rating_stddev,rating_variance_tier,highest_source,lowest_source
Ole Miss,14,18.066666666666663,15.9,16.0,22.3,3,15.9,22.3,6.4,3.666515148384544,high,teamrankings,spplus
Delaware,107,-10.7,-13.0,-6.6,-12.5,3,-13.0,-6.6,6.4,3.5594943461115376,high,fpi,spplus
Nevada,118,-14.066666666666668,-12.2,-11.9,-18.1,3,-18.1,-11.9,6.200000000000001,3.4961884007206105,high,fpi,teamrankings
Northern Illinois,128,-17.76666666666667,-18.2,-14.5,-20.6,3,-20.6,-14.5,6.100000000000001,3.0730007050655455,high,fpi,teamrankings
Colorado,62,1.3333333333333333,0.9,4.5,-1.4,3,-1.4,4.5,5.9,2.9737742572921255,medium,fpi,teamrankings
Indiana,6,25.53333333333333,24.5,23.1,29.0,3,23.1,29.0,5.899999999999999,3.0827476921300794,medium,teamrankings,fpi
Buffalo,115,-13.066666666666668,-11.9,-10.8,-16.5,3,-16.5,-10.8,5.699999999999999,3.0237945256470935,medium,fpi,teamrankings
Ohio,108,-10.833333333333334,-13.6,-8.0,-10.9,3,-13.6,-8.0,5.6,2.800595174839329,medium,fpi,spplus
North Texas,98,-8.966666666666667,-11.8,-6.4,-8.7,3,-11.8,-6.4,5.4,2.7098585448936876,medium,fpi,spplus
Kansas State,32,8.566666666666666,10.4,5.1,10.2,3,5.1,10.4,5.300000000000001,3.003886371574886,medium,spplus,fpi
Kennesaw State,108,-10.833333333333334,-9.3,-9.0,-14.2,3,-14.2,-9.0,5.199999999999999,2.9194748386196667,medium,fpi,teamrankings
Kentucky,41,6.033333333333334,3.8,5.4,8.9,3,3.8,8.9,5.1000000000000005,2.6083200212652846,medium,teamrankings,spplus
Air Force,87,-5.533333333333334,-2.4,-6.8,-7.4,3,-7.4,-2.4,5.0,2.7300793639257694,medium,spplus,teamrankings
UL-Monroe,134,-21.133333333333336,-24.3,-19.3,-19.8,3,-24.3,-19.3,5.0,2.753785273643051,medium,fpi,spplus
Oklahoma,12,19.0,17.2,17.8,22.0,3,17.2,22.0,4.800000000000001,2.615339366124404,medium,teamrankings,spplus
Boston College,81,-3.466666666666667,-1.5,-2.7,-6.2,3,-6.2,-1.5,4.7,2.4419937209856486,medium,spplus,teamrankings
Texas,4,26.333333333333332,23.7,26.9,28.4,3,23.7,28.4,4.699999999999999,2.4006943440041115,medium,teamrankings,spplus
Fresno State,70,-0.9333333333333332,-2.3,-2.5,2.0,3,-2.5,2.0,4.5,2.5423086620891127,medium,teamrankings,fpi
Army,80,-3.266666666666666,-3.0,-5.6,-1.2,3,-5.6,-1.2,4.3999999999999995,2.2120880030716075,medium,teamrankings,fpi
Bowling Green,120,-14.9,-13.3,-13.7,-17.7,3,-17.7,-13.3,4.399999999999999,2.4331050121192876,medium,spplus,teamrankings
UTEP,130,-19.366666666666667,-20.5,-16.6,-21.0,3,-21.0,-16.6,4.399999999999999,2.4090108620206196,medium,fpi,teamrankings
Miami-FL,7,22.7,21.0,21.8,25.3,3,21.0,25.3,4.300000000000001,2.2869193252058544,medium,teamrankings,spplus
Utah,28,11.066666666666668,11.9,8.5,12.8,3,8.5,12.8,4.300000000000001,2.2678918257565406,medium,teamrankings,fpi
Western Michigan,90,-6.5,-7.2,-4.0,-8.3,3,-8.3,-4.0,4.300000000000001,2.233830790368868,medium,fpi,teamrankings
West Virginia,61,1.8333333333333333,0.8,0.2,4.5,3,0.2,4.5,4.3,2.3288051299611423,medium,teamrankings,fpi
Kent State,132,-20.033333333333335,-20.1,-17.9,-22.1,3,-22.1,-17.9,4.200000000000003,2.100793500878499,medium,fpi,teamrankings
Florida Atlantic,101,-9.033333333333331,-7.1,-11.3,-8.7,3,-11.3,-7.1,4.200000000000001,2.11974841274462,medium,spplus,fpi
Cincinnati,57,3.066666666666667,4.5,4.4,0.3,3,0.3,4.5,4.2,2.396525262402492,medium,spplus,teamrankings
Oregon,2,27.7,28.3,25.3,29.5,3,25.3,29.5,4.199999999999999,2.1633307652783933,medium,teamrankings,fpi
Louisville,27,11.4,11.0,9.5,13.7,3,9.5,13.7,4.199999999999999,2.1283796653792755,medium,teamrankings,fpi
Colorado State,106,-10.466666666666669,-8.3,-12.4,-10.7,3,-12.4,-8.3,4.1,2.05993527406405,medium,spplus,fpi
USC,13,18.23333333333333,16.8,17.0,20.9,3,16.8,20.9,4.099999999999998,2.3115651263447736,medium,teamrankings,spplus
Michigan,15,17.266666666666666,16.1,15.9,19.8,3,15.9,19.8,3.9000000000000004,2.196208854670551,medium,teamrankings,fpi
Texas State,83,-4.066666666666666,-5.9,-4.3,-2.0,3,-5.9,-2.0,3.9000000000000004,1.9604421270043484,medium,teamrankings,spplus
Utah State,88,-6.066666666666666,-7.7,-6.7,-3.8,3,-7.7,-3.8,3.9000000000000004,2.0256686138984663,medium,teamrankings,spplus
Hawaii,85,-4.2,-3.9,-2.4,-6.3,3,-6.3,-2.4,3.9,1.9672315572906003,medium,fpi,teamrankings
Arizona State,40,6.633333333333333,6.4,4.8,8.7,3,4.8,8.7,3.8999999999999995,1.960442127004348,medium,teamrankings,fpi
Texas Tech,8,22.3,23.1,20.0,23.8,3,20.0,23.8,3.8000000000000007,2.0223748416156693,medium,teamrankings,fpi
Duke,53,3.7,5.7,3.5,1.9,3,1.9,5.7,3.8000000000000003,1.9078784028338915,medium,spplus,teamrankings
Oklahoma State,43,5.699999999999999,7.1,3.3,6.7,3,3.3,7.1,3.8,2.0880613017821097,medium,spplus,fpi
UTSA,79,-2.766666666666667,-1.5,-5.3,-1.5,3,-5.3,-1.5,3.8,2.1939310229205775,medium,spplus,fpi
Florida,17,15.3,14.9,13.6,17.4,3,13.6,17.4,3.799999999999999,1.931320791582796,medium,teamrankings,fpi
Wyoming,113,-12.0,-9.6,-13.1,-13.3,3,-13.3,-9.6,3.700000000000001,2.0808652046684815,medium,spplus,teamrankings
Oregon State,96,-8.133333333333333,-6.3,-8.1,-10.0,3,-10.0,-6.3,3.7,1.8502252115170559,medium,spplus,teamrankings
Washington State,82,-3.666666666666666,-5.3,-4.1,-1.6,3,-5.3,-1.6,3.6999999999999997,1.887679351302369,medium,teamrankings,spplus
UNLV,63,1.2666666666666666,2.8,1.8,-0.8,3,-0.8,2.8,3.5999999999999996,1.8583146486355138,medium,spplus,teamrankings
Ohio State,1,30.933333333333337,31.8,28.7,32.3,3,28.7,32.3,3.599999999999998,1.9502136635080096,medium,teamrankings,fpi
Georgia,5,26.23333333333333,25.5,24.8,28.4,3,24.8,28.4,3.599999999999998,1.9087517736293866,medium,teamrankings,fpi
SMU,25,12.133333333333333,10.9,11.1,14.4,3,10.9,14.4,3.5,1.965536398374076,medium,teamrankings,spplus
Houston,31,8.633333333333333,8.2,7.1,10.6,3,7.1,10.6,3.5,1.78978583448784,medium,teamrankings,fpi
Pittsburgh,39,7.7,6.5,6.6,10.0,3,6.5,10.0,3.5,1.9924858845171276,medium,teamrankings,spplus
Western Kentucky,89,-6.2,-5.3,-4.9,-8.4,3,-8.4,-4.9,3.5,1.9157244060668017,medium,fpi,teamrankings
Alabama,11,19.966666666666665,18.2,20.1,21.6,3,18.2,21.6,3.400000000000002,1.7039170558842756,medium,teamrankings,spplus
Northwestern,54,3.6,4.6,1.4,4.8,3,1.4,4.8,3.4,1.9078784028338913,medium,teamrankings,fpi
Notre Dame,3,26.933333333333337,25.8,25.9,29.1,3,25.8,29.1,3.3000000000000007,1.877054430040146,medium,teamrankings,spplus
Iowa,22,12.7,13.6,10.6,13.9,3,10.6,13.9,3.3000000000000007,1.8248287590894663,medium,teamrankings,fpi
Missouri,20,14.133333333333333,14.8,12.2,15.4,3,12.2,15.4,3.200000000000001,1.7009801096230772,medium,teamrankings,fpi
California,58,2.866666666666667,3.7,0.9,4.0,3,0.9,4.0,3.1,1.7097758137642882,medium,teamrankings,fpi
East Carolina,77,-2.1,-2.0,-0.6,-3.7,3,-3.7,-0.6,3.1,1.5524174696260025,medium,fpi,teamrankings
Illinois,35,8.266666666666667,9.3,6.3,9.2,3,6.3,9.3,3.000000000000001,1.7039170558842744,medium,spplus,fpi
New Mexico,75,-2.033333333333333,-0.5,-3.5,-2.1,3,-3.5,-0.5,3.0,1.501110699893027,medium,spplus,fpi
Georgia Southern,105,-9.766666666666667,-8.9,-8.7,-11.7,3,-11.7,-8.7,3.0,1.6772994167212163,medium,fpi,teamrankings
Arizona,30,8.7,10.2,7.2,8.7,3,7.2,10.2,2.999999999999999,1.4999999999999996,low,spplus,fpi
Jacksonville State,98,-8.966666666666667,-7.7,-8.5,-10.7,3,-10.7,-7.7,2.999999999999999,1.5534906930308052,low,spplus,teamrankings
South Alabama,112,-11.533333333333331,-13.3,-10.5,-10.8,3,-13.3,-10.5,2.8000000000000007,1.5373136743466944,low,fpi,spplus
North Carolina,55,3.5999999999999996,3.8,4.9,2.1,3,2.1,4.9,2.8000000000000003,1.4106735979665885,low,fpi,teamrankings
Boise State,42,5.833333333333333,6.8,4.0,6.7,3,4.0,6.8,2.8,1.588500340992514,low,spplus,fpi
Maryland,60,2.5666666666666664,3.8,1.0,2.9,3,1.0,3.8,2.8,1.429452109492771,low,spplus,fpi
Tulsa,98,-8.966666666666667,-7.6,-9.0,-10.3,3,-10.3,-7.6,2.700000000000001,1.35030860670194,low,spplus,teamrankings
San Diego State,66,0.3999999999999999,-1.3,1.4,1.1,3,-1.3,1.4,2.7,1.4798648586948742,low,fpi,spplus
Texas A&M,9,21.0,20.3,20.0,22.7,3,20.0,22.7,2.6999999999999993,1.4798648586948735,low,teamrankings,fpi
Penn State,18,15.266666666666666,15.7,13.7,16.4,3,13.7,16.4,2.6999999999999993,1.40118997046558,low,teamrankings,fpi
TCU,37,7.966666666666666,9.1,6.4,8.4,3,6.4,9.1,2.6999999999999993,1.40118997046558,low,spplus,fpi
New Mexico State,125,-16.833333333333332,-16.4,-15.7,-18.4,3,-18.4,-15.7,2.6999999999999993,1.40118997046558,low,fpi,teamrankings
UAB,126,-17.266666666666666,-18.1,-15.5,-18.2,3,-18.2,-15.5,2.6999999999999993,1.530795000427338,low,fpi,teamrankings
Akron,129,-18.1,-19.5,-16.9,-17.9,3,-19.5,-16.9,2.6000000000000014,1.3114877048604008,low,fpi,spplus
Kansas,52,3.966666666666667,3.7,2.8,5.4,3,2.8,5.4,2.6000000000000005,1.3203534880225576,low,teamrankings,fpi
Mississippi State,48,4.8,3.9,4.1,6.4,3,3.9,6.4,2.5000000000000004,1.3892443989449808,low,teamrankings,spplus
NC State,47,4.933333333333334,4.9,3.7,6.2,3,3.7,6.2,2.5,1.2503332889007368,low,teamrankings,fpi
Arkansas State,104,-9.566666666666666,-8.5,-9.2,-11.0,3,-11.0,-8.5,2.5,1.2897028081435402,low,spplus,teamrankings
BYU,19,14.4,15.5,13.1,14.6,3,13.1,15.5,2.4000000000000004,1.2124355652982142,low,spplus,fpi
Virginia,38,7.833333333333333,6.6,7.9,9.0,3,6.6,9.0,2.4000000000000004,1.2013880860626736,low,teamrankings,spplus
Marshall,95,-8.0,-6.4,-8.8,-8.8,3,-8.8,-6.4,2.4000000000000004,1.385640646055102,low,spplus,fpi
Florida International,117,-13.766666666666666,-13.7,-12.6,-15.0,3,-15.0,-12.6,2.4000000000000004,1.2013880860626736,low,fpi,teamrankings
Eastern Michigan,122,-15.066666666666668,-15.0,-16.3,-13.9,3,-16.3,-13.9,2.4000000000000004,1.2013880860626736,low,teamrankings,fpi
Temple,103,-9.4,-8.7,-8.6,-10.9,3,-10.9,-8.6,2.3000000000000007,1.3000000000000005,low,fpi,teamrankings
Appalachian State,110,-10.933333333333332,-12.1,-9.8,-10.9,3,-12.1,-9.8,2.299999999999999,1.1503622617824927,low,fpi,spplus
Auburn,24,12.2,11.2,12.0,13.4,3,11.2,13.4,2.200000000000001,1.1135528725660049,low,teamrankings,spplus
LSU,10,20.76666666666667,20.2,20.0,22.1,3,20.0,22.1,2.1000000000000014,1.1590225767142484,low,teamrankings,fpi
Liberty,93,-7.533333333333334,-6.4,-7.7,-8.5,3,-8.5,-6.4,2.0999999999999996,1.0598742063723097,low,spplus,teamrankings
Florida State,33,8.466666666666667,8.8,9.3,7.3,3,7.3,9.3,2.000000000000001,1.0408329997330668,low,fpi,teamrankings
Virginia Tech,34,8.333333333333334,9.4,7.4,8.2,3,7.4,9.4,2.0,1.0066445913694335,low,spplus,fpi
Baylor,45,5.2,4.5,6.5,4.6,3,4.5,6.5,2.0,1.1269427669584646,low,fpi,spplus
Rutgers,64,0.8000000000000002,1.8,-0.2,0.8,3,-0.2,1.8,2.0,1.0,low,spplus,fpi
Purdue,73,-1.9666666666666668,-2.9,-0.9,-2.1,3,-2.9,-0.9,2.0,1.0066445913694333,low,fpi,spplus
Louisiana,102,-9.233333333333333,-9.1,-8.3,-10.3,3,-10.3,-8.3,2.0,1.0066445913694335,low,fpi,teamrankings
Iowa State,68,0.0333333333333333,1.0,-0.9,0.0,3,-0.9,1.0,1.9,0.9504384952922168,low,spplus,fpi
South Florida,75,-2.033333333333333,-2.8,-0.9,-2.4,3,-2.8,-0.9,1.9,1.0016652800877812,low,fpi,spplus
Clemson,23,12.6,12.8,13.4,11.6,3,11.6,13.4,1.8000000000000007,0.9165151389911684,low,fpi,teamrankings
Navy,65,0.4333333333333334,1.1,-0.7,0.9,3,-0.7,1.1,1.8,0.9865765724632494,low,spplus,fpi
Georgia Tech,44,5.333333333333333,6.0,4.2,5.8,3,4.2,6.0,1.7999999999999998,0.9865765724632494,low,spplus,fpi
Rice,119,-14.433333333333332,-14.7,-13.4,-15.2,3,-15.2,-13.4,1.799999999999999,0.9291573243177563,low,fpi,teamrankings
Tennessee,16,15.966666666666669,16.0,15.1,16.8,3,15.1,16.8,1.700000000000001,0.8504900548115388,low,teamrankings,fpi
Coastal Carolina,116,-13.233333333333334,-13.8,-12.1,-13.8,3,-13.8,-12.1,1.700000000000001,0.9814954576223645,low,fpi,spplus
Troy,92,-7.033333333333334,-6.0,-7.4,-7.7,3,-7.7,-6.0,1.7000000000000002,0.9073771725877467,low,spplus,teamrankings
Stanford,78,-2.733333333333333,-1.9,-3.3,-3.0,3,-3.3,-1.9,1.4,0.7371114795831993,low,spplus,fpi
Old Dominion,86,-4.933333333333333,-5.8,-4.4,-4.6,3,-5.8,-4.4,1.3999999999999995,0.7571877794400363,low,fpi,spplus
Louisiana Tech,97,-8.833333333333334,-8.3,-9.6,-8.6,3,-9.6,-8.3,1.299999999999999,0.6806859285554041,low,spplus,fpi
Wake Forest,56,3.1333333333333333,3.6,3.4,2.4,3,2.4,3.6,1.2000000000000002,0.6429100507328638,low,spplus,teamrankings
Central Florida,59,2.566666666666667,2.3,2.1,3.3,3,2.1,3.3,1.1999999999999997,0.6429100507328636,low,teamrankings,fpi
San Jose State,120,-14.9,-15.5,-14.3,-14.9,3,-15.5,-14.3,1.1999999999999993,0.5999999999999996,low,fpi,spplus
Nebraska,36,8.166666666666666,7.7,8.8,8.0,3,7.7,8.8,1.1000000000000005,0.568624070307733,low,fpi,spplus
Vanderbilt,29,9.6,10.0,9.0,9.8,3,9.0,10.0,1.0,0.5291502622129183,low,spplus,fpi
Memphis,71,-1.5,-1.1,-1.9,-1.5,3,-1.9,-1.1,0.7999999999999998,0.3999999999999999,low,spplus,fpi
Michigan State,67,0.1333333333333333,0.4,0.3,-0.3,3,-0.3,0.4,0.7,0.3785938897200183,low,spplus,teamrankings
Syracuse,69,-0.5666666666666667,-0.7,-0.8,-0.2,3,-0.8,-0.2,0.6000000000000001,0.32145502536643183,low,teamrankings,fpi
James Madison,72,-1.8666666666666665,-2.1,-2.0,-1.5,3,-2.1,-1.5,0.6000000000000001,0.3214550253664319,low,teamrankings,spplus
Arkansas,49,4.7,5.0,4.4,4.7,3,4.4,5.0,0.5999999999999996,0.2999999999999998,low,spplus,fpi
South Carolina,26,12.0,12.1,11.7,12.2,3,11.7,12.2,0.5,0.26457513110645914,low,teamrankings,fpi
Central Michigan,114,-12.6,-12.4,-12.8,-12.6,3,-12.8,-12.4,0.40000000000000036,0.20000000000000018,low,spplus,fpi
Connecticut,111,-11.1,-11.2,-11.2,-10.9,3,-11.2,-10.9,0.29999999999999893,0.17320508075688712,low,teamrankings,spplus
