team,preseason_rating,preseason_rank,baseline_as_of,spplus,spplus_snapshot_date,fpi,fpi_snapshot_date,teamrankings,teamrankings_snapshot_date,sagarin,sagarin_raw,sagarin_snapshot_date,sagarin_normalization_offset,formula
USC,17.299003623188405,14,2026-08-18,16.8,2026-08-18,17.0,2026-08-18,20.9,2026-08-18,14.49601449275363,83.43,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Michigan,15.939003623188404,15,2026-08-18,16.1,2026-08-18,15.9,2026-08-18,19.8,2026-08-18,11.956014492753624,80.89,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Penn State,15.831503623188404,16,2026-08-18,15.7,2026-08-18,13.7,2026-08-18,16.4,2026-08-18,17.526014492753617,86.46,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Tennessee,14.821503623188406,17,2026-08-18,16.0,2026-08-18,15.1,2026-08-18,16.8,2026-08-18,11.386014492753617,80.32,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Washington,14.266503623188406,18,2026-08-18,14.5,2026-08-18,9.9,2026-08-18,16.4,2026-08-18,16.266014492753627,85.2,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
BYU,14.029003623188403,19,2026-08-18,15.5,2026-08-18,13.1,2026-08-18,14.6,2026-08-18,12.916014492753618,81.85,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Iowa,13.809003623188405,20,2026-08-18,13.6,2026-08-18,10.6,2026-08-18,13.9,2026-08-18,17.136014492753617,86.07,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Missouri,13.489003623188404,21,2026-08-18,14.8,2026-08-18,12.2,2026-08-18,15.4,2026-08-18,11.556014492753619,80.49,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Florida,13.476503623188403,22,2026-08-18,14.9,2026-08-18,13.6,2026-08-18,17.4,2026-08-18,8.006014492753621,76.94,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Utah,12.766503623188406,23,2026-08-18,11.9,2026-08-18,8.5,2026-08-18,12.8,2026-08-18,17.86601449275362,86.8,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
SMU,12.616503623188406,24,2026-08-18,10.9,2026-08-18,11.1,2026-08-18,14.4,2026-08-18,14.066014492753624,83.0,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Clemson,12.046503623188404,25,2026-08-18,12.8,2026-08-18,13.4,2026-08-18,11.6,2026-08-18,10.386014492753617,79.32,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Auburn,11.674003623188408,26,2026-08-18,11.2,2026-08-18,12.0,2026-08-18,13.4,2026-08-18,10.096014492753625,79.03,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Vanderbilt,11.339003623188404,27,2026-08-18,10.0,2026-08-18,9.0,2026-08-18,9.8,2026-08-18,16.55601449275362,85.49,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Louisville,11.304003623188407,28,2026-08-18,11.0,2026-08-18,9.5,2026-08-18,13.7,2026-08-18,11.016014492753627,79.95,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
South Carolina,11.164003623188409,29,2026-08-18,12.1,2026-08-18,11.7,2026-08-18,12.2,2026-08-18,8.656014492753627,77.59,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Arizona,8.941503623188403,30,2026-08-18,10.2,2026-08-18,7.2,2026-08-18,8.7,2026-08-18,9.666014492753618,78.6,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Illinois,8.786503623188405,31,2026-08-18,9.3,2026-08-18,6.3,2026-08-18,9.2,2026-08-18,10.346014492753625,79.28,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Virginia,8.379003623188407,32,2026-08-18,6.6,2026-08-18,7.9,2026-08-18,9.0,2026-08-18,10.016014492753627,78.95,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Kansas State,8.206503623188407,33,2026-08-18,10.4,2026-08-18,5.1,2026-08-18,10.2,2026-08-18,7.126014492753626,76.06,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
TCU,8.069003623188406,34,2026-08-18,9.1,2026-08-18,6.4,2026-08-18,8.4,2026-08-18,8.376014492753626,77.31,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Florida State,8.066503623188407,35,2026-08-18,8.8,2026-08-18,9.3,2026-08-18,7.3,2026-08-18,6.866014492753621,75.8,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Pittsburgh,7.961503623188408,36,2026-08-18,6.5,2026-08-18,6.6,2026-08-18,10.0,2026-08-18,8.74601449275363,77.68,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Houston,7.849003623188407,37,2026-08-18,8.2,2026-08-18,7.1,2026-08-18,10.6,2026-08-18,5.4960144927536305,74.43,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Nebraska,7.196503623188406,38,2026-08-18,7.7,2026-08-18,8.8,2026-08-18,8.0,2026-08-18,4.286014492753623,73.22,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Arizona State,6.574003623188405,39,2026-08-18,6.4,2026-08-18,4.8,2026-08-18,8.7,2026-08-18,6.396014492753622,75.33,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Virginia Tech,6.029003623188405,40,2026-08-18,9.4,2026-08-18,7.4,2026-08-18,8.2,2026-08-18,-0.8839855072463791,68.05,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
NC State,5.994003623188406,41,2026-08-18,4.9,2026-08-18,3.7,2026-08-18,6.2,2026-08-18,9.176014492753623,78.11,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Georgia Tech,5.971503623188404,42,2026-08-18,6.0,2026-08-18,4.2,2026-08-18,5.8,2026-08-18,7.886014492753617,76.82,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Kentucky,5.451503623188406,43,2026-08-18,3.8,2026-08-18,5.4,2026-08-18,8.9,2026-08-18,3.7060144927536243,72.64,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Boise State,5.206503623188407,44,2026-08-18,6.8,2026-08-18,4.0,2026-08-18,6.7,2026-08-18,3.326014492753629,72.26,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Wisconsin,5.014003623188405,45,2026-08-18,1.8,2026-08-18,4.8,2026-08-18,8.4,2026-08-18,5.056014492753619,73.99,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Duke,4.719003623188405,46,2026-08-18,5.7,2026-08-18,3.5,2026-08-18,1.9,2026-08-18,7.7760144927536174,76.71,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Minnesota,4.579003623188404,47,2026-08-18,5.2,2026-08-18,0.6,2026-08-18,8.1,2026-08-18,4.416014492753618,73.35,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Arkansas,4.391503623188408,48,2026-08-18,5.0,2026-08-18,4.4,2026-08-18,4.7,2026-08-18,3.4660144927536294,72.4,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Baylor,4.106503623188408,49,2026-08-18,4.5,2026-08-18,6.5,2026-08-18,4.6,2026-08-18,0.8260144927536288,69.76,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Mississippi State,3.8540036231884063,50,2026-08-18,3.9,2026-08-18,4.1,2026-08-18,6.4,2026-08-18,1.0160144927536265,69.95,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Northwestern,3.711503623188407,51,2026-08-18,4.6,2026-08-18,1.4,2026-08-18,4.8,2026-08-18,4.046014492753628,72.98,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Wake Forest,3.594003623188405,52,2026-08-18,3.6,2026-08-18,3.4,2026-08-18,2.4,2026-08-18,4.97601449275362,73.91,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Kansas,3.451503623188407,53,2026-08-18,3.7,2026-08-18,2.8,2026-08-18,5.4,2026-08-18,1.906014492753627,70.84,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
UCLA,3.144003623188404,54,2026-08-18,5.1,2026-08-18,0.5,2026-08-18,8.2,2026-08-18,-1.2239855072463826,67.71,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Cincinnati,2.5915036231884048,55,2026-08-18,4.5,2026-08-18,4.4,2026-08-18,0.3,2026-08-18,1.166014492753618,70.1,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
California,1.8890036231884064,56,2026-08-18,3.7,2026-08-18,0.9,2026-08-18,4.0,2026-08-18,-1.0439855072463757,67.89,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
North Carolina,1.859003623188404,57,2026-08-18,3.8,2026-08-18,4.9,2026-08-18,2.1,2026-08-18,-3.363985507246383,65.57,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Iowa State,1.8190036231884057,58,2026-08-18,1.0,2026-08-18,-0.9,2026-08-18,0.0,2026-08-18,7.176014492753623,76.11,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Oklahoma State,1.6040036231884054,59,2026-08-18,7.1,2026-08-18,3.3,2026-08-18,6.7,2026-08-18,-10.683985507246376,58.25,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
James Madison,1.3815036231884066,60,2026-08-18,-2.1,2026-08-18,-2.0,2026-08-18,-1.5,2026-08-18,11.126014492753626,80.06,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Central Florida,1.3190036231884072,61,2026-08-18,2.3,2026-08-18,2.1,2026-08-18,3.3,2026-08-18,-2.423985507246371,66.51,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Rutgers,1.3165036231884053,62,2026-08-18,1.8,2026-08-18,-0.2,2026-08-18,0.8,2026-08-18,2.866014492753621,71.8,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Maryland,1.2465036231884057,63,2026-08-18,3.8,2026-08-18,1.0,2026-08-18,2.9,2026-08-18,-2.7139855072463774,66.22,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Navy,1.1990036231884078,64,2026-08-18,1.1,2026-08-18,-0.7,2026-08-18,0.9,2026-08-18,3.4960144927536305,72.43,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
UNLV,0.7915036231884052,65,2026-08-18,2.8,2026-08-18,1.8,2026-08-18,-0.8,2026-08-18,-0.6339855072463791,68.3,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Michigan State,0.6940036231884065,66,2026-08-18,0.4,2026-08-18,0.3,2026-08-18,-0.3,2026-08-18,2.376014492753626,71.31,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
South Florida,0.6365036231884056,67,2026-08-18,-2.8,2026-08-18,-0.9,2026-08-18,-2.4,2026-08-18,8.646014492753622,77.58,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
West Virginia,0.5965036231884042,68,2026-08-18,0.8,2026-08-18,0.2,2026-08-18,4.5,2026-08-18,-3.113985507246383,65.82,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
San Diego State,0.4215036231884063,69,2026-08-18,-1.3,2026-08-18,1.4,2026-08-18,1.1,2026-08-18,0.4860144927536254,69.42,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Colorado,-0.0084963768115926,70,2026-08-18,0.9,2026-08-18,4.5,2026-08-18,-1.4,2026-08-18,-4.033985507246371,64.9,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Tulane,-0.238496376811593,71,2026-08-18,-5.5,2026-08-18,2.3,2026-08-18,-2.8,2026-08-18,5.046014492753628,73.98,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
East Carolina,-0.4284963768115952,72,2026-08-18,-2.0,2026-08-18,-0.6,2026-08-18,-3.7,2026-08-18,4.58601449275362,73.52,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Memphis,-1.1159963768115944,73,2026-08-18,-1.1,2026-08-18,-1.9,2026-08-18,-1.5,2026-08-18,0.03601449275362256,68.97,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Fresno State,-1.2209963768115957,74,2026-08-18,-2.3,2026-08-18,-2.5,2026-08-18,2.0,2026-08-18,-2.083985507246382,66.85,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
North Dakota State,-1.3159963768115936,75,2026-08-18,-1.4,2026-08-18,-8.3,2026-08-18,-2.8,2026-08-18,7.236014492753625,76.17,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
UTSA,-1.5134963768115923,76,2026-08-18,-1.5,2026-08-18,-5.3,2026-08-18,-1.5,2026-08-18,2.2460144927536305,71.18,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Washington State,-1.7559963768115945,77,2026-08-18,-5.3,2026-08-18,-4.1,2026-08-18,-1.6,2026-08-18,3.9760144927536203,72.91,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
New Mexico,-2.0559963768115934,78,2026-08-18,-0.5,2026-08-18,-3.5,2026-08-18,-2.1,2026-08-18,-2.123985507246374,66.81,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Stanford,-2.348496376811595,79,2026-08-18,-1.9,2026-08-18,-3.3,2026-08-18,-3.0,2026-08-18,-1.1939855072463814,67.74,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Old Dominion,-2.3559963768115932,80,2026-08-18,-5.8,2026-08-18,-4.4,2026-08-18,-4.6,2026-08-18,5.376014492753626,74.31,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Syracuse,-2.3709963768115943,81,2026-08-18,-0.7,2026-08-18,-0.8,2026-08-18,-0.2,2026-08-18,-7.783985507246378,61.15,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Army,-2.4934963768115925,82,2026-08-18,-3.0,2026-08-18,-5.6,2026-08-18,-1.2,2026-08-18,-0.17398550724637118,68.76,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Purdue,-2.8134963768115946,83,2026-08-18,-2.9,2026-08-18,-0.9,2026-08-18,-2.1,2026-08-18,-5.353985507246378,63.58,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Texas State,-3.3359963768115923,84,2026-08-18,-5.9,2026-08-18,-4.3,2026-08-18,-2.0,2026-08-18,-1.14398550724637,67.79,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Boston College,-3.3534963768115937,85,2026-08-18,-1.5,2026-08-18,-2.7,2026-08-18,-6.2,2026-08-18,-3.0139855072463746,65.92,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Hawaii,-3.763496376811593,86,2026-08-18,-3.9,2026-08-18,-2.4,2026-08-18,-6.3,2026-08-18,-2.4539855072463723,66.48,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Toledo,-4.755996376811593,87,2026-08-18,-11.5,2026-08-18,-3.0,2026-08-18,-8.6,2026-08-18,4.076014492753629,73.01,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Western Michigan,-4.890996376811593,88,2026-08-18,-7.2,2026-08-18,-4.0,2026-08-18,-8.3,2026-08-18,-0.06398550724637175,68.87,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
North Texas,-5.098496376811595,89,2026-08-18,-11.8,2026-08-18,-6.4,2026-08-18,-8.7,2026-08-18,6.506014492753621,75.44,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Utah State,-5.435996376811594,90,2026-08-18,-7.7,2026-08-18,-6.7,2026-08-18,-3.8,2026-08-18,-3.5439855072463757,65.39,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Western Kentucky,-5.950996376811595,91,2026-08-18,-5.3,2026-08-18,-4.9,2026-08-18,-8.4,2026-08-18,-5.203985507246379,63.73,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Air Force,-6.158496376811595,92,2026-08-18,-2.4,2026-08-18,-6.8,2026-08-18,-7.4,2026-08-18,-8.033985507246378,60.9,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Miami-OH,-6.6509963768115945,93,2026-08-18,-2.9,2026-08-18,-7.0,2026-08-18,-10.6,2026-08-18,-6.103985507246378,62.83,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Troy,-7.050996376811595,94,2026-08-18,-6.0,2026-08-18,-7.4,2026-08-18,-7.7,2026-08-18,-7.103985507246378,61.83,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Marshall,-8.108496376811594,95,2026-08-18,-6.4,2026-08-18,-8.8,2026-08-18,-8.8,2026-08-18,-8.433985507246376,60.5,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Louisiana Tech,-8.315996376811594,96,2026-08-18,-8.3,2026-08-18,-9.6,2026-08-18,-8.6,2026-08-18,-6.763985507246375,62.17,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Liberty,-8.385996376811594,97,2026-08-18,-6.4,2026-08-18,-7.7,2026-08-18,-8.5,2026-08-18,-10.943985507246374,57.99,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Ohio,-8.858496376811594,98,2026-08-18,-13.6,2026-08-18,-8.0,2026-08-18,-10.9,2026-08-18,-2.9339855072463763,66.0,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Jacksonville State,-8.958496376811594,99,2026-08-18,-7.7,2026-08-18,-8.5,2026-08-18,-10.7,2026-08-18,-8.933985507246376,60.0,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Oregon State,-9.078496376811591,100,2026-08-18,-6.3,2026-08-18,-8.1,2026-08-18,-10.0,2026-08-18,-11.913985507246373,57.02,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Connecticut,-9.318496376811597,101,2026-08-18,-11.2,2026-08-18,-11.2,2026-08-18,-10.9,2026-08-18,-3.9739855072463826,64.96,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Georgia Southern,-9.323496376811594,102,2026-08-18,-8.9,2026-08-18,-8.7,2026-08-18,-11.7,2026-08-18,-7.993985507246379,60.94,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Arkansas State,-9.438496376811592,103,2026-08-18,-8.5,2026-08-18,-9.2,2026-08-18,-11.0,2026-08-18,-9.053985507246374,59.88,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Temple,-9.488496376811591,104,2026-08-18,-8.7,2026-08-18,-8.6,2026-08-18,-10.9,2026-08-18,-9.753985507246377,59.18,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Louisiana,-9.503496376811594,105,2026-08-18,-9.1,2026-08-18,-8.3,2026-08-18,-10.3,2026-08-18,-10.313985507246379,58.62,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Florida Atlantic,-9.875996376811592,106,2026-08-18,-7.1,2026-08-18,-11.3,2026-08-18,-8.7,2026-08-18,-12.403985507246375,56.53,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Tulsa,-10.150996376811596,107,2026-08-18,-7.6,2026-08-18,-9.0,2026-08-18,-10.3,2026-08-18,-13.70398550724638,55.23,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Kennesaw State,-10.395996376811594,108,2026-08-18,-9.3,2026-08-18,-9.0,2026-08-18,-14.2,2026-08-18,-9.083985507246375,59.85,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Delaware,-11.145996376811594,109,2026-08-18,-13.0,2026-08-18,-6.6,2026-08-18,-12.5,2026-08-18,-12.483985507246373,56.45,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
South Alabama,-11.493496376811594,110,2026-08-18,-13.3,2026-08-18,-10.5,2026-08-18,-10.8,2026-08-18,-11.373985507246374,57.56,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Colorado State,-11.685996376811596,111,2026-08-18,-8.3,2026-08-18,-12.4,2026-08-18,-10.7,2026-08-18,-15.343985507246373,53.59,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Appalachian State,-11.780996376811594,112,2026-08-18,-12.1,2026-08-18,-9.8,2026-08-18,-10.9,2026-08-18,-14.323985507246377,54.61,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Central Michigan,-11.908496376811597,113,2026-08-18,-12.4,2026-08-18,-12.8,2026-08-18,-12.6,2026-08-18,-9.833985507246375,59.1,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Wyoming,-12.000996376811594,114,2026-08-18,-9.6,2026-08-18,-13.1,2026-08-18,-13.3,2026-08-18,-12.003985507246377,56.93,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Florida International,-12.958496376811594,115,2026-08-18,-13.7,2026-08-18,-12.6,2026-08-18,-15.0,2026-08-18,-10.533985507246378,58.4,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Coastal Carolina,-13.143496376811594,116,2026-08-18,-13.8,2026-08-18,-12.1,2026-08-18,-13.8,2026-08-18,-12.873985507246374,56.06,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
