season,through_week,snapshot_date,snapshot_timestamp,board_cutoff,team,market_implied_rating,market_implied_rank,games_used,games_in_rating,effective_games_weight,weighted_games_in_rating,connected_component_id,component_size,sample_status,stability_proxy,source_game_count,source_line_cutoff,source_hashes,model_version,lookback_weeks,half_life_weeks,ridge_alpha,hfa,training_games,market_move_1w,market_move_4w
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Illinois,5.177669529663238,25,1,1,0.3535533905932738,0.3535533905932738,19,2,disconnected_component,1.6817928305074292,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Ole Miss,5.1558241189184635,26,5,5,3.2633177907993502,3.2633177907993502,2,74,connected_moderate_sample,0.5535671570690076,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Georgia State,4.970562748476676,27,1,1,0.3535533905932738,0.3535533905932738,17,2,disconnected_component,1.6817928305074292,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Florida,4.823954356225268,28,4,4,2.4811083794066784,2.4811083794066784,2,74,connected_low_sample,0.6348587830257243,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Arkansas,4.646692550291875,29,3,3,1.1595543045721162,1.1595543045721162,2,74,connected_low_sample,0.9286551120499534,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,South Carolina,4.45827514148204,30,2,2,1.3535533905932737,1.3535533905932737,2,74,early_limited,0.8595325037694959,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Kentucky,4.349242404922577,31,1,1,0.3535533905932738,0.3535533905932738,24,2,disconnected_component,1.6817928305074292,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Nebraska,4.349242404916996,32,1,1,0.3535533905932738,0.3535533905932738,30,2,disconnected_component,1.6817928305074292,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,LSU,4.3027272444089455,33,3,3,1.2325036198224666,1.2325036198224666,2,74,connected_low_sample,0.9007533754777041,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Southern Miss,4.1421356237304465,34,1,1,0.3535533905932738,0.3535533905932738,3,2,disconnected_component,1.6817928305074292,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
