team,spplus_2025,fpi_2025,teamrankings_2025,kford_2025,bradpowers_2025,source_count_2025,missing_sources_2025,rating_2025_eoy,rank_2025_eoy
Houston,7.4,4.4,6.6,4.7,7.627941176470586,5,,6.145588235294117,46
Cincinnati,4.5,3.7,6.7,6.7,6.207941176470584,5,,5.561588235294116,47
NC State,4.8,5.2,7.9,4.6,3.8579411764705895,5,,5.271588235294118,48
Mississippi State,4.1,3.4,5.8,5.5,7.417941176470592,5,,5.243588235294118,49
Kansas,4.1,4.4,6.3,5.5,5.047941176470587,5,,5.069588235294118,50
Old Dominion,5.9,4.8,4.7,3.0,5.977941176470594,5,,4.875588235294119,51
Northwestern,5.8,3.5,5.8,3.6,5.3379411764705935,5,,4.807588235294119,52
East Carolina,8.0,5.1,4.9,3.2,2.0379411764705964,5,,4.647588235294119,53
Kentucky,1.8,5.1,5.5,5.0,5.737941176470585,5,,4.627588235294117,54
Tulane,6.3,3.7,3.6,3.7,4.777941176470591,5,,4.415588235294118,55
Toledo,6.0,4.3,5.2,3.5,2.147941176470596,5,,4.229588235294119,56
Baylor,1.4,3.0,5.6,4.1,5.697941176470593,5,,3.959588235294119,57
Boise State,3.1,3.6,4.3,4.9,3.3379411764705935,5,,3.8475882352941184,58
Wake Forest,5.7,2.1,3.8,1.3,6.237941176470585,5,,3.8275882352941175,59
Memphis,7.6,3.4,2.0,3.6,-0.5120588235294079,5,,3.2175882352941185,60
Navy,6.2,0.5,2.2,-0.6,3.0579411764705924,5,,2.271588235294119,61
Rutgers,1.0,1.5,4.5,2.3,1.7579411764705952,5,,2.211588235294119,62
Minnesota,1.5,1.1,4.4,2.1,0.3279411764705884,5,,1.8855882352941176,63
Wisconsin,-4.4,2.5,5.2,3.3,2.667941176470592,5,,1.8535882352941182,64
Washington State,3.8,1.4,1.1,0.0,0.4179411764705918,5,,1.3435882352941182,65
San Diego State,6.7,0.6,0.4,-0.5,-1.0720588235294102,5,,1.225588235294118,66
UTSA,3.7,1.6,1.7,-0.6,-0.8520588235294113,5,,1.109588235294118,67
Michigan State,-3.4,0.8,3.5,1.5,1.7879411764705964,5,,0.8375882352941193,68
UNLV,4.3,0.1,-1.4,-0.6,-2.4220588235294116,5,,-0.004411764705882426,69
Central Florida,-1.2,-0.8,1.7,0.0,-0.2520588235294099,5,,-0.11041176470588199,70
Maryland,0.6,-1.7,0.0,-1.3,-0.7120588235294107,5,,-0.6224117647058822,71
Texas State,2.3,-1.5,-2.8,-3.6,-1.1820588235294096,5,,-1.3564117647058818,72
Connecticut,5.1,-3.5,-3.7,-2.8,-3.1420588235294105,5,,-1.6084117647058822,73
New Mexico,0.9,-2.7,-3.9,-3.2,-2.4620588235294107,5,,-2.272411764705882,74
Army,0.8,-2.7,-2.2,-4.6,-2.8720588235294073,5,,-2.3144117647058815,75
California,-3.2,-3.4,-2.3,-3.3,-1.022058823529413,5,,-2.6444117647058825,76
UCLA,-8.7,-2.4,0.0,-1.5,-1.6920588235294076,5,,-2.8584117647058815,77
Virginia Tech,-10.1,-1.2,-0.9,-1.8,-1.012058823529408,5,,-3.0024117647058817,78
Fresno State,1.8,-4.3,-2.5,-5.0,-5.162058823529414,5,,-3.032411764705883,79
Hawaii,1.7,-5.2,-4.7,-5.7,-3.512058823529408,5,,-3.482411764705881,80
Western Michigan,-1.4,-2.7,-3.9,-6.1,-3.552058823529407,5,,-3.5304117647058817,81
West Virginia,-6.8,-4.1,-1.8,-3.5,-2.1320588235294125,5,,-3.6664117647058823,82
Ohio,-4.0,-2.4,-3.7,-4.5,-3.9620588235294103,5,,-3.7124117647058825,83
Utah State,-3.1,-3.0,-4.3,-3.6,-5.282058823529411,5,,-3.856411764705882,84
Colorado,-8.3,-2.7,-2.0,-2.6,-4.522058823529413,5,,-4.024411764705883,85
Purdue,-6.1,-4.7,-3.2,-3.9,-4.332058823529408,5,,-4.446411764705881,86
Boston College,-8.5,-5.2,-2.6,-4.8,-3.552058823529407,5,,-4.930411764705882,87
North Carolina,-6.6,-5.9,-4.7,-6.2,-3.082058823529408,5,,-5.296411764705882,88
Stanford,-11.8,-3.7,-3.3,-4.9,-3.832058823529408,5,,-5.506411764705883,89
Western Kentucky,1.6,-7.4,-6.4,-7.9,-8.292058823529409,5,,-5.678411764705882,90
Louisiana Tech,-1.3,-6.2,-6.7,-6.7,-10.522058823529411,5,,-6.284411764705882,91
Miami-OH,-3.4,-5.7,-7.0,-6.7,-10.042058823529407,5,,-6.568411764705881,92
Marshall,-4.5,-5.8,-8.4,-8.0,-9.292058823529407,5,,-7.198411764705883,93
Air Force,-3.2,-8.4,-7.1,-8.1,-11.122058823529407,5,,-7.584411764705882,94
Troy,-4.8,-6.8,-8.4,-8.0,-10.382058823529412,5,,-7.6764117647058825,95
Kennesaw State,-5.4,-8.0,-9.4,-7.1,-9.032058823529413,5,,-7.786411764705882,96
Temple,-5.1,-8.4,-8.7,-9.6,-9.86205882352941,5,,-8.332411764705881,97
Southern Miss,-7.1,-8.6,-10.4,-9.0,-8.662058823529414,5,,-8.752411764705883,98
Syracuse,-13.1,-9.3,-6.0,-8.2,-10.772058823529411,5,,-9.47441176470588,99
Jacksonville State,-6.7,-9.5,-10.6,-11.2,-10.792058823529407,5,,-9.758411764705881,100
Liberty,-9.0,-10.7,-10.1,-10.4,-11.292058823529407,5,,-10.29841176470588,101
Arkansas State,-8.8,-9.6,-11.8,-11.7,-10.43205882352941,5,,-10.466411764705882,102
Georgia Southern,-9.4,-9.7,-11.1,-12.4,-11.202058823529413,5,,-10.760411764705882,103
Central Michigan,-8.8,-11.2,-11.4,-11.5,-11.912058823529414,5,,-10.962411764705882,104
Louisiana,-10.1,-10.6,-11.7,-11.2,-11.742058823529412,5,,-11.068411764705882,105
South Alabama,-12.7,-10.7,-11.7,-11.2,-9.272058823529411,5,,-11.114411764705881,106
Florida International,-10.5,-11.2,-12.3,-10.9,-11.68205882352941,5,,-11.316411764705881,107
Florida Atlantic,-8.7,-11.3,-13.7,-12.8,-10.96205882352941,5,,-11.492411764705881,108
Wyoming,-11.3,-11.5,-11.5,-11.8,-12.562058823529412,5,,-11.732411764705882,109
Oklahoma State,-15.1,-12.1,-11.0,-12.2,-10.282058823529413,5,,-12.136411764705883,110
Missouri State,-10.7,-11.5,-13.3,-12.4,-13.152058823529408,5,,-12.210411764705881,111
Buffalo,-7.5,-13.3,-13.2,-13.6,-14.412058823529414,5,,-12.402411764705883,112
Oregon State,-15.9,-11.6,-11.3,-11.8,-12.21205882352941,5,,-12.562411764705882,113
Tulsa,-10.0,-14.0,-14.5,-14.8,-11.452058823529413,5,,-12.950411764705882,114
Delaware,-10.9,-12.9,-13.9,-14.3,-12.972058823529409,5,,-12.994411764705882,115
Appalachian State,-11.4,-13.3,-14.9,-13.4,-13.922058823529412,5,,-13.384411764705883,116
San Jose State,-14.3,-13.7,-14.6,-13.8,-12.942058823529408,5,,-13.868411764705883,117
Bowling Green,-12.6,-11.8,-15.0,-14.1,-17.082058823529408,5,,-14.116411764705882,118
Nevada,-13.4,-14.3,-15.4,-15.1,-14.812058823529412,5,,-14.602411764705883,119
Colorado State,-15.6,-13.2,-13.6,-13.5,-17.18205882352941,5,,-14.616411764705882,120
Eastern Michigan,-14.7,-13.5,-16.4,-15.7,-16.012058823529408,5,,-15.262411764705883,121
Coastal Carolina,-15.1,-14.2,-15.7,-16.1,-16.982058823529414,5,,-15.616411764705884,122
UAB,-15.8,-14.9,-16.6,-16.1,-15.422058823529412,5,,-15.764411764705883,123
Northern Illinois,-16.7,-14.3,-17.0,-16.2,-18.732058823529417,5,,-16.586411764705883,124
Rice,-14.8,-17.3,-18.9,-17.4,-17.302058823529407,5,,-17.14041176470588,125
New Mexico State,-15.5,-17.2,-18.1,-17.9,-19.14205882352941,5,,-17.568411764705882,126
Akron,-13.9,-17.6,-19.9,-19.6,-17.28205882352941,5,,-17.656411764705883,127
