path,book,rows_for_book,market_types,stage2_matrix_candidate
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_162952.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_162952.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_162952.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_163224.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_163224.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_163224.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_163835.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_163835.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_163835.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_164022.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_164022.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_164022.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_165639.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_165639.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_165639.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_180752.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_180752.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_180752.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_185701.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_185701.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_185701.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_195610.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_195610.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_195610.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_200752.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_200752.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_200752.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260702_120949.csv,BetMGM,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260702_120949.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260702_120949.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260703_050345.csv,BetMGM,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260703_050345.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260703_050345.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260703_120405.csv,BetMGM,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260703_120405.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260703_120405.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260704_120308.csv,BetMGM,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260704_120308.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260704_120308.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260705_121112.csv,BetMGM,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260705_121112.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260705_121112.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260706_120020.csv,BetMGM,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260706_120020.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260706_120020.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260707_120940.csv,BetMGM,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260707_120940.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260707_120940.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260708_120343.csv,BetMGM,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260708_120343.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260708_120343.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260709_120419.csv,BetMGM,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260709_120419.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260709_120419.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260710_120052.csv,BetMGM,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260710_120052.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260710_120052.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260711_121150.csv,BetMGM,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260711_121150.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260711_121150.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260712_012558.csv,BetMGM,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260712_012558.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260712_012558.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260712_120221.csv,BetMGM,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260712_120221.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260712_120221.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260713_120346.csv,BetMGM,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260713_120346.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260713_120346.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260714_120051.csv,BetMGM,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260714_120051.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260714_120051.csv,DraftKings,138.0,total,False
