"Name","School","Conference","Overall","Routes","Hands","Explosive","Pass Block","Running"
"Jeremiah McClellan","Ore","Big10","14.25","14.56","13.80","13.01","12.29","1.34"
"Chris Barnes","OKSt","Big12","14.24","14.47","15.50","12.41","1.16","11.22"
"Jordan Faison","ND","Inde","14.19","14.30","13.64","11.88","8.86","4.77"
"Josh Derry","UCF","Big12","14.12","14.13","11.74","14.93","8.79","9.47"
"Trell Harris","OU","SEC","14.12","14.11","13.95","13.71","0.36","0.36"
"Jordan Shipp","UNC","ACC","14.11","14.51","14.50","11.82","0.73","10.48"
"Trent Walker","Hou","Big12","14.08","14.34","14.48","12.77","0.34","4.53"
"Ryan Wingo","Tex","SEC","14.07","14.01","12.15","15.53","0.81","14.77"
"Iverson Hooks","Ore","Big10","14.05","14.09","14.40","13.16","0.54","8.28"
"Tony Freeman","WashSt","Pac12","14.02","14.25","14.33","11.08","10.23","11.57"
"Que'Sean Brown","VT","ACC","14.02","14.62","17.33","14.23","0.51","2.71"
"Chase Hendricks","Cal","ACC","14.00","14.46","13.30","14.04","0.45","7.09"
"Malcolm Simmons","TT","Big12","14.00","13.62","14.37","13.12","5.17","14.79"
"Sean Wilson","Del","CUSA","13.99","14.09","14.99","14.05","10.01","0.38"
"T.J. Moore","Clem","ACC","13.99","14.27","15.67","14.49","5.46","7.60"
"Cooper Barkate","MiaFL","ACC","13.99","14.16","12.20","15.36","0.18","4.16"
"David Amador II","UTSA","Amer","13.99","13.92","13.82","10.73","0.62","11.20"
"Junior Sherrill","Vand","SEC","13.98","13.98","14.96","13.09","0.43","12.90"
"TK Keys","Tenn","SEC","13.93","13.93","13.93","13.93","13.93","13.93"
"Jacory Barney Jr.","Neb","Big10","13.93","13.75","15.72","11.07","0.64","13.70"
"Ryan Coleman-Williams","Bama","SEC","13.91","13.77","8.84","14.65","0.72","14.44"
"Nyziah Hunter","Neb","Big10","13.85","13.64","13.83","7.92","7.91","12.10"
"K.D. Hutchinson","WKU","CUSA","13.82","13.59","13.29","11.94","0.70","14.30"
"Deuce Alexander","Miss","SEC","13.81","13.81","13.99","12.74","0.57","13.46"
"Cam Coleman","Tex","SEC","13.81","13.89","14.38","13.01","0.66","0.66"
"Nik McMillan","KU","Big12","13.81","13.97","12.68","15.38","0.47","1.20"
"Jordan Napier","SDSU","Pac12","13.81","14.41","10.96","12.06","0.82","10.66"
"Easton Messer","FAU","Amer","13.79","13.82","14.95","13.44","12.96","13.50"
"Caleb Cunningham","Miss","SEC","13.79","13.74","13.56","13.14","12.80","12.80"
"Braylon Staley","Tenn","SEC","13.78","14.05","12.70","13.81","0.79","0.79"
"Tristen Keys","Tenn","SEC","13.78","13.78","13.78","13.78","13.78","13.78"
"Quincy Porter","ND","Inde","13.77","13.96","14.06","10.91","8.80","8.80"
"Miles Coleman","OKSt","Big12","13.76","14.13","13.06","11.46","0.74","11.38"
"Chris Dawn Jr.","TexSt","Pac12","13.76","14.09","15.27","14.76","0.50","8.00"
"Terrell Anderson","USC","Big10","13.76","13.96","12.90","13.08","10.19","0.96"
"Jayce Brown","LSU","SEC","13.75","13.74","11.38","13.71","0.66","14.50"
"Emmett Mosley V","Tex","SEC","13.72","14.26","15.50","11.52","0.72","5.10"
"Jordan Allen","GATech","ACC","13.72","13.40","13.54","10.75","2.95","13.11"
"DeAree Rogers","NIU","MWC","13.71","13.63","16.15","11.58","0.60","12.98"
"Jonah Dawson","AirF","MWC","13.71","14.26","13.91","6.90","2.88","2.88"
"Larenzo Fenner","Cincy","Big12","13.71","13.99","13.54","6.06","0.62","10.04"
"Shazz Preston","Ind","Big10","13.71","13.95","13.96","14.24","1.21","1.21"
"Cade Wolford","Cincy","Big12","13.71","13.32","12.82","14.74","11.73","14.14"
"Cederian Morgan","Bama","SEC","13.71","13.71","13.71","13.71","13.71","13.71"
"Chris Henry Jr.","OSU","Big10","13.69","13.69","13.69","13.69","13.69","13.69"
"Javon Tracy","Minn","Big10","13.68","13.43","14.80","11.97","0.41","6.55"
"Braden Pegan","Utah","Big12","13.66","13.88","15.79","15.72","0.62","11.56"
"Hudson Clement","Illini","Big10","13.66","13.82","14.95","11.36","6.42","0.27"
"Ja'Cory Thomas","Vand","SEC","13.63","13.65","11.83","15.22","0.75","0.75"
"Dezmen Roebuck","Wash","Big10","13.63","13.79","16.53","13.11","14.58","10.38"
"Evan Stewart","Ore","Big10","13.62","13.92","14.44","10.52","1.06","3.54"
"Danny Scudero","Col","Big12","13.62","13.67","12.06","16.01","0.32","3.39"
"Micahi Danzy","FSU","ACC","13.61","12.88","10.85","14.99","12.12","15.96"
"Donte Lee Jr.","TT","Big12","13.61","13.72","14.87","13.08","0.50","0.50"
"Jordan Dwyer","TCU","Big12","13.60","13.92","13.44","13.30","0.31","3.38"
"Marcel Williams","Akr","MAC","13.59","13.73","12.33","13.14","0.81","0.81"
"Jalen Lott","Ore","Big10","13.58","13.58","13.58","13.58","13.58","13.58"
"Javen Nicholas","Duke","ACC","13.58","13.76","16.27","13.51","0.46","11.82"
"Omarion Miller","AZSt","Big12","13.57","14.08","12.25","13.81","0.82","0.82"
"Evan James","Iowa","Big10","13.57","13.77","13.73","13.39","10.14","11.51"
"Cameron Miller","Miss","SEC","13.56","13.40","14.85","9.46","2.64","2.64"
"Brady Anderson","Army","Amer","13.56","14.48","12.07","5.92","12.97","10.32"
"Reece Vander Zee","Iowa","Big10","13.56","13.52","13.27","7.73","7.07","1.28"
"Beau Sparks","TexSt","Pac12","13.55","13.62","15.18","14.39","0.19","11.36"
"Chris Lofton","App","SBC","13.55","13.75","14.37","15.43","0.34","0.34"
"Dallas Wilson","Fla","SEC","13.55","13.75","15.67","7.97","3.54","3.54"
"Ernest Campbell","Col","Big12","13.53","14.09","13.94","14.60","1.88","7.98"
"Kaliq Lockett","Tex","SEC","13.52","13.87","14.12","10.75","8.58","8.58"
"Jerome Myles","A&M","SEC","13.51","13.51","13.51","13.51","13.51","13.51"
"Nick Marsh","Ind","Big10","13.51","13.69","12.92","12.83","0.62","12.29"
"Jalen Jones","TT","Big12","13.49","13.59","10.61","16.43","0.77","9.77"
"Yamir Knight","SMU","ACC","13.48","13.76","16.23","11.32","0.20","11.21"
"Lawayne McCoy","Lou","ACC","13.47","13.44","16.82","11.27","10.43","2.97"
"Kam Perry","Col","Big12","13.47","13.47","10.85","15.84","9.82","0.78"
"Keshaun Singleton","Aub","SEC","13.47","13.65","13.26","15.19","3.67","0.59"
"Na'eem Abdul-Rahim Gladding","Mary","Big10","13.46","13.83","14.72","13.16","10.64","0.36"
"Isaiah Sategna III","OU","SEC","13.44","13.46","14.15","13.41","7.58","13.39"
"Brandon Arrington","A&M","SEC","13.43","13.43","13.43","13.43","13.43","13.43"
"DeAndre Moore Jr.","Col","Big12","13.42","13.59","12.45","11.76","6.09","0.87"
"Teddy Hoffmann","NCSt","ACC","13.41","13.13","12.93","11.45","1.46","1.46"
"Kenny Johnson","TT","Big12","13.40","13.22","11.73","12.17","0.41","13.14"
"Eric Singleton Jr.","Fla","SEC","13.40","13.55","13.76","11.74","2.16","12.46"
"Chrishon McCray","MichSt","Big10","13.39","13.35","13.57","12.24","0.36","11.23"
"Mike Matthews","Tenn","SEC","13.38","13.41","11.51","14.69","0.82","13.49"
"Radarious Jackson","Tenn","SEC","13.36","13.35","13.92","8.22","4.80","4.80"
"Joseph Williams","Col","Big12","13.36","13.58","15.74","12.26","8.39","4.79"
"Hayden Eligon II","NW","Big10","13.36","13.23","14.88","11.00","9.23","0.63"
"Ethan Feaster","USC","Big10","13.36","13.36","13.36","13.36","13.36","13.36"
"Jaden Greathouse","ND","Inde","13.35","13.45","15.45","10.70","1.36","3.32"
"Gatlin Bair","Ore","Big10","13.34","13.34","13.34","13.34","13.34","13.34"
"Parker Livingstone","OU","SEC","13.31","13.49","13.98","13.77","1.03","1.03"
"Lotzeir Brooks","Bama","SEC","13.30","13.61","14.37","12.46","1.26","13.45"
"Mylan Graham","ND","Inde","13.30","13.10","11.71","8.64","4.76","4.76"
"Tre Brown","LSU","SEC","13.25","13.84","14.20","15.84","1.01","1.01"
"Josiah Freeman","Fres","Pac12","13.25","13.07","13.68","12.22","0.58","11.86"
"Jayden Sellers","SoCar","SEC","13.24","13.30","14.13","11.49","1.77","11.35"
"Salesi Moa","Mich","Big10","13.23","13.23","13.23","13.23","13.23","13.23"
"Jamari Hawkins","Ark","SEC","13.23","13.24","17.05","13.63","12.81","12.90"
"Makai Jackson","Lib","CUSA","13.21","13.31","14.64","11.34","0.34","11.07"
"Tristian Gardner","CoCar","SBC","13.21","13.21","14.01","5.82","0.57","0.57"
"Eugene Wilson III","LSU","SEC","13.20","13.33","14.71","10.67","1.02","12.97"
"Vandrevius Jacobs","MiaFL","ACC","13.16","13.15","15.91","6.34","0.79","0.79"
"Xavier Townsend","Purd","Big10","13.16","12.79","14.78","8.75","4.60","13.51"
"Aidan Mizell","UCLA","Big10","13.16","13.29","13.99","9.97","1.68","1.68"
"Jaron Tibbs","KSt","Big12","13.15","13.14","12.62","11.33","0.52","0.52"
"Davian Groce","Fla","SEC","13.14","13.14","13.14","13.14","13.14","13.14"
"Kaden Saunders","SMiss","SBC","13.12","13.11","12.44","10.37","8.02","8.02"
"Joshua Moore","MiaFL","ACC","13.11","12.84","14.06","7.18","2.35","2.35"
"Kyan Mason","Akr","MAC","13.09","13.34","9.14","12.22","1.20","1.20"
"Micah Gilbert","ND","Inde","13.08","13.24","12.75","7.90","4.18","4.18"
"Cam Vaughn","MiaFL","ACC","13.08","13.06","12.84","13.17","0.34","8.00"
"Arhmad Branch","USF","Amer","13.08","13.19","12.94","6.80","2.79","2.80"
"Calvin Russell III","Cuse","ACC","13.07","13.07","13.07","13.07","13.07","13.07"
"Isaiah Horton","A&M","SEC","13.07","13.40","13.58","10.95","1.24","0.51"
"AJ Johnson","UAB","Amer","13.06","13.19","13.25","12.11","3.44","1.31"
"Langston Lewis","CMich","MAC","13.05","13.52","14.87","12.55","0.71","12.01"
"Bailey Stockton","Fla","SEC","13.04","13.03","13.85","9.04","1.57","11.93"
"Vernell Brown III","Fla","SEC","13.03","12.96","9.72","12.76","1.50","12.63"
"Winston Watkins Jr.","LSU","SEC","13.03","13.39","13.46","11.92","1.59","9.99"
"Traylon Ray","Miss","SEC","13.02","12.87","11.66","11.42","1.37","9.02"
"Chase Sowell","PSU","Big10","12.99","13.06","9.41","12.40","5.96","0.46"
"Jeremiah Koger","Aub","SEC","12.99","13.21","14.09","13.36","11.45","1.11"
"Jermaine Bishop Jr.","Tex","SEC","12.98","12.98","12.98","12.98","12.98","12.98"
"Tyson Davis","UVA","ACC","12.98","12.87","12.58","10.90","7.85","9.07"
"Noah Rogers","Bama","SEC","12.97","12.92","11.77","12.16","8.75","0.84"
"Jabari Mack","LSU","SEC","12.96","12.96","12.96","12.96","12.96","12.96"
"Isiah Canion","UGA","SEC","12.95","12.92","14.58","12.49","1.04","1.04"
"Talyn Shettron","LATech","SBC","12.94","12.95","13.28","12.28","3.05","3.05"
"Tony Diaz","Iowa","Big10","12.94","13.33","11.25","15.13","0.77","0.77"
"Jared Richardson","Duke","ACC","12.94","13.43","11.98","13.67","0.24","0.24"
"Darrius Clemons","WashSt","Pac12","12.94","12.93","12.52","10.31","2.31","2.31"
"Reed Swanson","BC","ACC","12.94","13.12","11.73","6.63","0.32","0.32"
"Ryan Niblett","Tex","SEC","12.93","13.03","14.58","9.73","11.36","13.28"
"Brett Eskildsen","PSU","Big10","12.91","13.02","14.10","13.00","11.77","0.98"
"Anthony Evans III","MissSt","SEC","12.90","13.24","14.49","13.49","0.69","13.26"
"Nyck Harbor","SoCar","SEC","12.89","12.87","12.10","13.08","7.43","12.38"
"Collin Dixon","Illini","Big10","12.89","12.70","12.73","12.48","8.96","8.04"
"Naeem Burroughs","Clem","ACC","12.86","12.86","12.86","12.86","12.86","12.86"
"QuaRon Adams","Cal","ACC","12.85","12.86","13.81","14.33","1.15","13.16"
"Cortez Mills Jr.","Neb","Big10","12.85","12.63","14.92","11.54","3.38","3.38"
"Aaron Gregory","A&M","SEC","12.85","12.85","12.85","12.85","12.85","12.85"
"Mudia Reuben","USF","Amer","12.84","12.96","13.00","11.01","7.96","3.76"
"Shelton Sampson Jr.","ULLaf","SBC","12.84","13.08","10.26","13.08","10.53","1.19"
"Oran Singleton Jr.","Tuls","Amer","12.83","12.92","14.22","9.38","9.90","10.23"
"Chris Durr Jr.","Mary","Big10","12.83","13.03","12.28","11.27","0.70","11.09"
"TK King","NMSt","CUSA","12.83","13.03","11.74","12.64","0.78","11.52"
"Jayden Gibson","SoCar","SEC","12.81","13.01","12.47","7.40","4.11","4.11"
"Trech Kekahuna","UNC","ACC","12.80","12.91","15.49","10.28","0.93","12.39"
"Jyziah Rockwell","WKU","CUSA","12.79","13.08","13.14","15.25","0.49","0.49"
"Creed Whittemore","Utah","Big12","12.79","12.60","14.18","7.19","2.39","8.70"
"JoJo Bermudez","Temp","Amer","12.78","12.92","13.78","11.56","0.66","11.02"
"Zycarl Lewis Jr.","Tul","Amer","12.78","13.00","11.11","11.03","1.67","1.67"
"Bryce Yates","Pitt","ACC","12.77","13.35","14.24","11.10","2.85","2.85"
"Emanuel Ross","Conn","Inde","12.75","12.84","14.96","9.63","2.17","2.17"
"Jackson Voth","Lou","ACC","12.74","12.80","14.45","11.99","0.75","0.75"
"Brandon Inniss","OSU","Big10","12.73","13.10","16.97","9.12","13.41","10.79"
"Vance Spafford","MiaFL","ACC","12.73","12.73","12.73","12.73","12.73","12.73"
"Giovanni Richardson","Zona","Big12","12.73","13.07","10.89","11.43","2.23","11.08"
"Reed Harris","AZSt","Big12","12.69","12.79","16.09","15.53","9.81","8.87"
"Talyn Taylor","UGA","SEC","12.69","12.69","10.65","10.53","8.28","8.28"
"Johntay Cook II","Miss","SEC","12.69","12.87","12.50","11.84","1.00","11.21"
"Isaiah Dawson","BG","MAC","12.68","12.59","13.21","12.60","0.60","11.47"
"Taz Reddicks","UNLV","MWC","12.67","12.95","12.42","10.75","0.81","7.24"
"Rico Flores Jr.","UVA","ACC","12.67","12.57","14.24","10.68","3.27","0.86"
"Dj Jordan","Zona","Big12","12.66","12.64","13.60","9.92","7.53","7.53"
"KK Smith","MichSt","Big10","12.66","12.63","12.37","7.18","2.97","2.97"
"Kam Mikell","GASo","SBC","12.66","11.79","13.18","9.41","7.86","12.90"
"Horatio Fields","Miss","SEC","12.64","12.54","13.78","8.58","11.72","0.67"
"Marquis Johnson","MissSt","SEC","12.63","12.79","14.70","11.57","0.83","3.45"
"Mekhi Collins","NDSt","MWC","12.61","12.67","12.13","10.15","1.85","1.85"
"Coy Eakin","TT","Big12","12.61","12.51","11.68","11.44","8.69","1.51"
"Cam Williams","ND","Inde","12.60","12.47","13.27","10.89","8.95","8.95"
"Josh Dallas","GASo","SBC","12.60","12.87","14.47","10.27","9.65","12.02"
"Jmariyae Robinson","MOSt","CUSA","12.59","13.23","11.29","12.28","2.66","10.06"
"Hardley Gilmore IV","UK","SEC","12.58","12.50","12.86","10.94","1.05","12.08"
"Jonathan Bibbs","UCF","Big12","12.57","12.71","12.59","13.32","10.80","11.80"
"Gavin Freeman","Bay","Big12","12.56","12.57","13.75","10.30","1.28","12.34"
"Harold Mack","EMich","MAC","12.56","13.13","11.65","11.50","1.57","10.16"
"Ben Ford","Boise","Pac12","12.56","12.38","9.17","10.34","1.03","1.03"
"Cole Weaver","Cuse","ACC","12.56","12.65","15.42","13.15","0.28","0.28"
"Chauncy Cobb","ArkSt","SBC","12.54","12.80","14.60","13.52","0.47","11.07"
"JJ Buchanan","Mich","Big10","12.53","12.73","15.09","13.14","4.87","0.99"
"Adrian Norton","Marsh","SBC","12.53","12.48","13.08","9.23","0.40","0.40"
"Asaad Waseem","Purd","Big10","12.53","12.76","14.30","12.78","11.61","0.71"
"Cam Pickett","KU","Big12","12.52","12.36","9.66","10.87","0.50","14.52"
"Jaden Barnes","Char","Amer","12.51","12.65","8.99","12.88","0.27","5.37"
"Duane Thomas Jr.","UCF","Big12","12.50","12.49","16.12","10.54","9.93","12.61"
"Tre Spivey","Zona","Big12","12.50","12.25","11.35","12.46","12.02","10.26"
"Kaleb Brown","UAB","Amer","12.49","12.34","14.38","10.99","2.29","11.99"
"Jaylen Lloyd","Fla","SEC","12.49","12.58","12.18","11.64","2.15","11.33"
"Raiden Vines-Bright","AZSt","Big12","12.46","11.98","16.80","10.54","13.85","12.25"
"Dj Epps","WVU","Big12","12.46","12.35","15.89","11.87","11.80","12.63"
"Brock Spalding","ECU","Amer","12.46","12.51","13.96","11.25","0.68","12.40"
"Cameron Seldon","USF","Amer","12.45","12.41","14.45","8.67","4.05","11.77"
"Donovan Faupel","Ark","SEC","12.45","12.40","12.58","11.39","0.21","1.73"
"Markus Allen","MTSU","CUSA","12.45","12.46","13.06","11.34","11.96","1.21"
"Nic Anderson","UK","SEC","12.45","12.84","11.55","11.21","5.21","1.35"
"Corri Milliner","NoTex","Amer","12.44","12.52","9.84","11.22","0.40","0.40"
"DJ Miller","UK","SEC","12.41","12.48","12.82","10.66","2.24","2.24"
"Devin Matthews","Mass","MAC","12.40","12.43","11.20","13.13","0.49","9.25"
"Josh Manning","KSt","Big12","12.40","12.19","15.06","10.86","3.99","11.73"
"Cam'ron Lacy","MTSU","CUSA","12.40","12.44","11.06","11.65","0.69","11.37"
"Yannick Smith","SMU","ACC","12.39","12.47","13.20","7.71","0.55","3.64"
"Quinn Clark","Neb","Big10","12.39","11.91","13.43","6.79","2.39","2.39"
"London Humphreys","UGA","SEC","12.39","12.22","11.90","12.44","0.75","9.08"
"Jayvan Boggs","FSU","ACC","12.39","12.27","12.20","10.57","2.93","2.93"
"Dj Allen Jr.","UTSA","Amer","12.38","12.48","14.78","9.06","9.55","1.31"
"Messiah Hampton","Ore","Big10","12.38","12.38","12.38","12.38","12.38","12.38"
"Jase Mathews","Miss","SEC","12.38","12.38","12.38","12.38","12.38","12.38"
"Cody Jackson","IASt","Big12","12.38","12.28","12.46","14.97","0.69","0.69"
"Kaleb Webb","Mary","Big10","12.38","12.41","13.64","11.14","1.02","1.02"
"Brady Kluse","Mem","Amer","12.38","12.36","14.50","6.26","11.24","0.95"
"Tychaun Chapman","Mem","Amer","12.37","12.34","11.20","12.55","9.51","12.15"
"Anthony Brown-Stephens","Tul","Amer","12.35","12.53","11.61","11.52","1.72","11.49"
"David Pantelis","Stan","ACC","12.34","12.58","10.67","11.26","8.60","1.38"
"Landon Ellis","UCLA","Big10","12.34","12.40","11.54","11.72","6.46","0.25"
"Major Everhart","TCU","Big12","12.33","12.92","12.86","10.22","1.82","11.57"
"Kyle Parker","OSU","Big10","12.32","12.60","11.20","10.45","13.20","1.10"
"Makai Cope","MOSt","CUSA","12.32","12.27","14.86","6.46","10.73","1.41"
"Carlos Hernandez","Wake","ACC","12.32","12.99","12.75","12.49","0.60","7.24"
"Zion Booker","KennSt","CUSA","12.31","12.34","13.72","10.34","10.25","6.98"
"Tyreek King","Tenn","SEC","12.31","12.31","12.31","12.31","12.31","12.31"
"Alex Perry","Illini","Big10","12.30","12.53","12.57","12.38","0.14","0.14"
"Jaden Bray","WVU","Big12","12.29","12.28","11.21","8.29","1.36","8.99"
"Troy Omeire","UNM","MWC","12.29","12.33","12.91","7.04","3.48","0.87"
"Caleb Goodie","Mizz","SEC","12.29","12.16","12.04","13.98","8.67","4.90"
"Rj Garcia II","FAU","Amer","12.28","11.91","13.07","10.16","0.94","11.39"
"Kayden Dixon-Wyatt","USC","Big10","12.27","12.27","12.27","12.27","12.27","12.27"
"Kwazi Gilmer","Neb","Big10","12.27","12.52","13.97","11.12","0.55","4.30"
"Jonathan Paylor","NCSt","ACC","12.27","12.27","12.27","12.27","12.27","12.27"
"Noah Jennings","Minn","Big10","12.26","12.19","10.80","8.48","0.44","4.61"
"Deondre Johnson","JackSt","CUSA","12.26","12.66","7.62","16.34","0.76","10.83"
"Darius Cannon","JackSt","CUSA","12.25","12.55","13.36","12.47","0.62","9.12"
"Larry Simmons","Utah","Big12","12.24","12.47","14.23","11.19","11.87","11.46"
"Jordan Clay","Wash","Big10","12.24","12.24","12.24","12.24","12.24","12.24"
"Jalen Hale","SMU","ACC","12.23","12.33","8.60","9.14","5.67","5.67"
"TJ Abrams","Fla","SEC","12.23","12.36","11.02","10.52","2.67","2.67"
"Kenny Odom","USF","Amer","12.22","12.20","12.14","12.44","6.25","10.61"
"Shamar Rigby","Wisc","Big10","12.22","12.03","15.69","10.29","5.91","4.33"
"Ricky Ahumaraeze","NW","Big10","12.21","12.03","12.08","6.61","14.81","1.67"
"Jalen Smith","Minn","Big10","12.21","12.40","13.62","12.99","1.15","1.15"
"Caden High","Stan","ACC","12.21","12.56","13.96","11.39","0.30","11.30"
"Christian Moss","Wash","Big10","12.20","12.32","12.15","13.46","9.63","0.54"
"Chris Lawson","Wash","Big10","12.18","11.98","13.92","10.33","4.21","4.21"
"Aj Wilson","UTSA","Amer","12.17","12.54","12.94","14.24","0.29","1.00"
"James Tyre","NoTex","Amer","12.16","12.44","14.39","13.57","9.89","0.38"
"Ray Ray Joseph Jr.","ECU","Amer","12.15","12.03","11.95","10.81","5.32","5.32"
"Nate Johnson","Utah","Big12","12.13","10.58","11.56","7.91","10.27","12.62"
"Kameron Courtney","UVA","ACC","12.12","12.03","10.77","8.64","4.51","12.70"
"Tristen Brown","Vand","SEC","12.12","12.13","14.53","9.04","9.83","11.14"
"Clayton Coppock, Jr.","CoCar","SBC","12.12","12.20","15.73","10.45","0.75","12.42"
"Da'Shawn Martin","UVA","ACC","12.11","12.22","13.41","11.52","0.66","0.66"
"Jamel Hardy Jr.","UTSA","Amer","12.11","12.15","13.63","6.46","1.31","1.31"
"Adonis McDaniel","OreSt","Pac12","12.11","11.97","9.80","12.93","0.50","11.29"
"Mark Hamper","Cal","ACC","12.11","12.29","11.36","12.62","0.68","6.66"
"Hykeem Williams","Col","Big12","12.10","12.03","14.81","8.77","7.56","1.76"
"Jalen Cooper","SMU","ACC","12.10","11.77","10.80","6.71","1.57","1.57"
"Ed Small","TCU","Big12","12.10","12.11","9.65","10.20","2.67","2.67"
"John Neider","WVU","Big12","12.09","12.19","13.72","11.61","0.58","0.49"
"Koby Howard","PSU","Big10","12.09","11.90","14.24","7.14","10.67","2.75"
"Tyler Morris","Ind","Big10","12.09","12.07","12.78","9.00","1.98","10.28"
"Joshisa ""Jojo"" Trader","NCSt","ACC","12.08","12.22","9.76","11.16","2.55","2.55"
"Mikey Matthews","UCLA","Big10","12.07","12.46","14.79","9.81","0.64","11.59"
"Jaden Smith","UTEP","MWC","12.07","12.08","13.42","9.47","2.84","1.38"
"Aaron Butler","OreSt","Pac12","12.07","12.19","12.37","10.67","9.29","9.29"
"Baylin Brooks","WMich","MAC","12.07","12.03","11.72","11.01","0.76","0.76"
"Pofele Ashlock","Haw","MWC","12.06","12.07","8.75","11.69","0.23","0.23"
"Donovan Brown","SDSU","Pac12","12.06","12.14","16.03","12.60","3.47","9.14"
"Rahkeem Smith","GATech","ACC","12.06","11.79","13.75","11.25","1.26","9.54"
"Devin Carter","FSU","ACC","12.06","12.06","12.06","12.06","12.06","12.06"
"Jayon Farrar","Fres","Pac12","12.06","11.86","11.89","6.78","2.29","11.26"
"Kaydon Finley","ND","Inde","12.05","12.05","12.05","12.05","12.05","12.05"
"Jelani Watkins","Ark","SEC","12.05","11.87","12.25","10.23","8.74","8.74"
"Jalen Moss","AZSt","Big12","12.05","12.19","11.93","10.49","3.22","5.03"
"Colin Chase","Temp","Amer","12.04","11.94","13.40","11.71","3.52","11.54"
"Ayden Greene","VT","ACC","12.04","12.46","13.31","6.97","0.65","3.00"
"Carver Cheeks","UTEP","MWC","12.04","12.07","11.17","7.62","0.54","9.14"
"Evan Boyd","IASt","Big12","12.03","12.05","12.76","8.87","5.00","1.22"
"Chas Nimrod","Aub","SEC","12.03","12.27","11.26","12.10","9.99","0.90"
"David Wells Jr.","Tuls","Amer","12.03","12.31","14.33","11.24","10.64","8.29"
"Donovan Murph","SoCar","SEC","12.01","12.15","13.31","10.68","12.20","1.72"
"Owen Sweeney","Marsh","SBC","12.01","11.99","11.58","14.81","0.42","0.42"
"Braylon James","TCU","Big12","12.01","11.98","12.35","10.78","9.58","9.58"
"Noah Grevious","JMU","SBC","12.01","12.08","12.50","13.66","0.38","11.84"
"Rashid Williams","Wash","Big10","12.00","12.09","14.42","7.26","2.92","2.92"
"Rico Bond","Tol","MAC","12.00","12.19","14.66","13.14","9.73","9.11"
"Qua'Vez Humphreys","WKU","CUSA","11.99","11.78","12.71","9.42","0.93","6.10"
"Armani Winfield","USF","Amer","11.98","11.97","13.76","7.59","0.80","0.80"
"Ismael Cisse","Ark","SEC","11.98","12.05","15.90","9.10","11.52","11.77"
"Chris Marshall","Ark","SEC","11.98","11.84","7.02","13.55","1.10","1.10"
"Ashton Hollins","GASo","SBC","11.98","11.82","10.62","7.01","3.17","3.17"
"Cole Adams","Vand","SEC","11.97","12.22","13.02","8.22","3.42","3.42"
"Braeden Wisloski","JMU","SBC","11.97","11.99","10.02","10.87","9.79","9.15"
"Chris Hunter","Zona","Big12","11.96","12.01","12.39","10.29","0.21","4.93"
"Keith Reynolds","MiaOH","MAC","11.95","11.59","15.31","11.06","11.68","13.28"
"Kayleb Barnett","Vand","SEC","11.95","11.62","9.97","10.11","3.89","11.68"
"Jv Gibson","Cincy","Big12","11.94","12.35","12.63","11.81","0.30","5.09"
"Isaiah Fuhrmann","GATech","ACC","11.94","11.92","10.22","14.98","0.35","8.79"
"R.J. Mosley","Zona","Big12","11.94","11.94","11.94","11.94","11.94","11.94"
