"School","Conference","Injury Number","Injury New","OFS","O","D","Q","P","S","GTD","OPT","RET","Injury Impact","Impact PP"
"Liberty","CUSA","1","0","0","0","0","1","0","0","0","0","0","0.0","0.0"
"Louisville","ACC","4","0","2","0","0","1","1","0","0","0","0","0.0","0.0"
"LSU","SEC","5","0","1","0","0","1","3","0","0","0","0","0.0","0.0"
"Marshall","SBC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Maryland","Big10","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Massachusetts","MAC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Memphis","Amer","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Miami (OH)","MAC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Michigan","Big10","3","0","0","0","0","1","2","0","0","0","0","0.0","0.0"
"Michigan State","Big10","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Minnesota","Big10","1","0","0","0","0","0","1","0","0","0","0","0.0","0.0"
"Ole Miss","SEC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Mississippi State","SEC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Missouri State","CUSA","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Middle Tennessee","CUSA","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Navy","Amer","1","0","0","0","0","0","1","0","0","0","0","0.0","0.0"
"NC State","ACC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"North Dakota State","MWC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Nebraska","Big10","2","0","0","0","0","1","1","0","0","0","0","0.0","0.0"
"Nevada","MWC","1","0","0","0","0","1","0","0","0","0","0","0.0","0.0"
"Northern Illinois","MWC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"New Mexico State","CUSA","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"North Texas","Amer","1","0","0","0","0","0","1","0","0","0","0","0.0","0.0"
"Northwestern","Big10","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Old Dominion","SBC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Ohio","MAC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Oklahoma State","Big12","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Oregon","Big10","3","0","0","0","1","2","0","0","0","0","0","0.0","0.0"
"Oregon State","Pac12","1","0","0","0","0","1","0","0","0","0","0","0.0","0.0"
"Ohio State","Big10","5","0","0","0","0","1","4","0","0","0","0","0.0","0.0"
"Oklahoma","SEC","4","0","0","0","0","3","1","0","0","0","0","0.0","0.0"
"Pittsburgh","ACC","4","0","0","0","0","4","0","0","0","0","0","0.0","0.0"
"Penn State","Big10","10","0","0","0","0","2","8","0","0","0","0","0.0","0.0"
"Purdue","Big10","1","0","0","0","0","1","0","0","0","0","0","0.0","0.0"
"Rice","Amer","1","0","0","0","0","1","0","0","0","0","0","0.0","0.0"
