"Name","School","Conference","Overall","Running","Receiving","Pass Pro","Elusive/Explosive"
"Brooklen Davis","MTSU","CUSA","8.67","8.67","8.67","8.67","8.67"
"TK Davis","Mass","MAC","8.67","8.67","8.67","8.67","8.67"
"Tauqeer Davis","Mass","MAC","8.67","8.67","8.67","8.67","8.67"
"De'Carlos Young","Temp","Amer","8.66","8.66","8.66","8.66","8.66"
"Max Guest","App","SBC","8.64","8.64","8.64","8.64","8.64"
"Malichi Greaves","ColSt","Pac12","8.64","8.67","8.58","7.71","8.78"
"Jake Randle","Tul","Amer","8.63","8.63","8.63","8.63","8.63"
"CJ Jackson III","ODU","SBC","8.63","8.63","8.63","8.63","8.63"
"Da'Marion Alberic","Mass","MAC","8.63","8.70","8.69","7.28","7.11"
"Skyler Jackson","OreSt","Pac12","8.63","8.64","8.30","8.30","8.42"
"Charleston French","UNC","ACC","8.62","8.58","8.35","6.10","7.96"
"Ac Walters","Troy","SBC","8.59","8.59","8.59","8.59","8.59"
"Elijah Faulkner","Mass","MAC","8.58","9.10","6.40","8.22","4.68"
"Andre Devine","WVU","Big12","8.58","8.58","8.58","8.58","8.58"
"Ameir Morrow","Temp","Amer","8.58","8.58","8.58","8.58","8.58"
"Landon Watkins","JackSt","CUSA","8.58","8.58","8.58","8.58","8.58"
"Char'rese Breveard","Ball","MAC","8.58","8.58","8.58","8.58","8.58"
"Tomarion Steward","MiaOH","MAC","8.58","8.58","8.58","8.58","8.58"
"Kadale Williams","Tol","MAC","8.55","8.55","8.55","8.55","8.55"
"Cortez LeGrant","NDSt","MWC","8.53","8.43","7.46","8.76","10.46"
"Jake Reichle","OreSt","Pac12","8.49","8.46","8.02","8.30","6.45"
"Malachi James","EMich","MAC","8.48","8.49","8.50","8.16","8.27"
"Dennis Moody III","OKSt","Big12","8.47","8.81","6.89","7.86","8.31"
"Zay Parks","FSU","ACC","8.47","8.29","7.27","7.98","8.38"
"Samari Howard","Army","Amer","8.46","9.43","6.97","7.99","6.91"
"Julyon Jordan","SoAla","SBC","8.46","8.46","8.46","8.46","8.46"
"Paul Holyfield Jr.","Duke","ACC","8.43","8.87","8.23","6.09","6.11"
"Devaughn Eka","BYU","Big12","8.40","8.40","8.40","8.40","8.40"
"Adarion Nettles","NoTex","Amer","8.40","8.40","8.40","8.40","8.40"
"Nolan Johnson","Army","Amer","8.40","8.40","8.40","8.40","8.40"
"Leonard Farrow","FAU","Amer","8.40","8.40","8.40","8.40","8.40"
"Justin Powell","Rice","Amer","8.40","8.40","8.40","8.40","8.40"
"Jaden Pydyn","Army","Amer","8.40","8.40","8.40","8.40","8.40"
"Justin Compere","FIU","CUSA","8.40","8.40","8.40","8.40","8.40"
"Gavin Griffin","Troy","SBC","8.40","8.40","8.40","8.40","8.40"
"Chavel Williams","ArkSt","SBC","8.40","8.40","8.40","8.40","8.40"
"Decorie Johnson","EMich","MAC","8.40","8.40","8.40","8.40","8.40"
"Jackson Farley","Kent","MAC","8.40","8.40","8.40","8.40","8.40"
"Robert Lucero","Fres","Pac12","8.40","8.40","8.40","8.40","8.40"
"Isaiah Ene","SacSt","MAC","8.40","8.40","8.40","8.40","8.40"
"Courshawn Hill","SJSt","MWC","8.40","8.40","8.40","8.40","8.40"
"Julian Walker","ULM","SBC","8.40","8.40","8.40","8.40","8.40"
"Tristin Blackmon","BG","MAC","8.40","8.40","8.40","8.40","8.40"
"Adrian Symalla","Navy","Amer","8.40","8.40","8.40","8.40","8.40"
"Colin Page","NoTex","Amer","8.35","8.29","7.88","8.07","9.48"
"Myles Mitchell","NDSt","MWC","8.32","8.10","7.28","8.38","7.09"
"James McNeil, Jr.","Buff","MAC","8.28","8.10","6.83","7.46","9.76"
"Elijah Porter","NIU","MWC","8.26","8.57","7.91","8.79","11.43"
"Vic Listorti","Navy","Amer","8.26","8.07","7.06","8.21","8.39"
"Cole Gamble","Aub","SEC","8.23","8.23","8.23","8.23","8.23"
"Kaden Winkfield","SHSt","CUSA","8.23","8.23","8.23","8.23","8.23"
"James Kelly","Ohio","MAC","8.23","8.23","8.23","8.23","8.23"
"Tanner Rubinstein","Tol","MAC","8.23","8.23","8.23","8.23","8.23"
"Da'sean Howard","NIU","MWC","8.23","8.23","8.23","8.23","8.23"
"Jackson Regan","UTRGV","Southland","8.23","8.23","8.23","8.23","8.23"
"Phoenix Donghia","JMU","SBC","8.20","8.20","8.20","8.20","8.20"
"Jalen Likely","JackSt","CUSA","8.20","8.21","7.87","8.27","7.35"
"Bronwyn Rios","Nev","MWC","8.18","8.18","8.18","8.18","8.18"
"Micah Bell","UGA","SEC","8.17","8.17","8.17","8.17","8.17"
"Ravian Larry","UtSt","Pac12","8.16","8.16","7.83","7.83","7.95"
"Connor Mathews","USF","Amer","8.06","8.06","8.06","8.06","8.06"
"Nino Hill","Buff","MAC","8.06","8.06","8.06","8.06","8.06"
"Titan Lacaden","Haw","MWC","8.06","8.06","8.06","8.06","8.06"
"Ryken Banks","Wyo","MWC","8.05","8.05","8.05","8.05","8.05"
"Irving Brown","Ohio","MAC","8.05","8.05","8.05","8.05","8.05"
"MJ Dowdy","SHSt","CUSA","8.05","8.05","8.05","8.05","8.05"
"Nasir Allen","ArkSt","SBC","8.05","8.05","8.05","8.05","8.05"
"Anthony McMullen","Ball","MAC","8.05","8.05","8.05","8.05","8.05"
"Amar'e Johnson","MOSt","CUSA","8.05","8.05","8.05","8.05","8.05"
"Joey Mattord","EMich","MAC","8.02","7.67","8.65","6.12","5.47"
"Zion Gist","MichSt","Big10","7.95","7.95","7.95","7.95","7.95"
"Triston White","NIU","MWC","7.95","7.95","7.95","7.95","7.95"
"Josh Bell","UTEP","MWC","7.95","7.95","7.95","7.95","7.95"
"Jayel Harris","CMich","MAC","7.92","7.92","7.92","7.92","7.92"
"Kam Thomas","UTEP","MWC","7.91","8.33","7.54","8.18","7.37"
"DD Murray","A&M","SEC","7.90","7.90","7.90","7.90","7.90"
"NaKeem Powell","Del","CUSA","7.88","7.88","7.88","7.88","7.88"
"Tj Fo'ilefutu","Haw","MWC","7.88","7.88","7.88","7.88","7.88"
"Anthony Rubio","Fla","SEC","7.87","7.85","6.27","4.96","6.70"
"Darrell Smith","ULLaf","SBC","7.86","7.93","7.87","7.29","7.32"
"D'Mariun Perteet","Char","Amer","7.85","7.85","7.85","7.85","7.85"
"Judah Price","Marsh","SBC","7.85","7.96","7.65","5.12","6.41"
"Sir Autry","SJSt","MWC","7.81","7.81","7.81","7.81","7.81"
"Julius Gillick","Fres","Pac12","7.73","7.69","6.93","6.93","8.72"
"Janerious Jackson","Nev","MWC","7.71","7.71","7.71","7.71","7.71"
"Jai Hundley","Navy","Amer","7.70","7.70","7.70","7.70","7.70"
"Jadyn Jones","Navy","Amer","7.70","7.70","7.70","7.70","7.70"
"Quinton Ezzard","Navy","Amer","7.70","7.70","7.70","7.70","7.70"
"Stefan Egbe","Navy","Amer","7.70","7.70","7.70","7.70","7.70"
"Christian Cromer","Navy","Amer","7.70","7.70","7.70","7.70","7.70"
"Aydin Woolfolk","Navy","Amer","7.70","7.70","7.70","7.70","7.70"
"Hudson Higgins","UAB","Amer","7.70","7.70","7.70","7.70","7.70"
"Brinston Williams","MissSt","SEC","7.70","8.11","7.58","4.94","6.86"
"Derrick Jameson","ULM","SBC","7.55","7.59","6.41","6.59","8.48"
"Jaden Lawrence","Wyo","MWC","7.55","7.55","7.55","7.55","7.55"
"Aiden Flora","IASt","Big12","7.52","7.69","6.56","6.84","9.72"
"Jalen Alexander","Ball","MAC","7.52","7.59","7.50","7.79","6.93"
"Jamezell Lassiter","Vand","SEC","7.46","7.58","7.51","4.81","9.99"
"John Stowers","CMich","MAC","7.43","7.43","7.43","7.43","7.43"
"Dennis Murray Jr.","GaSt","SBC","7.39","7.31","7.80","5.18","6.54"
"William Mason","OKSt","Big12","7.35","7.35","7.35","7.35","7.35"
"Prosper Akanna","Navy","Amer","7.35","7.35","7.35","7.35","7.35"
"Tim Kloska","Army","Amer","7.35","7.35","7.35","7.35","7.35"
"Jaylen Foster","SMiss","SBC","7.35","7.35","7.35","7.35","7.35"
"DeJuan Lacy","ECU","Amer","7.30","7.54","6.19","8.21","6.12"
"Agyeman Addae","UCF","Big12","7.30","7.24","7.35","8.26","6.40"
"Tomas O'Meara","Mich","Big10","7.22","7.03","3.42","3.42","5.32"
"Chase Ferrell","AirF","MWC","7.15","7.15","7.15","7.15","7.15"
"Micah Beckstead","BYU","Big12","7.00","7.00","7.00","7.00","7.00"
"Beau Phillips","WashSt","Pac12","7.00","7.00","7.00","7.00","7.00"
"Maddax Fayard","Navy","Amer","7.00","7.00","7.00","7.00","7.00"
"Andersen Cardoza","Navy","Amer","7.00","7.00","7.00","7.00","7.00"
"Demani Stewart","Army","Amer","7.00","7.00","7.00","7.00","7.00"
"Brennan Fisher","Army","Amer","7.00","7.00","7.00","7.00","7.00"
"Almari Brown","FAU","Amer","7.00","7.00","7.00","7.00","7.00"
"Stratton Fuller","Army","Amer","7.00","7.00","7.00","7.00","7.00"
"Marques Hicks","Kent","MAC","6.98","6.96","6.50","6.82","6.37"
"Zach Mundell","Army","Amer","6.93","6.94","6.32","6.21","6.27"
"Elijah Jackson","Ball","MAC","6.89","6.53","7.43","7.32","6.05"
"Bryce Hicks","Col","Big12","6.85","6.90","6.50","4.96","6.10"
"Jamal Bing Jr.","GaSt","SBC","6.77","6.93","6.12","7.08","5.35"
"Gage LaDue","AirF","MWC","6.70","6.65","4.87","4.87","5.74"
"Justin Cook","Pitt","ACC","6.67","6.61","7.28","4.95","5.81"
"Jaxon McCaig","MichSt","Big10","6.65","6.65","6.65","6.65","6.65"
"Beck Walker","Wash","Big10","6.65","6.65","6.65","6.65","6.65"
"James Minor","Cincy","Big12","6.65","6.65","6.65","6.65","6.65"
"Adrion Boyd","WKU","CUSA","6.65","6.65","6.65","6.65","6.65"
"Dylan Armentrout","Kent","MAC","6.65","6.65","6.65","6.65","6.65"
"Jacob Doyle","AirF","MWC","6.65","6.65","6.65","6.65","6.65"
"Travis Wood","AirF","MWC","6.65","6.65","6.65","6.65","6.65"
"Dane Nauman","Tol","MAC","6.40","6.33","6.46","5.80","5.96"
"Charlie Miska","BYU","Big12","6.31","6.31","4.45","4.45","5.66"
"Brady Wavrunek","NDSt","MWC","6.30","6.30","6.25","5.21","5.02"
"Joseph Ebun","LSU","SEC","6.30","6.30","6.30","6.30","6.30"
"Darius Taylor","VT","ACC","6.30","6.30","6.30","6.30","6.30"
"Darrin Jones Jr.","MichSt","Big10","6.30","6.30","6.30","6.30","6.30"
"Rusty VanWetzinga IV","CMich","MAC","6.30","6.30","6.30","6.30","6.30"
"Triston Morgan","KennSt","CUSA","6.30","6.30","6.30","6.30","6.30"
"Tre Kofe","UtSt","Pac12","6.30","6.30","6.30","6.30","6.30"
"Omari Elias","AirF","MWC","6.30","6.30","6.30","6.30","6.30"
"Jared Porter","Del","CUSA","6.30","6.21","6.32","6.66","5.84"
"David Clerk","Army","Amer","6.27","6.20","6.30","5.44","6.40"
"Donovan Delaney Jr.","Kent","MAC","6.24","6.48","6.61","4.24","4.84"
"Rocco Conti","AirF","MWC","6.23","6.17","6.17","6.14","5.39"
"Romelo Ware","NIU","MWC","6.20","6.23","5.61","5.61","5.84"
"Anthony Favrow","Mizz","SEC","6.11","6.12","5.78","5.78","5.89"
"TJ Peyton","GaSt","SBC","6.07","6.13","6.38","4.59","6.13"
"Kayden Luke","WVU","Big12","6.06","5.93","5.81","6.17","5.43"
"Lloyd Benson III","Army","Amer","5.96","5.94","5.98","5.13","5.11"
"Christian Burnette","Aub","SEC","5.95","5.95","5.95","5.95","5.95"
"Jay Coyne","MichSt","Big10","5.95","5.95","5.95","5.95","5.95"
"Harrison Williams","LATech","SBC","5.95","5.95","5.95","5.95","5.95"
"Jalen Brown","NMSt","CUSA","5.95","5.95","5.95","5.95","5.95"
"JR Hays","WMich","MAC","5.95","5.95","5.95","5.95","5.95"
"Bryant Collins","SacSt","MAC","5.95","5.95","5.95","5.95","5.95"
"Elias Brown","SacSt","MAC","5.95","5.95","5.95","5.95","5.95"
"Mario Robinson","Ark","SEC","5.95","5.95","5.95","5.95","5.95"
"Josh Kubala","Cuse","ACC","5.95","5.95","5.95","5.95","5.95"
"Carson Morgan","Rice","Amer","5.90","5.90","5.68","6.07","5.40"
"Chase Dawkins","WMich","MAC","5.76","5.76","4.82","4.82","5.58"
"Anthony Ferrucci","BC","ACC","5.65","5.64","5.66","5.88","4.80"
"Soren Rief","Conn","Inde","5.62","5.62","4.95","4.95","5.18"
"Brian Case","Fla","SEC","5.60","5.60","5.60","5.60","5.60"
"Ben McCreary","OU","SEC","5.60","5.60","5.60","5.60","5.60"
"Charlie Daly","Army","Amer","5.60","5.60","5.60","5.60","5.60"
"Tyrese Woodgett","GASo","SBC","5.60","5.60","5.60","5.60","5.60"
"Lanear McCrary Jr.","GaSt","SBC","5.60","5.60","5.60","5.60","5.60"
"Kurt Smith","ND","Inde","5.60","5.60","5.60","5.60","5.60"
"Matt Williams","ND","Inde","5.60","5.60","5.60","5.60","5.60"
"Cade Romanini","Kent","MAC","5.60","5.60","5.60","5.60","5.60"
"Mohammad Maali","UNLV","MWC","5.60","5.60","5.60","5.60","5.60"
"Maddox Merrill","Fres","Pac12","5.60","5.60","5.60","5.60","5.60"
"Brayden Ford","Fres","Pac12","5.60","5.60","5.60","5.60","5.60"
"Luke Rauh","AirF","MWC","5.60","5.60","5.60","5.60","5.60"
"Cade Palmer","AirF","MWC","5.60","5.60","5.60","5.60","5.60"
"Price Davis","AirF","MWC","5.60","5.60","5.60","5.60","5.60"
"Curtis Kimmons IV","Mass","MAC","5.60","5.60","5.60","5.60","5.60"
"Montrell Rice","SacSt","MAC","5.60","5.60","5.60","5.60","5.60"
"Brady Tillman III","FAU","Amer","5.57","5.57","5.62","5.55","5.98"
"Easton Miller","IASt","Big12","5.51","5.55","4.34","4.28","4.47"
"Zane Smith","Hou","Big12","5.44","5.41","4.62","4.62","4.85"
"Charles Ross III","NDSt","MWC","5.40","5.41","5.10","5.10","5.21"
"Hunter Barnes","Tenn","SEC","5.40","5.37","3.56","3.58","7.14"
"Leo Kemp","BG","MAC","5.39","5.42","5.39","5.55","5.21"
"William Fierro","SMU","ACC","5.37","5.37","5.15","5.15","5.23"
"Devin Ingram","KennSt","CUSA","5.32","5.35","5.25","5.36","5.11"
"Link Rhodes","SMU","ACC","5.29","5.31","5.28","4.62","5.51"
"Anthony Wilhite","Zona","Big12","5.27","5.11","5.68","5.12","4.74"
"Peyton Streko","Clem","ACC","5.26","5.23","4.71","4.71","4.87"
"Fredrick Moore","Bama","SEC","5.25","5.25","5.25","5.25","5.25"
"James Dalrymple","UK","SEC","5.25","5.25","5.25","5.25","5.25"
"Gary Stacy","Mich","Big10","5.25","5.25","5.25","5.25","5.25"
"Carson Berger","Tex","SEC","5.25","5.25","5.25","5.25","5.25"
"Harrison Bortolotti","Wisc","Big10","5.25","5.25","5.25","5.25","5.25"
"Mason Lane","Wisc","Big10","5.25","5.25","5.25","5.25","5.25"
"Max Wilson","Clem","ACC","5.25","5.25","5.25","5.25","5.25"
"Gray Peterson","VT","ACC","5.25","5.25","5.25","5.25","5.25"
"Henry Martello","UNC","ACC","5.25","5.25","5.25","5.25","5.25"
"Liam Willson","Mary","Big10","5.25","5.25","5.25","5.25","5.25"
"Solomon Foye","Mary","Big10","5.25","5.25","5.25","5.25","5.25"
"Carter Holsworth","Purd","Big10","5.25","5.25","5.25","5.25","5.25"
"Xavier Williams","Rut","Big10","5.25","5.25","5.25","5.25","5.25"
"Landon Walker","TCU","Big12","5.25","5.25","5.25","5.25","5.25"
"Wyatt Archer","IASt","Big12","5.25","5.25","5.25","5.25","5.25"
"AJ Petersen","IASt","Big12","5.25","5.25","5.25","5.25","5.25"
"Loic Tshibangu","TT","Big12","5.25","5.25","5.25","5.25","5.25"
"Chance Nixon","UCF","Big12","5.25","5.25","5.25","5.25","5.25"
"Logan Payne","BYU","Big12","5.25","5.25","5.25","5.25","5.25"
"Leonardo Valle","Col","Big12","5.25","5.25","5.25","5.25","5.25"
"Boston Reinhold","Utah","Big12","5.25","5.25","5.25","5.25","5.25"
"Tim Longo","BC","ACC","5.25","5.25","5.25","5.25","5.25"
"Billy Barrett","BC","ACC","5.25","5.25","5.25","5.25","5.25"
"Isaiah McGill","Mem","Amer","5.25","5.25","5.25","5.25","5.25"
"Michael Beatty","ECU","Amer","5.25","5.25","5.25","5.25","5.25"
"DaMari Gantt","ECU","Amer","5.25","5.25","5.25","5.25","5.25"
"Dontae Burch","Wyo","MWC","5.25","5.25","5.25","5.25","5.25"
"Nikos Varelas","Wyo","MWC","5.25","5.25","5.25","5.25","5.25"
"Jordan West","Tul","Amer","5.25","5.25","5.25","5.25","5.25"
"Santino Sanchez","Navy","Amer","5.25","5.25","5.25","5.25","5.25"
"Jr Mosley","UAB","Amer","5.25","5.25","5.25","5.25","5.25"
"Aden Self","Army","Amer","5.25","5.25","5.25","5.25","5.25"
"Chace Knox","Army","Amer","5.25","5.25","5.25","5.25","5.25"
"Brady Mott","Army","Amer","5.25","5.25","5.25","5.25","5.25"
"Bj Alleyne","Army","Amer","5.25","5.25","5.25","5.25","5.25"
"Stroman Bridges","Army","Amer","5.25","5.25","5.25","5.25","5.25"
"Terrence Brown","MTSU","CUSA","5.25","5.25","5.25","5.25","5.25"
"Ah'Marion Gaines-Smith","SHSt","CUSA","5.25","5.25","5.25","5.25","5.25"
"Jordan Stapleton","CMich","MAC","5.25","5.25","5.25","5.25","5.25"
"Nick Woodford","CMich","MAC","5.25","5.25","5.25","5.25","5.25"
"Bre'Lan Mareus","GASo","SBC","5.25","5.25","5.25","5.25","5.25"
"Owen Morris","ULLaf","SBC","5.25","5.25","5.25","5.25","5.25"
"Devare Mathis","Buff","MAC","5.25","5.25","5.25","5.25","5.25"
"Trey Hall","ODU","SBC","5.25","5.25","5.25","5.25","5.25"
"Robert Henderson","SMiss","SBC","5.25","5.25","5.25","5.25","5.25"
"Jacob Cornejo","JackSt","CUSA","5.25","5.25","5.25","5.25","5.25"
"Jamarious Acklin","JackSt","CUSA","5.25","5.25","5.25","5.25","5.25"
"Reginald Lea","Del","CUSA","5.25","5.25","5.25","5.25","5.25"
"Boogie Woods III","KennSt","CUSA","5.25","5.25","5.25","5.25","5.25"
"Matthew Sollberger","Kent","MAC","5.25","5.25","5.25","5.25","5.25"
"Jalen Harris","Fres","Pac12","5.25","5.25","5.25","5.25","5.25"
"Andrew Chavez","Fres","Pac12","5.25","5.25","5.25","5.25","5.25"
"Cameron Mathews","UNM","MWC","5.25","5.25","5.25","5.25","5.25"
"Brevin Egbert","UtSt","Pac12","5.25","5.25","5.25","5.25","5.25"
"Sitani Mikaele","Haw","MWC","5.25","5.25","5.25","5.25","5.25"
"Jonathan Harvey","NDSt","MWC","5.25","5.25","5.25","5.25","5.25"
"Reginald Craig","NIU","MWC","5.25","5.25","5.25","5.25","5.25"
"CJ Phillip","ULM","SBC","5.25","5.25","5.25","5.25","5.25"
"Trevon Kinchen","ULM","SBC","5.25","5.25","5.25","5.25","5.25"
"Makin Lenard","ULM","SBC","5.25","5.25","5.25","5.25","5.25"
"Christian Ponti","ULM","SBC","5.25","5.25","5.25","5.25","5.25"
"Ricardo Laboy","Mass","MAC","5.25","5.25","5.25","5.25","5.25"
"Terrell Walden II","MiaFL","ACC","5.21","5.19","5.11","4.76","5.05"
"Amari Brundidge","UAB","Amer","5.15","5.14","5.12","4.17","4.50"
"Cian McKelvey","USC","Big10","5.14","5.12","4.76","4.76","4.87"
"Josiah Basten","SMiss","SBC","5.12","5.11","4.76","4.76","4.87"
"Germanuel Tanelus","FAU","Amer","5.11","5.10","4.76","4.76","4.87"
"Izaac Dickey","Neb","Big10","5.09","5.10","5.11","4.76","4.87"
"Jonathan Mathis","KennSt","CUSA","5.07","5.08","4.76","4.76","4.87"
"Troy Marquez","ODU","SBC","4.99","4.98","4.29","5.06","4.52"
"Wade Penn","UGA","SEC","4.95","4.95","4.29","4.29","4.52"
"Jason Philpot-Dixon","CMich","MAC","4.90","5.08","4.32","3.75","5.77"
"Kelvin Jimenez","Fla","SEC","4.90","4.90","4.90","4.90","4.90"
"Reid Chauvin","LSU","SEC","4.90","4.90","4.90","4.90","4.90"
"Stanley Jackson Jr.","OSU","Big10","4.90","4.90","4.90","4.90","4.90"
"Braeden Jackson","Iowa","Big10","4.90","4.90","4.90","4.90","4.90"
"Zander Quinn","Ore","Big10","4.90","4.90","4.90","4.90","4.90"
"Darius Morant","WVU","Big12","4.90","4.90","4.90","4.90","4.90"
"Nehemiah Warmate","Hou","Big12","4.90","4.90","4.90","4.90","4.90"
"Micah Johnson","KU","Big12","4.90","4.90","4.90","4.90","4.90"
"Titus Bautista","Col","Big12","4.90","4.90","4.90","4.90","4.90"
"Jack Stevens","UVA","ACC","4.90","4.90","4.90","4.90","4.90"
"Kalil Townes","Wake","ACC","4.90","4.90","4.90","4.90","4.90"
"Carl Watson III","WashSt","Pac12","4.90","4.90","4.90","4.90","4.90"
"Jordan Miller","Temp","Amer","4.90","4.90","4.90","4.90","4.90"
"Gabe Mocek","Tul","Amer","4.90","4.90","4.90","4.90","4.90"
"Drew Patterson","UAB","Amer","4.90","4.90","4.90","4.90","4.90"
"Jc Solitaire","UTSA","Amer","4.90","4.90","4.90","4.90","4.90"
"Foster Orris","GASo","SBC","4.90","4.90","4.90","4.90","4.90"
"Bryce Burgess","Troy","SBC","4.90","4.90","4.90","4.90","4.90"
"Steven Robinson","SMiss","SBC","4.90","4.90","4.90","4.90","4.90"
"Tyrese Weeks","SMiss","SBC","4.90","4.90","4.90","4.90","4.90"
"Jalen Rashad Turner","AirF","MWC","4.90","4.90","4.90","4.90","4.90"
"Oswaldo Morales","AirF","MWC","4.90","4.90","4.90","4.90","4.90"
"Joshua Harriott","FAU","Amer","4.82","4.83","4.74","4.95","5.93"
"Nehemiah Washington","UtSt","Pac12","4.80","4.77","4.42","4.42","4.53"
"Darius Johnson","NCSt","ACC","4.80","4.82","4.77","4.92","4.18"
"Ramarian Tillman","A&M","SEC","4.75","4.76","4.42","4.42","4.53"
"Jayden Parker","Cal","ACC","4.75","4.75","4.42","4.42","4.53"
"Damon Sisa","ArkSt","SBC","4.68","4.68","4.46","4.46","4.54"
"Kadenn Rose","CMich","MAC","4.66","5.26","4.32","3.39","4.93"
"Jessie Washington III","Bama","SEC","4.55","4.55","4.55","4.55","4.55"
"Macaleb Taylor","Miss","SEC","4.55","4.55","4.55","4.55","4.55"
"Neil Salvage III","SoCar","SEC","4.55","4.55","4.55","4.55","4.55"
"Jake Balis","Vand","SEC","4.55","4.55","4.55","4.55","4.55"
"Jack Whitehouse","MiaFL","ACC","4.55","4.55","4.55","4.55","4.55"
"Cole Denson","Duke","ACC","4.55","4.55","4.55","4.55","4.55"
"John Buetow","VT","ACC","4.55","4.55","4.55","4.55","4.55"
"Corey Rashad","Illini","Big10","4.55","4.55","4.55","4.55","4.55"
"Murphy Clement","Illini","Big10","4.55","4.55","4.55","4.55","4.55"
"Joe Pitchford","TCU","Big12","4.55","4.55","4.55","4.55","4.55"
"Aaron Davis","Hou","Big12","4.55","4.55","4.55","4.55","4.55"
"Steve Polk","Hou","Big12","4.55","4.55","4.55","4.55","4.55"
"Sawyer Wilkerson","TT","Big12","4.55","4.55","4.55","4.55","4.55"
"Ryan Henley","Wake","ACC","4.55","4.55","4.55","4.55","4.55"
"Amare Gomez","ColSt","Pac12","4.55","4.55","4.55","4.55","4.55"
"Nate Henry","FIU","CUSA","4.55","4.55","4.55","4.55","4.55"
"Dylone Brooks","LATech","SBC","4.55","4.55","4.55","4.55","4.55"
"Riley Small","LATech","SBC","4.55","4.55","4.55","4.55","4.55"
"Jaysen Angulo","App","SBC","4.55","4.55","4.55","4.55","4.55"
"Tayo Ashadele","GaSt","SBC","4.55","4.55","4.55","4.55","4.55"
"JJ Garner","ULLaf","SBC","4.55","4.55","4.55","4.55","4.55"
"Omarion Brown","ULLaf","SBC","4.55","4.55","4.55","4.55","4.55"
"Andre Spence","SoAla","SBC","4.55","4.55","4.55","4.55","4.55"
"Joe Ober","CoCar","SBC","4.55","4.55","4.55","4.55","4.55"
"Nate Thomas","JackSt","CUSA","4.55","4.55","4.55","4.55","4.55"
"XaVior Tyus","EMich","MAC","4.55","4.55","4.55","4.55","4.55"
"Joshua Troupe","KennSt","CUSA","4.55","4.55","4.55","4.55","4.55"
"Anthony Quinn, Jr.","Marsh","SBC","4.55","4.55","4.55","4.55","4.55"
"Darrion Bowers","UNM","MWC","4.55","4.55","4.55","4.55","4.55"
"Cole Pryor","TexSt","Pac12","4.55","4.55","4.55","4.55","4.55"
"Bradley Sowersby","TexSt","Pac12","4.55","4.55","4.55","4.55","4.55"
"Dean-Taylor Chapman","Cal","ACC","4.47","4.45","4.08","4.49","4.19"
"Carson Smith","AZSt","Big12","4.20","4.20","4.20","4.20","4.20"
"Mason Culton","UTSA","Amer","4.20","4.20","4.20","4.20","4.20"
"David Barela","NMSt","CUSA","4.20","4.20","4.20","4.20","4.20"
"Aginon Wilson Jr.","Ohio","MAC","4.20","4.20","4.20","4.20","4.20"
"Trey Taylor","SHSt","CUSA","4.20","4.20","4.20","4.20","4.20"
"Tryton Keli'ikipi","Haw","MWC","4.20","4.20","4.20","4.20","4.20"
"Luke Reed","Akr","MAC","4.07","4.06","4.09","3.74","3.85"
"Jaylin Belford","Lib","CUSA","3.96","3.98","3.37","4.15","3.53"
"Tj Andrews","UTSA","Amer","3.85","3.85","3.85","3.85","3.85"
"Roscoe Burton","NMSt","CUSA","3.85","3.85","3.85","3.85","3.85"
"Darrien Jones","UNLV","MWC","3.85","3.85","3.85","3.85","3.85"
"DeWhitt Betterson Jr.","Troy","SBC","3.50","3.50","3.50","3.50","3.50"
