"Name","School","Conference","Overall","Running","Receiving","Pass Pro","Elusive/Explosive"
"Kam Davis","Lib","CUSA","12.72","12.80","11.24","14.11","11.96"
"Michael Turner","Bay","Big12","12.70","12.94","11.43","10.31","8.79"
"Devin Spencer","ArkSt","SBC","12.70","13.53","10.50","14.20","9.76"
"Ja'Kobi Jackson","OSU","Big10","12.70","12.74","10.92","11.36","11.82"
"Brandon High Jr.","UTSA","Amer","12.70","12.94","11.44","13.32","9.97"
"Markell Holman","Wyo","MWC","12.69","12.79","11.26","9.62","12.36"
"Samuel ""Tote"" Harris","Wyo","MWC","12.68","12.83","13.13","5.15","11.37"
"Matt Fuller","SoCar","SEC","12.68","12.85","11.67","8.22","11.01"
"Jonathan Hatton Jr.","OU","SEC","12.68","12.68","12.68","12.68","12.68"
"Mel Brown","ColSt","Pac12","12.68","12.83","10.79","10.81","13.17"
"CJ Miller","Tol","MAC","12.68","12.74","11.63","8.81","12.09"
"Jalen Dupree","KU","Big12","12.68","13.08","9.21","12.54","10.89"
"Dallan Hayden","Mem","Amer","12.67","12.91","11.51","9.56","9.38"
"Demon June","UNC","ACC","12.66","13.22","10.64","6.80","12.64"
"Daniel Hill","Bama","SEC","12.65","13.49","11.37","8.67","9.66"
"James Jones","NMSt","CUSA","12.65","12.75","9.58","10.32","14.16"
"Landan ""Coco"" Brown","SHSt","CUSA","12.64","12.71","12.94","11.96","10.82"
"Antonio Martin","MTSU","CUSA","12.63","13.00","10.06","8.63","12.84"
"Darrion Dupree","Wisc","Big10","12.63","12.69","12.60","9.74","11.20"
"Jayden Limar","Wash","Big10","12.62","12.78","12.10","12.15","10.27"
"CJ Baxter","UK","SEC","12.62","12.81","12.18","9.22","8.72"
"Jovantae Barnes","UK","SEC","12.61","13.23","10.39","11.00","9.72"
"Jamar Curtis","SacSt","MAC","12.61","12.62","10.47","9.04","8.84"
"Brian Bonner Jr.","Wash","Big10","12.59","12.59","12.59","12.59","12.59"
"Damian Henderson II","Col","Big12","12.57","12.42","12.82","11.10","10.48"
"Jordan Gant","Akr","MAC","12.57","13.34","8.92","7.96","9.20"
"Lloyd Avant","OU","SEC","12.54","13.14","11.71","8.51","11.68"
"Rod Robinson II","UAB","Amer","12.53","12.46","11.85","11.87","12.68"
"Terron Kellman","Lib","CUSA","12.52","12.85","10.13","9.15","12.42"
"Ja'Quez Cross","App","SBC","12.51","12.94","12.04","11.25","8.68"
"Anthony Woods","UCLA","Big10","12.51","12.64","11.17","9.13","11.51"
"Damari Alston","Tuls","Amer","12.50","12.72","11.29","10.77","10.83"
"Derrick McFall","SMU","ACC","12.46","12.86","11.87","13.00","11.71"
"Jamarion Morrow","A&M","SEC","12.45","12.51","12.19","10.67","10.49"
"Cam Barfield","Haw","MWC","12.44","12.86","11.83","9.70","10.17"
"Isaiah Mozee","Neb","Big10","12.44","12.09","12.55","13.13","13.58"
"Yasin Willis","KU","Big12","12.43","13.51","8.82","7.66","9.12"
"Benjamin Hall","UNC","ACC","12.41","12.89","10.26","9.70","9.28"
"James Simon","Tex","SEC","12.41","12.33","12.18","12.91","11.57"
"Sevion Morrison","Tuls","Amer","12.40","12.40","11.19","11.00","11.53"
"Nathan McNeil","Iowa","Big10","12.39","12.53","11.19","5.56","10.54"
"Juelz Goff","Boise","Pac12","12.39","12.98","11.63","7.09","10.29"
"Kiefer Sibley","UNM","MWC","12.38","12.77","10.98","9.45","13.71"
"Ja'Vin Simpkins","UAB","Amer","12.37","13.18","8.66","10.39","10.45"
"Noah Vaughn","UVA","ACC","12.33","12.43","9.95","11.89","10.81"
