School,Conference,Off AIR,AIR Rank,Style,Play Caller,Run%,Proj Run%,Pass%,Proj Pass%,Plays/G,Proj Plays/G,Diff,SecPP,SecPP+,Pace+
"Hawai'i","MWC","10.44","96","Run-and-Shoot","Anthony Arceneaux","41%","41%","59%","59%","70.0","68.6","-1.40","","0.00","0.41"
"New Mexico","MWC","10.43","97","Run First Play Action","Luke Schleusner","57%","57%","43%","43%","63.0","63.0","0.00","","0.00","0.57"
"Colorado State","Pac12","10.42","98","Spread","Pryce Tracy","46%","46%","54%","54%","65.0","65.0","0.00","","0.00","0.46"
"Troy","SBC","10.40","99","Up Tempo Spread","Adam Austin","42%","42%","58%","58%","74.0","74.0","0.00","","0.00","0.42"
"Toledo","MAC","10.38","100","Spread","Cris Reisert","48%","48%","52%","52%","67.0","67.0","0.00","","0.00","0.48"
"Rice","Amer","10.31","101","Power Run","Vince Munch","74%","74%","26%","26%","67.0","67.0","0.00","","0.00","0.74"
"Delaware","CUSA","10.30","102","Balanced Spread","Terence Archer","53%","53%","47%","47%","70.0","70.0","0.00","","0.00","0.53"
"Army","Amer","10.30","103","Triple Option","Cody Worley","85%","85%","15%","15%","67.0","67.0","0.00","","0.00","0.85"
"New Mexico State","CUSA","10.29","104","Spread","David Yost","43%","43%","57%","57%","69.0","68.6","-0.40","","0.00","0.43"
"Arkansas State","SBC","10.24","105","Spread","Garrett Altman","45%","45%","55%","55%","72.0","72.0","0.00","","0.00","0.45"
"Marshall","SBC","10.22","106","Run First Pro-Style","Rod Smith","60%","60%","40%","40%","70.0","70.0","0.00","","0.00","0.60"
"Middle Tennessee","CUSA","10.21","107","Spread","Brian Stewart","42%","42%","58%","58%","67.0","67.0","0.00","","0.00","0.42"
"Central Michigan","MAC","10.21","108","Spread","Jim Chapin","45%","45%","55%","55%","65.0","65.0","0.00","","0.00","0.45"
"Navy","Amer","10.21","109","Triple Option","Drew Cronic","77%","77%","23%","23%","62.0","62.0","0.00","","0.00","0.77"
"Louisiana Tech","SBC","10.17","110","Power Spread","Nathan Young","63%","63%","37%","37%","65.5","65.5","0.00","","0.00","0.63"
"Georgia Southern","SBC","10.16","111","Balanced Spread","Ryan Aplin","52%","52%","48%","48%","69.0","69.0","0.00","","0.00","0.52"
"Charlotte","Amer","10.12","112","Spread","Todd Fitch","50%","50%","50%","50%","62.0","62.0","0.00","","0.00","0.50"
"Missouri State","CUSA","10.10","113","Spread","Mark Cala","44%","44%","56%","56%","65.0","65.0","0.00","","0.00","0.44"
"Utah State","Pac12","10.08","114","Pro Spread","Robert Anae","52%","52%","48%","48%","65.0","65.0","0.00","","0.00","0.52"
"Ball State","MAC","10.02","115","Run First Pro-Style","Mike Uremovich","62%","62%","38%","38%","61.0","61.0","0.00","","0.00","0.62"
