"School","Conference","Head Coach","HC Rating","OFF Play Caller","OPC Rating","DEF Play Caller","DPC Rating","Overall Impact"
"Michigan State","Big10","Pat Fitzgerald","6","Nick Sheridan","7","Joe Rossi","7","13.8"
"Middle Tennessee","CUSA","Derek Mason","4","Brian Stewart","4","Derek Mason","4","13.0"
"Minnesota","Big10","P.J. Fleck","7","Greg Harbaugh Jr.","6","Danny Collins","6","13.8"
"Mississippi State","SEC","Jeff Lebby","6","Jeff Lebby","8","Zach Arnett","8","14.5"
"Missouri","SEC","Eliah Drinkwitz","7","Chip Lindsey","7","Corey Battoon","7","14.6"
"Missouri State","CUSA","Casey Woods","4","Mark Cala","5","Jack Curtis","5","12.0"
"Navy","Amer","Brian Newberry","9","Drew Cronic","7","Eric Lewis","7","12.4"
"NC State","ACC","Dave Doeren","7","Kurt Roper","5","D.J. Eliot","5","13.9"
"Nebraska","Big10","Matt Rhule","6","Dana Holgorsen","8","Rob Aurich","8","14.9"
"Nevada","MWC","Jeff Choate","5","Brett Bartolone","3","Kane Ioane","3","12.0"
"New Mexico","MWC","Jason Eck","9","Luke Schleusner","6","Spence Nowinsky","6","12.7"
"New Mexico State","CUSA","Tony Sanchez","6","David Yost","4","Joe Morris","4","12.4"
"North Carolina","ACC","Bill Belichick","5","Bobby Petrino","8","Steve Belichick","8","13.8"
"North Dakota State","MWC","Tim Polasek","5","Dan Larson","3","Grant Olson","3","12.5"
"North Texas","Amer","Neal Brown","7","Neal Brown","8","Matt Powledge","8","13.1"
"Northern Illinois","MWC","Rob Harley","4","Tony Petersen","3","Rob Harley","3","13.2"
"Northwestern","Big10","David Braun","8","Chip Kelly","8","Tim McGarigle","8","13.8"
"Notre Dame","Inde","Marcus Freeman","7","Mike Denbrock","8","Chris Ash","8","15.6"
"Ohio","MAC","John Hauser","5","Scott Isphording","5","Kurt Mattix","5","12.3"
"Ohio State","Big10","Ryan Day","10","Arthur Smith","8","Matt Patricia","8","16.4"
"Oklahoma","SEC","Brent Venables","8","Ben Arbuckle","6","Brent Venables","6","14.5"
"Oklahoma State","Big12","Eric Morris","8","Eric Morris","7","Skyler Cassity","7","15.3"
"Old Dominion","SBC","Ricky Rahne","6","Kody Cook","3","Blake Seiler","3","12.1"
"Ole Miss","SEC","Pete Golding","6","John David Baker","6","Bryan Brown","6","15.6"
"Oregon","Big10","Dan Lanning","8","Drew Mehringer","7","Chris Hampton","7","16.2"
"Oregon State","Pac12","JaMarcus Shephard","4","Mitch Dahlen","4","Mike MacIntyre","4","13.4"
"Penn State","Big10","Matt Campbell","8","Taylor Mouser","6","D'Anton Lynn","6","14.6"
"Pittsburgh","ACC","Pat Narduzzi","7","Kade Bell","5","Cory Sanders","5","13.3"
"Purdue","Big10","Barry Odom","5","Josh Henson","6","Kevin Kane","6","13.3"
"Rice","Amer","Scott Abell","6","Vince Munch","5","Jon Kay","5","12.4"
"Rutgers","Big10","Greg Schiano","7","Kirk Ciarrocca","8","Travis Johansen","8","13.8"
"Sacramento State","MAC","Alonzo Carter","5","Eric Kiesau","3","Adam Clark","3","11.5"
"Sam Houston","CUSA","Phil Longo","4","Zack Patterson","5","Freddie Aughtry-Lindsay","5","11.1"
"San Diego State","Pac12","Sean Lewis","8","Matt Johnson","5","Demetrius Sumler","5","13.2"
"San José State","MWC","Ken Niumatalolo","5","Craig Stutzmann","5","Bojay Filimoeatu","5","11.3"
"SMU","ACC","Rhett Lashlee","7","Rhett Lashlee","9","Maurice Crum Jr.","9","14.8"
"South Alabama","SBC","Major Applewhite","5","Major Applewhite","6","Todd Orlando","6","12.4"
"South Carolina","SEC","Shane Beamer","6","Kendal Briles","6","Clayton White","6","14.2"
"South Florida","Amer","Brian Hartline","5","Tim Beck","7","Josh Aldridge","7","13.5"
"Southern Miss","SBC","Blake Anderson","6","Kyle Cefalo","3","Joe Bolden","3","12.2"
"Stanford","ACC","Tavita Pritchard","4","Terry Heffernan","3","Kris Richard","3","13.9"
"Syracuse","ACC","Fran Brown","4","Jeff Nixon","7","Vince Kehres","7","14.0"
"TCU","Big12","Sonny Dykes","6","Gordon Sammis","5","Andy Avalos","5","14.2"
"Temple","Amer","K.C. Keeler","6","Tyler Walker","5","Brian L. Smith","5","12.7"
"Tennessee","SEC","Josh Heupel","6","Josh Heupel","8","Jim Knowles","8","13.9"
"Texas","SEC","Steve Sarkisian","8","Steve Sarkisian","9","Will Muschamp","9","16.2"
"Texas A&M","SEC","Mike Elko","9","Holman Wiggins","5","Mike Elko","5","14.4"
"Texas State","Pac12","GJ Kinne","5","Landon Keopple","6","Will Windham","6","14.3"
"Texas Tech","Big12","Joey McGuire","9","Mack Leftwich","7","Shiel Wood","7","15.6"
"Toledo","MAC","Mike Jacobs","4","Cris Reisert","4","Jahmal Brown","4","12.6"
"Troy","SBC","Gerad Parker","6","Adam Austin","5","Dontae Wright","5","12.9"
"Tulane","Amer","Will Hall","4","Russ Callaway","4","Tayler Polk","4","13.0"
"Tulsa","Amer","Tre Lamb","5","Kevin Barbay","5","Josh Reardon","5","12.4"
"UAB","Amer","Alex Mortensen","5","Alex Mortensen","6","Todd Grantham","6","13.0"
"UCF","Big12","Scott Frost","4","Steve Cooper","6","Alex Grinch","6","13.8"
"UCLA","Big10","Bob Chesney","9","Dean Kennedy","6","Colin Hitschler","6","14.3"
"UConn","Inde","Jason Candle","7","Nunzio Campanile","5","Ryan Manalac","5","13.1"
"UL Monroe","SBC","Bryant Vincent","5","Jesse Montalto","3","Troy Reffett","3","11.9"
"UNLV","MWC","Dan Mullen","8","Corey Dennis","5","Paul Guenther","5","13.4"
"USC","Big10","Lincoln Riley","7","Lincoln Riley","8","Gary Patterson","8","15.3"
"Utah","Big12","Morgan Scalley","4","Kevin McGiven","7","Colton Swan","7","15.1"
"Utah State","Pac12","Bronco Mendenhall","7","Robert Anae","5","Nick Howell","5","12.4"
"UTEP","MWC","Scotty Walden","4","Joe Pappalardo","3","Kyle Beyer","3","11.5"
