season,week,ranking_date,team,actual_cfp_rank,raw_game_control,game_control,game_control_rank,game_control_index,wins,losses,game_control_method,championship_wins_power,championship_wins_g6,quality_wins,top25_wins,prior_top25_wins,provisional_top25_wins,avg_capped_mov,avg_weighted_mol,bad_losses,sos,source_url,notes
2022,1,2022-11-01,New Mexico,26,0.42307504992361666,0.42400617237259625,98,-7.599382762740375,1,6,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,17.0,19.32142857142857,3,0.5026603498542274,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,New Mexico State,26,0.3950825246868016,0.3450091533243677,122,-15.49908466756323,3,5,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,13.666666666666666,26.702222222222225,4,0.3569332246787603,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,North Carolina,17,0.5666024748032192,0.5513682769574142,48,5.136827695741419,6,1,PBP AUC + 0.35*(SOS-.500),0,0,1,0,0,0,9.0,11.700000000000001,0,0.4564737204405572,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,North Texas,26,0.5271923041262219,0.5143387781672272,58,1.4338778167227173,4,4,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,19.0,21.564285714285717,3,0.46327564011715794,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Northern Illinois,26,0.4565501334357007,0.4454500058846803,86,-5.454999411531968,1,6,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,21.0,8.952380952380953,3,0.4682853498542274,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Northwestern,26,0.35470052289047727,0.3552543069040827,121,-14.474569309591729,1,6,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,3.0,13.764285714285714,3,0.5015822400388728,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Notre Dame,26,0.5871208522669829,0.6007732993569299,24,10.07732993569299,5,3,PBP AUC + 0.35*(SOS-.500),0,0,2,2,0,1,13.2,4.869841269841269,2,0.539006991685563,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Ohio,26,0.49014406440809594,0.4482567817172418,84,-5.1743218282758185,4,3,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,12.5,25.21904761904762,2,0.3803220494547025,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Ohio State,2,0.756880422393066,0.7496818650187274,1,24.968186501872736,8,0,PBP AUC + 0.35*(SOS-.500),0,0,3,1,0,3,18.75,0.0,0,0.4794326932161753,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Oklahoma,26,0.5365216177278598,0.5438475932569603,53,4.384759325696031,5,3,PBP AUC + 0.35*(SOS-.500),0,0,1,0,0,0,17.4,22.833333333333332,0,0.520931358654573,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Oklahoma State,18,0.5630201172788732,0.5747203251397953,28,7.472032513979531,5,2,PBP AUC + 0.35*(SOS-.500),0,0,2,1,0,2,11.8,20.785714285714285,0,0.5334291653169203,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Old Dominion,26,0.4250157102625193,0.4178061988537891,100,-8.219380114621089,3,5,PBP AUC + 0.35*(SOS-.500),0,0,1,0,0,0,9.0,9.731428571428571,2,0.47940139597505665,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Ole Miss,11,0.6632828749892417,0.6573304940368607,9,15.733049403686072,7,1,PBP AUC + 0.35*(SOS-.500),0,0,2,0,0,0,12.571428571428571,20.71428571428571,0,0.4829931972789115,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Oregon,8,0.6194204892473448,0.6297190531173372,15,12.971905311733723,6,1,PBP AUC + 0.35*(SOS-.500),0,0,1,1,0,1,16.0,27.599999999999998,0,0.5294244681999782,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Oregon State,23,0.5644708249790426,0.572362926264001,29,7.236292626400099,5,2,PBP AUC + 0.35*(SOS-.500),0,0,1,0,0,0,11.2,11.82142857142857,0,0.5225488608141668,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Penn State,15,0.6181369877774511,0.6245881906544352,17,12.458819065443516,6,2,PBP AUC + 0.35*(SOS-.500),0,0,3,0,0,0,16.0,11.1,0,0.5184320082199546,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Pittsburgh,26,0.5158162246120735,0.5142317574918921,59,1.4231757491892094,3,4,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,14.666666666666666,8.87857142857143,1,0.49547295108519596,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Purdue,26,0.5037182442589021,0.5191414065793858,57,1.914140657938579,4,3,PBP AUC + 0.35*(SOS-.500),0,0,2,0,0,1,5.0,5.771428571428571,1,0.544066178058525,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Rice,26,0.42532604326916085,0.41123000207490534,103,-8.876999792509466,3,4,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,5.666666666666667,21.4,2,0.45972559658784146,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Rutgers,26,0.3871969742486981,0.3682981647248885,117,-13.170183527511147,3,4,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,3.3333333333333335,17.942857142857143,2,0.44600340136054417,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,SMU,26,0.5446549389594009,0.5698835859737621,32,6.98835859737621,3,4,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,12.666666666666666,7.571428571428571,0,0.5720818486124608,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,San Diego State,26,0.50567049448641,0.49275548125889673,64,-0.7244518741103267,3,4,PBP AUC + 0.35*(SOS-.500),0,0,1,0,0,0,7.0,16.685714285714287,2,0.46309996220710503,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,San José State,26,0.5885029336303275,0.5623655052793575,35,6.236550527935747,4,2,PBP AUC + 0.35*(SOS-.500),0,0,1,0,0,0,16.5,8.385714285714286,2,0.42532163328294276,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,South Alabama,26,0.6500886162362166,0.6229442237570026,18,12.294422375700265,5,2,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,13.2,2.0142857142857142,0,0.4224445929165317,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,South Carolina,26,0.48988877612542725,0.4899436939258808,67,-1.0056306074119226,4,3,PBP AUC + 0.35*(SOS-.500),0,0,1,0,0,0,14.5,17.18095238095238,1,0.5001569080012958,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,South Florida,26,0.2913368418782034,0.3188442823543938,127,-18.115571764560617,0,7,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,0.0,16.06780045351474,2,0.5785926870748298,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Southern Miss,26,0.488600770986051,0.4920742923390366,66,-0.7925707660963399,4,3,PBP AUC + 0.35*(SOS-.500),0,0,1,1,0,1,6.25,13.276190476190473,1,0.5099243467228161,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Stanford,26,0.3583956376866729,0.40723067170027827,105,-9.276932829972173,2,5,PBP AUC + 0.35*(SOS-.500),0,0,1,0,0,1,1.5,11.11142857142857,0,0.6395286686103012,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Syracuse,20,0.600154023441854,0.6225482033360338,19,12.254820333603378,5,2,PBP AUC + 0.35*(SOS-.500),0,0,3,1,0,0,12.4,9.45,0,0.5639833711262281,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,TCU,7,0.5997228203159349,0.6075035506636296,22,10.75035506636296,7,0,PBP AUC + 0.35*(SOS-.500),0,0,4,2,0,2,11.428571428571429,0.0,0,0.5222306581362703,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Temple,26,0.39319496067847687,0.3717961511546673,116,-12.82038488453327,1,6,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,21.0,19.81904761904762,4,0.438860544217687,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Tennessee,1,0.7386701180960603,0.7387891657151079,2,23.87891657151079,7,0,PBP AUC + 0.35*(SOS-.500),0,0,3,2,0,1,14.142857142857142,0.0,0,0.5003401360544217,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Texas,24,0.6636059797261767,0.6687716336613619,7,16.877163366136195,5,3,PBP AUC + 0.35*(SOS-.500),0,0,2,0,0,0,16.8,3.2238095238095235,1,0.5147590112433862,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Texas A&M,26,0.443982822271579,0.474551251031972,75,-2.544874896802801,2,5,PBP AUC + 0.35*(SOS-.500),0,0,1,0,0,0,5.0,5.951428571428572,1,0.5873383678868371,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Texas State,26,0.4361983471732464,0.43839458678020027,89,-6.160541321979974,2,5,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,16.5,18.66857142857143,1,0.5062749703055824,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Texas Tech,26,0.4553117229087536,0.48244985593974377,72,-1.7550144060256234,3,4,PBP AUC + 0.35*(SOS-.500),0,0,2,1,0,1,9.0,13.228571428571428,0,0.5775375229456862,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Toledo,26,0.5746375274601789,0.552625808710179,47,5.262580871017897,5,3,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,17.2,14.19047619047619,1,0.43710937499999997,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
