week,date,away,home,away_rank,home_rank,away_rating,home_rating,hfa,hfa_source,stored_margin_home,stored_margin_key,rating_margin_home,diff_stored_minus_rating,stored_line,rating_line,issues
1,2026-09-05,South Dakota State,Northwestern,,49.0,,4.6,2.1,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Ball State,Ohio State,134.0,1.0,-25.2,31.8,3.0,home_team.hfa,60.0,projected_margin_home,60.0,0.0,Ohio State -60.0,Ohio State -60.0,
1,2026-09-05,UTEP,Oklahoma,129.0,12.0,-20.5,17.2,3.3,home_team.hfa,41.0,projected_margin_home,41.0,0.0,Oklahoma -41.0,Oklahoma -41.0,
1,2026-09-05,Norfolk State,Old Dominion,,88.0,,-5.8,1.7,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Boise State,Oregon,39.0,2.0,6.8,28.3,2.5,home_team.hfa,24.0,projected_margin_home,24.0,0.0,Oregon -24.0,Oregon -24.0,
1,2026-09-05,Marshall,Penn State,92.0,17.0,-6.4,15.7,3.4,home_team.hfa,25.5,projected_margin_home,25.5,0.0,Penn State -25.5,Penn State -25.5,
1,2026-09-05,Miami-OH,Pittsburgh,81.0,41.0,-2.9,6.5,1.9,home_team.hfa,11.3,projected_margin_home,11.3,0.0,Pittsburgh -11.3,Pittsburgh -11.3,
1,2026-09-05,Indiana State,Purdue,,81.0,,-2.9,1.3,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,HCU,Rice,,120.0,,-14.7,2.9,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,MVSU,Sacramento State,,130.0,,-22.7,2.5,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Portland State,San Diego State,,71.0,,-1.3,1.9,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Southeastern La.,South Alabama,,115.0,,-13.3,2.5,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Kent State,South Carolina,128.0,24.0,-20.1,12.1,2.3,home_team.hfa,34.5,projected_margin_home,34.5,0.0,South Carolina -34.5,South Carolina -34.5,
1,2026-09-05,Florida International,South Florida,118.0,80.0,-13.7,-2.8,2.6,home_team.hfa,13.5,projected_margin_home,13.499999999999998,1.7763568394002505e-15,South Florida -13.5,South Florida -13.5,
1,2026-09-05,Alcorn State,Southern Miss,,131.0,,-23.3,2.1,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,New Hampshire,Syracuse,,69.0,,-0.7,2.9,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Rhode Island,Temple,,102.0,,-8.7,2.9,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Furman,Tennessee,,15.0,,16.0,2.3,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Texas State,Texas,89.0,6.0,-5.9,23.7,3.0,home_team.hfa,32.6,projected_margin_home,32.6,0.0,Texas -32.6,Texas -32.6,
1,2026-09-05,Missouri State,Texas A&M,126.0,9.0,-18.7,20.3,2.5,home_team.hfa,41.5,projected_margin_home,41.5,0.0,Texas A&M -41.5,Texas A&M -41.5,
1,2026-09-05,Abilene Christian,Texas Tech,,7.0,,23.1,3.2,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Sam Houston,Troy,136.0,90.0,-26.3,-6.0,1.7,home_team.hfa,22.0,projected_margin_home,22.0,0.0,Troy -22.0,Troy -22.0,
1,2026-09-05,Oklahoma State,Tulsa,38.0,96.0,7.1,-7.6,0.7,home_team.hfa,-14.0,projected_margin_home,-14.0,0.0,Oklahoma State -14.0,Oklahoma State -14.0,
1,2026-09-05,Fresno State,USC,78.0,13.0,-2.3,16.8,2.4,home_team.hfa,21.5,projected_margin_home,21.5,0.0,USC -21.5,USC -21.5,
1,2026-09-05,UTRGV,UTSA,,73.0,,-1.5,2.0,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Idaho State,Utah State,,97.0,,-7.7,2.7,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Austin Peay,Vanderbilt,,31.0,,10.0,0.9,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
