type,quality,team,win_total,side_1,book_1,odds_1,side_2,book_2,odds_2,implied_sum_pct,edge_pct,middle_score,notes,total_1,total_2,middle_gap_calc
Middle,Strong middle,Texas A&M,5.5 / 8.5,Over 5.5,DraftKings,-120,Under 8.5,FanDuel,-114,,,95.0,Middle gap of 3 wins.,5.5,8.5,3.0
Middle,Strong middle,Iowa,4.5 / 7.5,Over 4.5,DraftKings,-140,Under 7.5,FanDuel,116,,,92.5,Middle gap of 3 wins.,4.5,7.5,3.0
Middle,Strong middle,Iowa,4.5 / 7.5,Over 4.5,DraftKings,-140,Under 7.5,BetMGM,110,,,91.8,Middle gap of 3 wins.,4.5,7.5,3.0
Middle,Strong middle,Iowa,4.5 / 7.5,Over 4.5,DraftKings,-140,Under 7.5,Caesars,110,,,91.8,Middle gap of 3 wins.,4.5,7.5,3.0
Middle,Strong middle,Oregon,7.5 / 10.5,Over 7.5,DraftKings,105,Under 10.5,BetMGM,-145,,,91.1,Middle gap of 3 wins.,7.5,10.5,3.0
Middle,Strong middle,Oregon,7.5 / 10.5,Over 7.5,DraftKings,105,Under 10.5,Caesars,-150,,,91.1,Middle gap of 3 wins.,7.5,10.5,3.0
Middle,Strong middle,Oregon,7.5 / 10.5,Over 7.5,DraftKings,105,Under 10.5,FanDuel,-140,,,91.1,Middle gap of 3 wins.,7.5,10.5,3.0
Middle,Strong middle,USC,5.5 / 8.5,Over 5.5,DraftKings,105,Under 8.5,FanDuel,-138,,,91.1,Middle gap of 3 wins.,5.5,8.5,3.0
Middle,Strong middle,Tennessee,4.5 / 7.5,Over 4.5,DraftKings,-140,Under 7.5,FanDuel,102,,,90.8,Middle gap of 3 wins.,4.5,7.5,3.0
Middle,Strong middle,Minnesota,3.5 / 6.5,Over 3.5,DraftKings,100,Under 6.5,Caesars,-155,,,90.5,Middle gap of 3 wins.,3.5,6.5,3.0
Middle,Strong middle,Minnesota,3.5 / 6.5,Over 3.5,DraftKings,100,Under 6.5,FanDuel,-154,,,90.5,Middle gap of 3 wins.,3.5,6.5,3.0
Middle,Strong middle,Arizona,4.5 / 7.5,Over 4.5,DraftKings,-125,Under 7.5,BetMGM,-145,,,88.0,Middle gap of 3 wins.,4.5,7.5,3.0
Middle,Strong middle,Arizona,4.5 / 7.5,Over 4.5,DraftKings,-125,Under 7.5,Caesars,-135,,,88.0,Middle gap of 3 wins.,4.5,7.5,3.0
Middle,Strong middle,Arizona,4.5 / 7.5,Over 4.5,DraftKings,-125,Under 7.5,FanDuel,-140,,,88.0,Middle gap of 3 wins.,4.5,7.5,3.0
Middle,Strong middle,Florida,4.5 / 7.5,Over 4.5,DraftKings,-110,Under 7.5,BetMGM,-145,,,88.0,Middle gap of 3 wins.,4.5,7.5,3.0
Middle,Strong middle,Florida,4.5 / 7.5,Over 4.5,DraftKings,-110,Under 7.5,FanDuel,-140,,,88.0,Middle gap of 3 wins.,4.5,7.5,3.0
Middle,Strong middle,Indiana,7.5 / 10.5,Over 7.5,DraftKings,-110,Under 10.5,Caesars,-155,,,88.0,Middle gap of 3 wins.,7.5,10.5,3.0
Middle,Strong middle,Nebraska,3.5 / 6.5,Over 3.5,DraftKings,-105,Under 6.5,BetMGM,-155,,,88.0,Middle gap of 3 wins.,3.5,6.5,3.0
Middle,Strong middle,Nebraska,3.5 / 6.5,Over 3.5,DraftKings,-105,Under 6.5,FanDuel,-150,,,88.0,Middle gap of 3 wins.,3.5,6.5,3.0
Middle,Strong middle,Tennessee,4.5 / 7.5,Over 4.5,DraftKings,-140,Under 7.5,BetMGM,-115,,,88.0,Middle gap of 3 wins.,4.5,7.5,3.0
Middle,Strong middle,Tennessee,4.5 / 7.5,Over 4.5,DraftKings,-140,Under 7.5,Caesars,-110,,,88.0,Middle gap of 3 wins.,4.5,7.5,3.0
Middle,Strong middle,Texas,6.5 / 9.5,Over 6.5,DraftKings,-130,Under 9.5,FanDuel,-138,,,88.0,Middle gap of 3 wins.,6.5,9.5,3.0
Middle,Strong middle,UCLA,3.5 / 6.5,Over 3.5,DraftKings,-150,Under 6.5,BetMGM,-125,,,88.0,Middle gap of 3 wins.,3.5,6.5,3.0
Middle,Strong middle,Ole Miss,5.5 / 7.5,Over 5.5,DraftKings,130,Under 7.5,Caesars,160,,,86.2,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,Georgia,6.5 / 9.5,Over 6.5,DraftKings,-186,Under 9.5,BetMGM,145,,,85.1,Middle gap of 3 wins.,6.5,9.5,3.0
Middle,Strong middle,Georgia,6.5 / 9.5,Over 6.5,DraftKings,-186,Under 9.5,FanDuel,142,,,84.8,Middle gap of 3 wins.,6.5,9.5,3.0
Middle,Strong middle,Georgia,6.5 / 9.5,Over 6.5,DraftKings,-186,Under 9.5,Caesars,140,,,84.5,Middle gap of 3 wins.,6.5,9.5,3.0
Middle,Strong middle,Penn State,5.5 / 9.5,Over 5.5,DraftKings,-175,Under 9.5,Caesars,-170,,,84.0,Middle gap of 4 wins.,5.5,9.5,4.0
Middle,Strong middle,Ole Miss,5.5 / 7.5,Over 5.5,DraftKings,130,Under 7.5,FanDuel,140,,,83.8,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,Ole Miss,5.5 / 7.5,Over 5.5,DraftKings,130,Under 7.5,BetMGM,135,,,83.1,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,Washington,5.5 / 7.5,Over 5.5,DraftKings,134,Under 7.5,Caesars,130,,,83.0,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,Penn State,5.5 / 8.5,Over 5.5,DraftKings,-175,Under 8.5,FanDuel,124,,,82.5,Middle gap of 3 wins.,5.5,8.5,3.0
Middle,Strong middle,Washington,5.5 / 7.5,Over 5.5,DraftKings,134,Under 7.5,BetMGM,125,,,82.4,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,Penn State,5.5 / 8.5,Over 5.5,DraftKings,-175,Under 8.5,BetMGM,120,,,82.0,Middle gap of 3 wins.,5.5,8.5,3.0
Middle,Strong middle,Virginia,5.5 / 7.5,Over 5.5,DraftKings,120,Under 7.5,FanDuel,136,,,82.0,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,Washington,5.5 / 7.5,Over 5.5,DraftKings,134,Under 7.5,FanDuel,122,,,82.0,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,Ohio State,7.5 / 9.5,Over 7.5,DraftKings,115,Under 9.5,Caesars,140,,,81.9,Middle gap of 2 wins.,7.5,9.5,2.0
Middle,Strong middle,Oklahoma,5.5 / 7.5,Over 5.5,DraftKings,115,Under 7.5,Caesars,140,,,81.9,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,Michigan,5.5 / 8.5,Over 5.5,DraftKings,115,Under 8.5,BetMGM,-160,,,81.4,Middle gap of 3 wins.,5.5,8.5,3.0
Middle,Strong middle,Michigan,5.5 / 8.5,Over 5.5,DraftKings,115,Under 8.5,Caesars,-160,,,81.4,Middle gap of 3 wins.,5.5,8.5,3.0
Middle,Strong middle,Michigan,5.5 / 8.5,Over 5.5,DraftKings,115,Under 8.5,FanDuel,-164,,,81.4,Middle gap of 3 wins.,5.5,8.5,3.0
Middle,Strong middle,Houston,5.5 / 7.5,Over 5.5,DraftKings,115,Under 7.5,Caesars,135,,,81.2,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,Virginia,5.5 / 7.5,Over 5.5,DraftKings,120,Under 7.5,Caesars,130,,,81.2,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,Ohio State,7.5 / 9.5,Over 7.5,DraftKings,115,Under 9.5,FanDuel,134,,,81.1,Middle gap of 2 wins.,7.5,9.5,2.0
Middle,Strong middle,S. Carolina,3.5 / 6.5,Over 3.5,DraftKings,-140,Under 6.5,BetMGM,-145,,,81.0,Middle gap of 3 wins.,3.5,6.5,3.0
Middle,Strong middle,UCLA,3.5 / 6.5,Over 3.5,DraftKings,-150,Under 6.5,FanDuel,-144,,,81.0,Middle gap of 3 wins.,3.5,6.5,3.0
Middle,Strong middle,Miami-FL,7.5 / 10.5,Over 7.5,DraftKings,-180,Under 10.5,Caesars,110,,,80.8,Middle gap of 3 wins.,7.5,10.5,3.0
Middle,Strong middle,Houston,5.5 / 7.5,Over 5.5,DraftKings,115,Under 7.5,BetMGM,130,,,80.6,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,Houston,5.5 / 7.5,Over 5.5,DraftKings,115,Under 7.5,FanDuel,130,,,80.6,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,Ohio State,7.5 / 9.5,Over 7.5,DraftKings,115,Under 9.5,BetMGM,130,,,80.6,Middle gap of 2 wins.,7.5,9.5,2.0
Middle,Strong middle,Virginia Tech,4.5 / 7.5,Over 4.5,DraftKings,105,Under 7.5,Caesars,-160,,,80.1,Middle gap of 3 wins.,4.5,7.5,3.0
Middle,Strong middle,Clemson,5.5 / 7.5,Over 5.5,DraftKings,134,Under 7.5,FanDuel,106,,,80.0,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,Kansas State,5.5 / 7.5,Over 5.5,DraftKings,105,Under 7.5,Caesars,135,,,80.0,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,Clemson,5.5 / 7.5,Over 5.5,DraftKings,134,Under 7.5,BetMGM,105,,,79.9,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,Miami-FL,7.5 / 10.5,Over 7.5,DraftKings,-180,Under 10.5,BetMGM,100,,,79.5,Middle gap of 3 wins.,7.5,10.5,3.0
Middle,Strong middle,Minnesota,3.5 / 6.5,Over 3.5,DraftKings,100,Under 6.5,BetMGM,-170,,,79.5,Middle gap of 3 wins.,3.5,6.5,3.0
Middle,Strong middle,Pittsburgh,5.5 / 7.5,Over 5.5,DraftKings,115,Under 7.5,BetMGM,120,,,79.4,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,Pittsburgh,5.5 / 7.5,Over 5.5,DraftKings,115,Under 7.5,FanDuel,120,,,79.4,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,TCU,4.5 / 6.5,Over 4.5,DraftKings,110,Under 6.5,Caesars,125,,,79.4,Middle gap of 2 wins.,4.5,6.5,2.0
Middle,Strong middle,Virginia,5.5 / 7.5,Over 5.5,DraftKings,120,Under 7.5,BetMGM,115,,,79.4,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,West Virginia,3.5 / 5.5,Over 3.5,DraftKings,100,Under 5.5,BetMGM,135,,,79.4,Middle gap of 2 wins.,3.5,5.5,2.0
Middle,Strong middle,Clemson,5.5 / 7.5,Over 5.5,DraftKings,134,Under 7.5,Caesars,100,,,79.2,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,Virginia Tech,4.5 / 6.5,Over 4.5,DraftKings,105,Under 6.5,FanDuel,128,,,79.1,Middle gap of 2 wins.,4.5,6.5,2.0
Middle,Strong middle,Kentucky,2.5 / 4.5,Over 2.5,DraftKings,110,Under 4.5,BetMGM,120,,,78.8,Middle gap of 2 wins.,2.5,4.5,2.0
Middle,Strong middle,Oklahoma,5.5 / 7.5,Over 5.5,DraftKings,115,Under 7.5,BetMGM,115,,,78.8,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,TCU,4.5 / 6.5,Over 4.5,DraftKings,110,Under 6.5,BetMGM,120,,,78.8,Middle gap of 2 wins.,4.5,6.5,2.0
Middle,Strong middle,Virginia Tech,4.5 / 6.5,Over 4.5,DraftKings,105,Under 6.5,BetMGM,125,,,78.8,Middle gap of 2 wins.,4.5,6.5,2.0
Middle,Strong middle,Kentucky,2.5 / 4.5,Over 2.5,DraftKings,110,Under 4.5,FanDuel,118,,,78.5,Middle gap of 2 wins.,2.5,4.5,2.0
Middle,Strong middle,TCU,4.5 / 6.5,Over 4.5,DraftKings,110,Under 6.5,FanDuel,116,,,78.2,Middle gap of 2 wins.,4.5,6.5,2.0
Middle,Strong middle,Kentucky,2.5 / 4.5,Over 2.5,DraftKings,110,Under 4.5,Caesars,115,,,78.1,Middle gap of 2 wins.,2.5,4.5,2.0
Middle,Strong middle,Missouri,4.5 / 6.5,Over 4.5,DraftKings,120,Under 6.5,BetMGM,105,,,78.1,Middle gap of 2 wins.,4.5,6.5,2.0
Middle,Strong middle,Utah,6.5 / 8.5,Over 6.5,DraftKings,110,Under 8.5,Caesars,115,,,78.1,Middle gap of 2 wins.,6.5,8.5,2.0
Middle,Strong middle,Vanderbilt,3.5 / 5.5,Over 3.5,DraftKings,100,Under 5.5,Caesars,125,,,78.1,Middle gap of 2 wins.,3.5,5.5,2.0
Middle,Strong middle,Wisconsin,4.5 / 6.5,Over 4.5,DraftKings,120,Under 6.5,BetMGM,105,,,78.1,Middle gap of 2 wins.,4.5,6.5,2.0
Middle,Strong middle,Missouri,4.5 / 6.5,Over 4.5,DraftKings,120,Under 6.5,FanDuel,104,,,78.0,Middle gap of 2 wins.,4.5,6.5,2.0
Middle,Strong middle,Wisconsin,4.5 / 6.5,Over 4.5,DraftKings,120,Under 6.5,FanDuel,102,,,77.8,Middle gap of 2 wins.,4.5,6.5,2.0
Middle,Strong middle,Pittsburgh,5.5 / 7.5,Over 5.5,DraftKings,115,Under 7.5,Caesars,105,,,77.5,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,Vanderbilt,3.5 / 5.5,Over 3.5,DraftKings,100,Under 5.5,BetMGM,120,,,77.5,Middle gap of 2 wins.,3.5,5.5,2.0
Middle,Strong middle,Wisconsin,4.5 / 6.5,Over 4.5,DraftKings,120,Under 6.5,Caesars,100,,,77.5,Middle gap of 2 wins.,4.5,6.5,2.0
Middle,Strong middle,Auburn,3.5 / 6.5,Over 3.5,DraftKings,-156,Under 6.5,BetMGM,-110,,,77.0,Middle gap of 3 wins.,3.5,6.5,3.0
Middle,Strong middle,Auburn,3.5 / 6.5,Over 3.5,DraftKings,-156,Under 6.5,Caesars,-110,,,77.0,Middle gap of 3 wins.,3.5,6.5,3.0
Middle,Strong middle,Auburn,3.5 / 6.5,Over 3.5,DraftKings,-156,Under 6.5,FanDuel,-110,,,77.0,Middle gap of 3 wins.,3.5,6.5,3.0
Middle,Strong middle,Florida State,3.5 / 6.5,Over 3.5,DraftKings,-130,Under 6.5,BetMGM,-175,,,77.0,Middle gap of 3 wins.,3.5,6.5,3.0
Middle,Strong middle,Florida State,3.5 / 6.5,Over 3.5,DraftKings,-130,Under 6.5,Caesars,-190,,,77.0,Middle gap of 3 wins.,3.5,6.5,3.0
Middle,Strong middle,Florida State,3.5 / 6.5,Over 3.5,DraftKings,-130,Under 6.5,FanDuel,-170,,,77.0,Middle gap of 3 wins.,3.5,6.5,3.0
Middle,Strong middle,Illinois,4.5 / 7.5,Over 4.5,DraftKings,-105,Under 7.5,BetMGM,-160,,,77.0,Middle gap of 3 wins.,4.5,7.5,3.0
Middle,Strong middle,Illinois,4.5 / 7.5,Over 4.5,DraftKings,-105,Under 7.5,Caesars,-160,,,77.0,Middle gap of 3 wins.,4.5,7.5,3.0
Middle,Strong middle,Illinois,4.5 / 7.5,Over 4.5,DraftKings,-105,Under 7.5,FanDuel,-180,,,77.0,Middle gap of 3 wins.,4.5,7.5,3.0
