season,week,date,game_id,case,team,opponent,team_side,role,spread,ats_margin,ats_result,team_overall,team_overall_rank,team_offense,team_offense_rank,team_defense,team_defense_rank,opponent_overall,opponent_overall_rank,opponent_offense,opponent_offense_rank,opponent_defense,opponent_defense_rank
2025,3,2025-09-13T16:00:00.000Z,401761608,High Overall RP vs Low Overall RP,Troy,Memphis,home,Underdog,4.5,-16.5,L,66.0,19.0,64.0,43.0,68.0,19.0,39.0,119.0,45.0,96.0,33.0,121.0
2025,3,2025-09-13T21:00:00.000Z,401757256,High Overall RP vs Low Overall RP,Liberty,Bowling Green,away,Favorite,-6.0,-16.0,L,66.0,15.0,61.0,56.0,72.0,13.0,38.0,121.0,45.0,95.0,30.0,127.0
2025,3,2025-09-13T23:00:00.000Z,401752829,High Overall RP vs Low Overall RP,Illinois,Western Michigan,home,Favorite,-27.5,10.5,W,76.0,3.0,78.0,5.0,75.0,8.0,37.0,123.0,24.0,132.0,49.0,90.0
2023,1,2023-08-26T23:00:00.000Z,401532392,High Offense RP vs Low Defense RP,Ohio,San Diego State,away,Underdog,2.9,-4.1,L,52.0,114.0,78.0,19.0,26.0,133.0,56.0,97.0,71.0,46.0,40.0,123.0
2023,1,2023-09-02T16:00:00.000Z,401520162,High Offense RP vs Low Defense RP,Michigan,East Carolina,home,Favorite,-35.4,-8.399999999999999,L,81.0,5.0,84.0,4.0,78.0,16.0,34.0,130.0,30.0,132.0,39.0,125.0
2023,1,2023-09-02T18:00:00.000Z,401531387,High Offense RP vs Low Defense RP,Temple,Akron,home,Favorite,-9.875,-6.875,L,77.0,10.0,79.0,15.0,76.0,22.0,63.0,74.0,78.0,21.0,48.0,114.0
2023,1,2023-09-02T19:30:00.000Z,401520180,High Offense RP vs Low Defense RP,Wisconsin,Buffalo,home,Favorite,-27.0,-6.0,L,72.0,27.0,75.0,30.0,68.0,48.0,53.0,110.0,57.0,95.0,49.0,108.0
2023,1,2023-09-02T23:00:00.000Z,401525819,High Offense RP vs Low Defense RP,Houston,UTSA,home,Underdog,1.5,4.5,W,60.0,82.0,77.0,24.0,43.0,119.0,52.0,115.0,56.0,100.0,48.0,110.0
2023,1,2023-09-02T23:00:00.000Z,401520173,High Offense RP vs Low Defense RP,Texas A&M,New Mexico,home,Favorite,-37.875,4.125,W,80.0,7.0,82.0,8.0,77.0,19.0,64.0,61.0,78.0,18.0,49.0,103.0
2023,2,2023-09-09T21:00:00.000Z,401524004,High Offense RP vs Low Defense RP,Washington,Tulsa,home,Favorite,-33.666666666666664,-0.6666666666666643,L,73.0,22.0,74.0,34.0,73.0,30.0,40.0,126.0,41.0,122.0,38.0,126.0
2023,2,2023-09-09T22:00:00.000Z,401520198,High Offense RP vs Low Defense RP,New Mexico State,Liberty,away,Underdog,9.333333333333334,-6.666666666666666,L,64.0,63.0,77.0,26.0,51.0,98.0,55.0,104.0,63.0,75.0,47.0,115.0
2023,2,2023-09-09T22:00:00.000Z,401531842,High Offense RP vs Low Defense RP,Louisiana,Old Dominion,away,Favorite,-6.0,-13.0,L,66.0,50.0,78.0,22.0,54.0,88.0,57.0,88.0,69.0,54.0,46.0,116.0
2023,2,2023-09-09T23:00:00.000Z,401520183,High Offense RP vs Low Defense RP,Texas,Alabama,away,Underdog,7.166666666666667,17.166666666666668,W,74.0,19.0,85.0,3.0,63.0,68.0,40.0,125.0,43.0,120.0,38.0,127.0
