season,team,opponent,team_conference,opponent_conference,team_tier,opponent_tier,conference_matchup_type,team_changed_conference,opponent_changed_conference,team_previous_conference,opponent_previous_conference,team_years_since_move,opponent_years_since_move
2021,Boise State,Oklahoma State,Mountain West,Big 12,G6,P4,G6_vs_P4,False,False,,,,
2021,Oklahoma State,Boise State,Big 12,Mountain West,P4,G6,P4_vs_G6,False,False,,,,
2021,UNLV,Iowa State,Mountain West,Big 12,G6,P4,G6_vs_P4,False,False,,,,
2021,Iowa State,UNLV,Big 12,Mountain West,P4,G6,P4_vs_G6,False,False,,,,
2021,Iowa,Kent State,Big Ten,MAC,P4,G6,P4_vs_G6,False,False,,,,
2021,Kent State,Iowa,MAC,Big Ten,G6,P4,G6_vs_P4,False,False,,,,
2021,Ohio State,Tulsa,Big Ten,American,P4,G6,P4_vs_G6,False,False,,,,
2021,Tulsa,Ohio State,American,Big Ten,G6,P4,G6_vs_P4,False,False,,,,
2021,Hawai'i,San José State,Mountain West,Mountain West,G6,G6,G6_vs_G6,False,False,,,,
2021,San José State,Hawai'i,Mountain West,Mountain West,G6,G6,G6_vs_G6,False,False,,,,
2021,Louisiana Tech,SMU,Conference USA,American,G6,G6,G6_vs_G6,False,False,,,,
2021,SMU,Louisiana Tech,American,Conference USA,G6,G6,G6_vs_G6,False,False,,,,
2021,Arkansas,Georgia Southern,SEC,Sun Belt,P4,G6,P4_vs_G6,False,False,,,,
2021,Georgia Southern,Arkansas,Sun Belt,SEC,G6,P4,G6_vs_P4,False,False,,,,
2021,Memphis,Mississippi State,American,SEC,G6,P4,G6_vs_P4,False,False,,,,
2021,Mississippi State,Memphis,SEC,American,P4,G6,P4_vs_G6,False,False,,,,
2021,Wyoming,Ball State,Mountain West,MAC,G6,G6,G6_vs_G6,False,False,,,,
2021,Ball State,Wyoming,MAC,Mountain West,G6,G6,G6_vs_G6,False,False,,,,
2021,Duke,Northwestern,ACC,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Northwestern,Duke,Big Ten,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,Toledo,Colorado State,MAC,Mountain West,G6,G6,G6_vs_G6,False,False,,,,
2021,Colorado State,Toledo,Mountain West,MAC,G6,G6,G6_vs_G6,False,False,,,,
2021,App State,Marshall,Sun Belt,Conference USA,G6,G6,G6_vs_G6,False,False,,,,
2021,Marshall,App State,Conference USA,Sun Belt,G6,G6,G6_vs_G6,False,False,,,,
2021,Charlotte,Middle Tennessee,Conference USA,Conference USA,G6,G6,G6_vs_G6,False,False,,,,
2021,Middle Tennessee,Charlotte,Conference USA,Conference USA,G6,G6,G6_vs_G6,False,False,,,,
2021,UConn,Wyoming,Independent,Mountain West,Independent,G6,Other,False,False,,,,
2021,Wyoming,UConn,Mountain West,Independent,G6,Independent,Other,False,False,,,,
2021,Iowa,Colorado State,Big Ten,Mountain West,P4,G6,P4_vs_G6,False,False,,,,
2021,Colorado State,Iowa,Mountain West,Big Ten,G6,P4,G6_vs_P4,False,False,,,,
2021,Michigan,Rutgers,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Rutgers,Michigan,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Purdue,Illinois,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Illinois,Purdue,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Baylor,Iowa State,Big 12,Big 12,P4,P4,P4_vs_P4,False,False,,,,
2021,Iowa State,Baylor,Big 12,Big 12,P4,P4,P4_vs_P4,False,False,,,,
2021,Florida State,Louisville,ACC,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,Louisville,Florida State,ACC,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,NC State,Clemson,ACC,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,Clemson,NC State,ACC,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,Virginia,Wake Forest,ACC,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,Wake Forest,Virginia,ACC,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,Arkansas,Texas A&M,SEC,SEC,P4,P4,P4_vs_P4,False,False,,,,
2021,Texas A&M,Arkansas,SEC,SEC,P4,P4,P4_vs_P4,False,False,,,,
2021,Maryland,Kent State,Big Ten,MAC,P4,G6,P4_vs_G6,False,False,,,,
2021,Kent State,Maryland,MAC,Big Ten,G6,P4,G6_vs_P4,False,False,,,,
2021,Memphis,UTSA,American,Conference USA,G6,G6,G6_vs_G6,False,False,,,,
2021,UTSA,Memphis,Conference USA,American,G6,G6,G6_vs_G6,False,False,,,,
2021,Duke,Kansas,ACC,Big 12,P4,P4,P4_vs_P4,False,False,,,,
2021,Kansas,Duke,Big 12,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,Syracuse,Liberty,ACC,Independent,P4,Independent,Other,False,False,,,,
2021,Liberty,Syracuse,Independent,ACC,Independent,P4,Other,False,False,,,,
2021,Auburn,Georgia State,SEC,Sun Belt,P4,G6,P4_vs_G6,False,False,,,,
2021,Georgia State,Auburn,Sun Belt,SEC,G6,P4,G6_vs_P4,False,False,,,,
2021,Tulsa,Arkansas State,American,Sun Belt,G6,G6,G6_vs_G6,False,False,,,,
2021,Arkansas State,Tulsa,Sun Belt,American,G6,G6,G6_vs_G6,False,False,,,,
2021,Georgia Southern,Louisiana,Sun Belt,Sun Belt,G6,G6,G6_vs_G6,False,False,,,,
2021,Louisiana,Georgia Southern,Sun Belt,Sun Belt,G6,G6,G6_vs_G6,False,False,,,,
2021,Fresno State,UNLV,Mountain West,Mountain West,G6,G6,G6_vs_G6,False,False,,,,
2021,UNLV,Fresno State,Mountain West,Mountain West,G6,G6,G6_vs_G6,False,False,,,,
2021,Old Dominion,Buffalo,Conference USA,MAC,G6,G6,G6_vs_G6,False,False,,,,
2021,Buffalo,Old Dominion,MAC,Conference USA,G6,G6,G6_vs_G6,False,False,,,,
2021,Michigan State,Nebraska,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Nebraska,Michigan State,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Utah State,Boise State,Mountain West,Mountain West,G6,G6,G6_vs_G6,False,False,,,,
2021,Boise State,Utah State,Mountain West,Mountain West,G6,G6,G6_vs_G6,False,False,,,,
2021,Houston,Navy,American,American,G6,G6,G6_vs_G6,False,False,,,,
