season,team,opponent,team_conference,opponent_conference,team_tier,opponent_tier,conference_matchup_type,team_changed_conference,opponent_changed_conference,team_previous_conference,opponent_previous_conference,team_years_since_move,opponent_years_since_move
2022,UTEP,North Texas,Conference USA,Conference USA,G6,G6,G6_vs_G6,False,False,Conference USA,Conference USA,,
2022,North Texas,UTEP,Conference USA,Conference USA,G6,G6,G6_vs_G6,False,False,Conference USA,Conference USA,,
2022,New Mexico State,Nevada,Independent,Mountain West,Independent,G6,Other,False,False,Independent,Mountain West,,
2022,Nevada,New Mexico State,Mountain West,Independent,G6,Independent,Other,False,False,Mountain West,Independent,,
2022,Hawai'i,Vanderbilt,Mountain West,SEC,G6,P4,G6_vs_P4,False,False,Mountain West,SEC,,
2022,Vanderbilt,Hawai'i,SEC,Mountain West,P4,G6,P4_vs_G6,False,False,SEC,Mountain West,,
2022,Arkansas,Cincinnati,SEC,American,P4,G6,P4_vs_G6,False,False,SEC,American,,
2022,Cincinnati,Arkansas,American,SEC,G6,P4,G6_vs_P4,False,False,American,SEC,,
2022,Oklahoma,UTEP,Big 12,Conference USA,P4,G6,P4_vs_G6,False,False,Big 12,Conference USA,,
2022,UTEP,Oklahoma,Conference USA,Big 12,G6,P4,G6_vs_P4,False,False,Conference USA,Big 12,,
2022,Wyoming,Tulsa,Mountain West,American,G6,G6,G6_vs_G6,False,False,Mountain West,American,,
2022,Tulsa,Wyoming,American,Mountain West,G6,G6,G6_vs_G6,False,False,American,Mountain West,,
2022,UTSA,Houston,Conference USA,American,G6,G6,G6_vs_G6,False,False,Conference USA,American,,
2022,Houston,UTSA,American,Conference USA,G6,G6,G6_vs_G6,False,False,American,Conference USA,,
2022,South Florida,BYU,American,Independent,G6,Independent,Other,False,False,American,Independent,,
2022,BYU,South Florida,Independent,American,Independent,G6,Other,False,False,Independent,American,,
2022,Ole Miss,Troy,SEC,Sun Belt,P4,G6,P4_vs_G6,False,False,SEC,Sun Belt,,
2022,Troy,Ole Miss,Sun Belt,SEC,G6,P4,G6_vs_P4,False,False,Sun Belt,SEC,,
2022,Nevada,Texas State,Mountain West,Sun Belt,G6,G6,G6_vs_G6,False,False,Mountain West,Sun Belt,,
2022,Texas State,Nevada,Sun Belt,Mountain West,G6,G6,G6_vs_G6,False,False,Sun Belt,Mountain West,,
2022,James Madison,Middle Tennessee,Sun Belt,Conference USA,G6,G6,G6_vs_G6,False,False,,Conference USA,,
2022,Middle Tennessee,James Madison,Conference USA,Sun Belt,G6,G6,G6_vs_G6,False,False,Conference USA,,,
2022,Ohio,Florida Atlantic,MAC,Conference USA,G6,G6,G6_vs_G6,False,False,MAC,Conference USA,,
2022,Florida Atlantic,Ohio,Conference USA,MAC,G6,G6,G6_vs_G6,False,False,Conference USA,MAC,,
2022,Tennessee,Ball State,SEC,MAC,P4,G6,P4_vs_G6,False,False,SEC,MAC,,
2022,Ball State,Tennessee,MAC,SEC,G6,P4,G6_vs_P4,False,False,MAC,SEC,,
2022,Coastal Carolina,Army,Sun Belt,Independent,G6,Independent,Other,False,False,Sun Belt,Independent,,
2022,Army,Coastal Carolina,Independent,Sun Belt,Independent,G6,Other,False,False,Independent,Sun Belt,,
2022,Pittsburgh,West Virginia,ACC,Big 12,P4,P4,P4_vs_P4,False,False,ACC,Big 12,,
2022,West Virginia,Pittsburgh,Big 12,ACC,P4,P4,P4_vs_P4,False,False,Big 12,ACC,,
2022,Oklahoma State,Central Michigan,Big 12,MAC,P4,G6,P4_vs_G6,False,False,Big 12,MAC,,
2022,Central Michigan,Oklahoma State,MAC,Big 12,G6,P4,G6_vs_P4,False,False,MAC,Big 12,,
2022,Southern Miss,Liberty,Sun Belt,Independent,G6,Independent,Other,True,False,Conference USA,Independent,0.0,
2022,Liberty,Southern Miss,Independent,Sun Belt,Independent,G6,Other,False,True,Independent,Conference USA,,0.0
2022,Tulane,Massachusetts,American,Independent,G6,Independent,Other,False,False,American,Independent,,
2022,Massachusetts,Tulane,Independent,American,Independent,G6,Other,False,False,Independent,American,,
2022,Purdue,Penn State,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,Big Ten,Big Ten,,
2022,Penn State,Purdue,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,Big Ten,Big Ten,,
2022,Missouri,Louisiana Tech,SEC,Conference USA,P4,G6,P4_vs_G6,False,False,SEC,Conference USA,,
2022,Louisiana Tech,Missouri,Conference USA,SEC,G6,P4,G6_vs_P4,False,False,Conference USA,SEC,,
2022,Minnesota,New Mexico State,Big Ten,Independent,P4,Independent,Other,False,False,Big Ten,Independent,,
2022,New Mexico State,Minnesota,Independent,Big Ten,Independent,P4,Other,False,False,Independent,Big Ten,,
2022,Kentucky,Miami (OH),SEC,MAC,P4,G6,P4_vs_G6,False,False,SEC,MAC,,
2022,Miami (OH),Kentucky,MAC,SEC,G6,P4,G6_vs_P4,False,False,MAC,SEC,,
2022,Alabama,Utah State,SEC,Mountain West,P4,G6,P4_vs_G6,False,False,SEC,Mountain West,,
2022,Utah State,Alabama,Mountain West,SEC,G6,P4,G6_vs_P4,False,False,Mountain West,SEC,,
2022,North Texas,SMU,Conference USA,American,G6,G6,G6_vs_G6,False,False,Conference USA,American,,
2022,SMU,North Texas,American,Conference USA,G6,G6,G6_vs_G6,False,False,American,Conference USA,,
2022,Ohio State,Notre Dame,Big Ten,Independent,P4,Independent,Other,False,False,Big Ten,Independent,,
2022,Notre Dame,Ohio State,Independent,Big Ten,Independent,P4,Other,False,False,Independent,Big Ten,,
2022,Mississippi State,Memphis,SEC,American,P4,G6,P4_vs_G6,False,False,SEC,American,,
2022,Memphis,Mississippi State,American,SEC,G6,P4,G6_vs_P4,False,False,American,SEC,,
2022,South Carolina,Georgia State,SEC,Sun Belt,P4,G6,P4_vs_G6,False,False,SEC,Sun Belt,,
2022,Georgia State,South Carolina,Sun Belt,SEC,G6,P4,G6_vs_P4,False,False,Sun Belt,SEC,,
2022,Syracuse,Louisville,ACC,ACC,P4,P4,P4_vs_P4,False,False,ACC,ACC,,
2022,Louisville,Syracuse,ACC,ACC,P4,P4,P4_vs_P4,False,False,ACC,ACC,,
2022,Texas,UL Monroe,Big 12,Sun Belt,P4,G6,P4_vs_G6,False,False,Big 12,Sun Belt,,
2022,UL Monroe,Texas,Sun Belt,Big 12,G6,P4,G6_vs_P4,False,False,Sun Belt,Big 12,,
2022,Hawai'i,Western Kentucky,Mountain West,Conference USA,G6,G6,G6_vs_G6,False,False,Mountain West,Conference USA,,
2022,Western Kentucky,Hawai'i,Conference USA,Mountain West,G6,G6,G6_vs_G6,False,False,Conference USA,Mountain West,,
2022,Florida State,LSU,ACC,SEC,P4,P4,P4_vs_P4,False,False,ACC,SEC,,
2022,LSU,Florida State,SEC,ACC,P4,P4,P4_vs_P4,False,False,SEC,ACC,,
2022,Georgia Tech,Clemson,ACC,ACC,P4,P4,P4_vs_P4,False,False,ACC,ACC,,
2022,Clemson,Georgia Tech,ACC,ACC,P4,P4,P4_vs_P4,False,False,ACC,ACC,,
2022,Central Michigan,South Alabama,MAC,Sun Belt,G6,G6,G6_vs_G6,False,False,MAC,Sun Belt,,
2022,South Alabama,Central Michigan,Sun Belt,MAC,G6,G6,G6_vs_G6,False,False,Sun Belt,MAC,,
2022,Ball State,Western Michigan,MAC,MAC,G6,G6,G6_vs_G6,False,False,MAC,MAC,,
2022,Western Michigan,Ball State,MAC,MAC,G6,G6,G6_vs_G6,False,False,MAC,MAC,,
2022,UCF,Louisville,American,ACC,G6,P4,G6_vs_P4,False,False,American,ACC,,
2022,Louisville,UCF,ACC,American,P4,G6,P4_vs_G6,False,False,ACC,American,,
2022,New Mexico,Boise State,Mountain West,Mountain West,G6,G6,G6_vs_G6,False,False,Mountain West,Mountain West,,
2022,Boise State,New Mexico,Mountain West,Mountain West,G6,G6,G6_vs_G6,False,False,Mountain West,Mountain West,,
2022,Penn State,Ohio,Big Ten,MAC,P4,G6,P4_vs_G6,False,False,Big Ten,MAC,,
2022,Ohio,Penn State,MAC,Big Ten,G6,P4,G6_vs_P4,False,False,MAC,Big Ten,,
2022,Georgia State,North Carolina,Sun Belt,ACC,G6,P4,G6_vs_P4,False,False,Sun Belt,ACC,,
2022,North Carolina,Georgia State,ACC,Sun Belt,P4,G6,P4_vs_G6,False,False,ACC,Sun Belt,,
2022,Kansas State,Missouri,Big 12,SEC,P4,P4,P4_vs_P4,False,False,Big 12,SEC,,
2022,Missouri,Kansas State,SEC,Big 12,P4,P4,P4_vs_P4,False,False,SEC,Big 12,,
2022,UConn,Syracuse,Independent,ACC,Independent,P4,Other,False,False,Independent,ACC,,
2022,Syracuse,UConn,ACC,Independent,P4,Independent,Other,False,False,ACC,Independent,,
2022,Vanderbilt,Wake Forest,SEC,ACC,P4,P4,P4_vs_P4,False,False,SEC,ACC,,
2022,Wake Forest,Vanderbilt,ACC,SEC,P4,P4,P4_vs_P4,False,False,ACC,SEC,,
2022,Texas State,Florida International,Sun Belt,Conference USA,G6,G6,G6_vs_G6,False,False,Sun Belt,Conference USA,,
2022,Florida International,Texas State,Conference USA,Sun Belt,G6,G6,G6_vs_G6,False,False,Conference USA,Sun Belt,,
2022,Tulsa,Northern Illinois,American,MAC,G6,G6,G6_vs_G6,False,False,American,MAC,,
2022,Northern Illinois,Tulsa,MAC,American,G6,G6,G6_vs_G6,False,False,MAC,American,,
2022,Florida,Kentucky,SEC,SEC,P4,P4,P4_vs_P4,False,False,SEC,SEC,,
2022,Kentucky,Florida,SEC,SEC,P4,P4,P4_vs_P4,False,False,SEC,SEC,,
2022,Louisiana,Eastern Michigan,Sun Belt,MAC,G6,G6,G6_vs_G6,False,False,Sun Belt,MAC,,
2022,Eastern Michigan,Louisiana,MAC,Sun Belt,G6,G6,G6_vs_G6,False,False,MAC,Sun Belt,,
2022,Texas,Alabama,Big 12,SEC,P4,P4,P4_vs_P4,False,False,Big 12,SEC,,
2022,Alabama,Texas,SEC,Big 12,P4,P4,P4_vs_P4,False,False,SEC,Big 12,,
2022,Army,UTSA,Independent,Conference USA,Independent,G6,Other,False,False,Independent,Conference USA,,
2022,UTSA,Army,Conference USA,Independent,G6,Independent,Other,False,False,Conference USA,Independent,,
2022,Auburn,San José State,SEC,Mountain West,P4,G6,P4_vs_G6,False,False,SEC,Mountain West,,
2022,San José State,Auburn,Mountain West,SEC,G6,P4,G6_vs_P4,False,False,Mountain West,SEC,,
2022,Arkansas,South Carolina,SEC,SEC,P4,P4,P4_vs_P4,False,False,SEC,SEC,,
2022,South Carolina,Arkansas,SEC,SEC,P4,P4,P4_vs_P4,False,False,SEC,SEC,,
2022,Nebraska,Georgia Southern,Big Ten,Sun Belt,P4,G6,P4_vs_G6,False,False,Big Ten,Sun Belt,,
2022,Georgia Southern,Nebraska,Sun Belt,Big Ten,G6,P4,G6_vs_P4,False,False,Sun Belt,Big Ten,,
2022,Ohio State,Arkansas State,Big Ten,Sun Belt,P4,G6,P4_vs_G6,False,False,Big Ten,Sun Belt,,
2022,Arkansas State,Ohio State,Sun Belt,Big Ten,G6,P4,G6_vs_P4,False,False,Sun Belt,Big Ten,,
2022,Miami,Southern Miss,ACC,Sun Belt,P4,G6,P4_vs_G6,False,True,ACC,Conference USA,,0.0
2022,Southern Miss,Miami,Sun Belt,ACC,G6,P4,G6_vs_P4,True,False,Conference USA,ACC,0.0,
2022,Virginia Tech,Boston College,ACC,ACC,P4,P4,P4_vs_P4,False,False,ACC,ACC,,
2022,Boston College,Virginia Tech,ACC,ACC,P4,P4,P4_vs_P4,False,False,ACC,ACC,,
2022,Michigan,Hawai'i,Big Ten,Mountain West,P4,G6,P4_vs_G6,False,False,Big Ten,Mountain West,,
2022,Hawai'i,Michigan,Mountain West,Big Ten,G6,P4,G6_vs_P4,False,False,Mountain West,Big Ten,,
2022,Northwestern,Duke,Big Ten,ACC,P4,P4,P4_vs_P4,False,False,Big Ten,ACC,,
2022,Duke,Northwestern,ACC,Big Ten,P4,P4,P4_vs_P4,False,False,ACC,Big Ten,,
2022,UTEP,New Mexico State,Conference USA,Independent,G6,Independent,Other,False,False,Conference USA,Independent,,
2022,New Mexico State,UTEP,Independent,Conference USA,Independent,G6,Other,False,False,Independent,Conference USA,,
2022,BYU,Baylor,Independent,Big 12,Independent,P4,Other,False,False,Independent,Big 12,,
2022,Baylor,BYU,Big 12,Independent,P4,Independent,Other,False,False,Big 12,Independent,,
2022,Notre Dame,Marshall,Independent,Sun Belt,Independent,G6,Other,False,True,Independent,Conference USA,,0.0
2022,Marshall,Notre Dame,Sun Belt,Independent,G6,Independent,Other,True,False,Conference USA,Independent,0.0,
2022,Pittsburgh,Tennessee,ACC,SEC,P4,P4,P4_vs_P4,False,False,ACC,SEC,,
2022,Tennessee,Pittsburgh,SEC,ACC,P4,P4,P4_vs_P4,False,False,SEC,ACC,,
2022,Navy,Memphis,American,American,G6,G6,G6_vs_G6,False,False,American,American,,
2022,Memphis,Navy,American,American,G6,G6,G6_vs_G6,False,False,American,American,,
2022,Charlotte,Maryland,Conference USA,Big Ten,G6,P4,G6_vs_P4,False,False,Conference USA,Big Ten,,
2022,Maryland,Charlotte,Big Ten,Conference USA,P4,G6,P4_vs_G6,False,False,Big Ten,Conference USA,,
2022,Texas A&M,App State,SEC,Sun Belt,P4,G6,P4_vs_G6,False,False,SEC,Sun Belt,,
2022,App State,Texas A&M,Sun Belt,SEC,G6,P4,G6_vs_P4,False,False,Sun Belt,SEC,,
2022,Texas Tech,Houston,Big 12,American,P4,G6,P4_vs_G6,False,False,Big 12,American,,
2022,Houston,Texas Tech,American,Big 12,G6,P4,G6_vs_P4,False,False,American,Big 12,,
2022,Illinois,Virginia,Big Ten,ACC,P4,P4,P4_vs_P4,False,False,Big Ten,ACC,,
2022,Virginia,Illinois,ACC,Big Ten,P4,P4,P4_vs_P4,False,False,ACC,Big Ten,,
2022,Michigan State,Akron,Big Ten,MAC,P4,G6,P4_vs_G6,False,False,Big Ten,MAC,,
2022,Akron,Michigan State,MAC,Big Ten,G6,P4,G6_vs_P4,False,False,MAC,Big Ten,,
2022,Colorado State,Middle Tennessee,Mountain West,Conference USA,G6,G6,G6_vs_G6,False,False,Mountain West,Conference USA,,
2022,Middle Tennessee,Colorado State,Conference USA,Mountain West,G6,G6,G6_vs_G6,False,False,Conference USA,Mountain West,,
2022,Iowa,Iowa State,Big Ten,Big 12,P4,P4,P4_vs_P4,False,False,Big Ten,Big 12,,
2022,Iowa State,Iowa,Big 12,Big Ten,P4,P4,P4_vs_P4,False,False,Big 12,Big Ten,,
2022,Liberty,UAB,Independent,Conference USA,Independent,G6,Other,False,False,Independent,Conference USA,,
2022,UAB,Liberty,Conference USA,Independent,G6,Independent,Other,False,False,Conference USA,Independent,,
2022,East Carolina,Old Dominion,American,Sun Belt,G6,G6,G6_vs_G6,False,True,American,Conference USA,,0.0
2022,Old Dominion,East Carolina,Sun Belt,American,G6,G6,G6_vs_G6,True,False,Conference USA,American,0.0,
2022,West Virginia,Kansas,Big 12,Big 12,P4,P4,P4_vs_P4,False,False,Big 12,Big 12,,
2022,Kansas,West Virginia,Big 12,Big 12,P4,P4,P4_vs_P4,False,False,Big 12,Big 12,,
2022,Oklahoma,Kent State,Big 12,MAC,P4,G6,P4_vs_G6,False,False,Big 12,MAC,,
2022,Kent State,Oklahoma,MAC,Big 12,G6,P4,G6_vs_P4,False,False,MAC,Big 12,,
2022,Toledo,Massachusetts,MAC,Independent,G6,Independent,Other,False,False,MAC,Independent,,
2022,Massachusetts,Toledo,Independent,MAC,Independent,G6,Other,False,False,Independent,MAC,,
2022,South Carolina,Georgia,SEC,SEC,P4,P4,P4_vs_P4,False,False,SEC,SEC,,
2022,Georgia,South Carolina,SEC,SEC,P4,P4,P4_vs_P4,False,False,SEC,SEC,,
2022,Syracuse,Purdue,ACC,Big Ten,P4,P4,P4_vs_P4,False,False,ACC,Big Ten,,
2022,Purdue,Syracuse,Big Ten,ACC,P4,P4,P4_vs_P4,False,False,Big Ten,ACC,,
2022,Louisville,Florida State,ACC,ACC,P4,P4,P4_vs_P4,False,False,ACC,ACC,,
2022,Florida State,Louisville,ACC,ACC,P4,P4,P4_vs_P4,False,False,ACC,ACC,,
2022,Indiana,Western Kentucky,Big Ten,Conference USA,P4,G6,P4_vs_G6,False,False,Big Ten,Conference USA,,
2022,Western Kentucky,Indiana,Conference USA,Big Ten,G6,P4,G6_vs_P4,False,False,Conference USA,Big Ten,,
2022,Miami (OH),Cincinnati,MAC,American,G6,G6,G6_vs_G6,False,False,MAC,American,,
2022,Cincinnati,Miami (OH),American,MAC,G6,G6,G6_vs_G6,False,False,American,MAC,,
2022,Nebraska,Oklahoma,Big Ten,Big 12,P4,P4,P4_vs_P4,False,False,Big Ten,Big 12,,
2022,Oklahoma,Nebraska,Big 12,Big Ten,P4,P4,P4_vs_P4,False,False,Big 12,Big Ten,,
2022,Wyoming,Air Force,Mountain West,Mountain West,G6,G6,G6_vs_G6,False,False,Mountain West,Mountain West,,
2022,Air Force,Wyoming,Mountain West,Mountain West,G6,G6,G6_vs_G6,False,False,Mountain West,Mountain West,,
2022,Baylor,Texas State,Big 12,Sun Belt,P4,G6,P4_vs_G6,False,False,Big 12,Sun Belt,,
2022,Texas State,Baylor,Sun Belt,Big 12,G6,P4,G6_vs_P4,False,False,Sun Belt,Big 12,,
2022,Michigan,UConn,Big Ten,Independent,P4,Independent,Other,False,False,Big Ten,Independent,,
2022,UConn,Michigan,Independent,Big Ten,Independent,P4,Other,False,False,Independent,Big Ten,,
2022,Coastal Carolina,Buffalo,Sun Belt,MAC,G6,G6,G6_vs_G6,False,False,Sun Belt,MAC,,
2022,Buffalo,Coastal Carolina,MAC,Sun Belt,G6,G6,G6_vs_G6,False,False,MAC,Sun Belt,,
2022,Houston,Kansas,American,Big 12,G6,P4,G6_vs_P4,False,False,American,Big 12,,
2022,Kansas,Houston,Big 12,American,P4,G6,P4_vs_G6,False,False,Big 12,American,,
2022,Bowling Green,Marshall,MAC,Sun Belt,G6,G6,G6_vs_G6,False,True,MAC,Conference USA,,0.0
2022,Marshall,Bowling Green,Sun Belt,MAC,G6,G6,G6_vs_G6,True,False,Conference USA,MAC,0.0,
2022,Wake Forest,Liberty,ACC,Independent,P4,Independent,Other,False,False,ACC,Independent,,
2022,Liberty,Wake Forest,Independent,ACC,Independent,P4,Other,False,False,Independent,ACC,,
2022,LSU,Mississippi State,SEC,SEC,P4,P4,P4_vs_P4,False,False,SEC,SEC,,
2022,Mississippi State,LSU,SEC,SEC,P4,P4,P4_vs_P4,False,False,SEC,SEC,,
2022,Virginia,Old Dominion,ACC,Sun Belt,P4,G6,P4_vs_G6,False,True,ACC,Conference USA,,0.0
2022,Old Dominion,Virginia,Sun Belt,ACC,G6,P4,G6_vs_P4,True,False,Conference USA,ACC,0.0,
2022,Georgia State,Charlotte,Sun Belt,Conference USA,G6,G6,G6_vs_G6,False,False,Sun Belt,Conference USA,,
2022,Charlotte,Georgia State,Conference USA,Sun Belt,G6,G6,G6_vs_G6,False,False,Conference USA,Sun Belt,,
2022,Temple,Rutgers,American,Big Ten,G6,P4,G6_vs_P4,False,False,American,Big Ten,,
2022,Rutgers,Temple,Big Ten,American,P4,G6,P4_vs_G6,False,False,Big Ten,American,,
2022,NC State,Texas Tech,ACC,Big 12,P4,P4,P4_vs_P4,False,False,ACC,Big 12,,
2022,Texas Tech,NC State,Big 12,ACC,P4,P4,P4_vs_P4,False,False,Big 12,ACC,,
2022,Memphis,Arkansas State,American,Sun Belt,G6,G6,G6_vs_G6,False,False,American,Sun Belt,,
2022,Arkansas State,Memphis,Sun Belt,American,G6,G6,G6_vs_G6,False,False,Sun Belt,American,,
2022,Ohio State,Toledo,Big Ten,MAC,P4,G6,P4_vs_G6,False,False,Big Ten,MAC,,
2022,Toledo,Ohio State,MAC,Big Ten,G6,P4,G6_vs_P4,False,False,MAC,Big Ten,,
2022,Tennessee,Akron,SEC,MAC,P4,G6,P4_vs_G6,False,False,SEC,MAC,,
2022,Akron,Tennessee,MAC,SEC,G6,P4,G6_vs_P4,False,False,MAC,SEC,,
2022,Iowa State,Ohio,Big 12,MAC,P4,G6,P4_vs_G6,False,False,Big 12,MAC,,
2022,Ohio,Iowa State,MAC,Big 12,G6,P4,G6_vs_P4,False,False,MAC,Big 12,,
2022,Maryland,SMU,Big Ten,American,P4,G6,P4_vs_G6,False,False,Big Ten,American,,
2022,SMU,Maryland,American,Big Ten,G6,P4,G6_vs_P4,False,False,American,Big Ten,,
2022,Western Michigan,Pittsburgh,MAC,ACC,G6,P4,G6_vs_P4,False,False,MAC,ACC,,
2022,Pittsburgh,Western Michigan,ACC,MAC,P4,G6,P4_vs_G6,False,False,ACC,MAC,,
2022,Florida Atlantic,UCF,Conference USA,American,G6,G6,G6_vs_G6,False,False,Conference USA,American,,
2022,UCF,Florida Atlantic,American,Conference USA,G6,G6,G6_vs_G6,False,False,American,Conference USA,,
2022,Iowa,Nevada,Big Ten,Mountain West,P4,G6,P4_vs_G6,False,False,Big Ten,Mountain West,,
2022,Nevada,Iowa,Mountain West,Big Ten,G6,P4,G6_vs_P4,False,False,Mountain West,Big Ten,,
2022,Rice,Louisiana,Conference USA,Sun Belt,G6,G6,G6_vs_G6,False,False,Conference USA,Sun Belt,,
2022,Louisiana,Rice,Sun Belt,Conference USA,G6,G6,G6_vs_G6,False,False,Sun Belt,Conference USA,,
2022,Florida,South Florida,SEC,American,P4,G6,P4_vs_G6,False,False,SEC,American,,
2022,South Florida,Florida,American,SEC,G6,P4,G6_vs_P4,False,False,American,SEC,,
2022,UNLV,North Texas,Mountain West,Conference USA,G6,G6,G6_vs_G6,False,False,Mountain West,Conference USA,,
2022,North Texas,UNLV,Conference USA,Mountain West,G6,G6,G6_vs_G6,False,False,Conference USA,Mountain West,,
2022,Kansas State,Tulane,Big 12,American,P4,G6,P4_vs_G6,False,False,Big 12,American,,
2022,Tulane,Kansas State,American,Big 12,G6,P4,G6_vs_P4,False,False,American,Big 12,,
2022,Wisconsin,New Mexico State,Big Ten,Independent,P4,Independent,Other,False,False,Big Ten,Independent,,
2022,New Mexico State,Wisconsin,Independent,Big Ten,Independent,P4,Other,False,False,Independent,Big Ten,,
2022,App State,Troy,Sun Belt,Sun Belt,G6,G6,G6_vs_G6,False,False,Sun Belt,Sun Belt,,
2022,Troy,App State,Sun Belt,Sun Belt,G6,G6,G6_vs_G6,False,False,Sun Belt,Sun Belt,,
2022,Northern Illinois,Vanderbilt,MAC,SEC,G6,P4,G6_vs_P4,False,False,MAC,SEC,,
2022,Vanderbilt,Northern Illinois,SEC,MAC,P4,G6,P4_vs_G6,False,False,SEC,MAC,,
2022,UAB,Georgia Southern,Conference USA,Sun Belt,G6,G6,G6_vs_G6,False,False,Conference USA,Sun Belt,,
2022,Georgia Southern,UAB,Sun Belt,Conference USA,G6,G6,G6_vs_G6,False,False,Sun Belt,Conference USA,,
2022,Auburn,Penn State,SEC,Big Ten,P4,P4,P4_vs_P4,False,False,SEC,Big Ten,,
2022,Penn State,Auburn,Big Ten,SEC,P4,P4,P4_vs_P4,False,False,Big Ten,SEC,,
2022,Georgia Tech,Ole Miss,ACC,SEC,P4,P4,P4_vs_P4,False,False,ACC,SEC,,
2022,Ole Miss,Georgia Tech,SEC,ACC,P4,P4,P4_vs_P4,False,False,SEC,ACC,,
2022,Alabama,UL Monroe,SEC,Sun Belt,P4,G6,P4_vs_G6,False,False,SEC,Sun Belt,,
2022,UL Monroe,Alabama,Sun Belt,SEC,G6,P4,G6_vs_P4,False,False,Sun Belt,SEC,,
2022,Texas,UTSA,Big 12,Conference USA,P4,G6,P4_vs_G6,False,False,Big 12,Conference USA,,
2022,UTSA,Texas,Conference USA,Big 12,G6,P4,G6_vs_P4,False,False,Conference USA,Big 12,,
2022,Clemson,Louisiana Tech,ACC,Conference USA,P4,G6,P4_vs_G6,False,False,ACC,Conference USA,,
2022,Louisiana Tech,Clemson,Conference USA,ACC,G6,P4,G6_vs_P4,False,False,Conference USA,ACC,,
2022,New Mexico,UTEP,Mountain West,Conference USA,G6,G6,G6_vs_G6,False,False,Mountain West,Conference USA,,
2022,UTEP,New Mexico,Conference USA,Mountain West,G6,G6,G6_vs_G6,False,False,Conference USA,Mountain West,,
2022,Texas A&M,Miami,SEC,ACC,P4,P4,P4_vs_P4,False,False,SEC,ACC,,
2022,Miami,Texas A&M,ACC,SEC,P4,P4,P4_vs_P4,False,False,ACC,SEC,,
2022,Georgia State,Coastal Carolina,Sun Belt,Sun Belt,G6,G6,G6_vs_G6,False,False,Sun Belt,Sun Belt,,
2022,Coastal Carolina,Georgia State,Sun Belt,Sun Belt,G6,G6,G6_vs_G6,False,False,Sun Belt,Sun Belt,,
2022,Virginia Tech,West Virginia,ACC,Big 12,P4,P4,P4_vs_P4,False,False,ACC,Big 12,,
2022,West Virginia,Virginia Tech,Big 12,ACC,P4,P4,P4_vs_P4,False,False,Big 12,ACC,,
2022,Syracuse,Virginia,ACC,ACC,P4,P4,P4_vs_P4,False,False,ACC,ACC,,
2022,Virginia,Syracuse,ACC,ACC,P4,P4,P4_vs_P4,False,False,ACC,ACC,,
2022,Air Force,Nevada,Mountain West,Mountain West,G6,G6,G6_vs_G6,False,False,Mountain West,Mountain West,,
2022,Nevada,Air Force,Mountain West,Mountain West,G6,G6,G6_vs_G6,False,False,Mountain West,Mountain West,,
2022,UTEP,Boise State,Conference USA,Mountain West,G6,G6,G6_vs_G6,False,False,Conference USA,Mountain West,,
2022,Boise State,UTEP,Mountain West,Conference USA,G6,G6,G6_vs_G6,False,False,Mountain West,Conference USA,,
2022,Georgia,Kent State,SEC,MAC,P4,G6,P4_vs_G6,False,False,SEC,MAC,,
2022,Kent State,Georgia,MAC,SEC,G6,P4,G6_vs_P4,False,False,MAC,SEC,,
2022,Michigan,Maryland,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,Big Ten,Big Ten,,
2022,Maryland,Michigan,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,Big Ten,Big Ten,,
2022,SMU,TCU,American,Big 12,G6,P4,G6_vs_P4,False,False,American,Big 12,,
2022,TCU,SMU,Big 12,American,P4,G6,P4_vs_G6,False,False,Big 12,American,,
2022,Eastern Michigan,Buffalo,MAC,MAC,G6,G6,G6_vs_G6,False,False,MAC,MAC,,
2022,Buffalo,Eastern Michigan,MAC,MAC,G6,G6,G6_vs_G6,False,False,MAC,MAC,,
2022,Kansas,Duke,Big 12,ACC,P4,P4,P4_vs_P4,False,False,Big 12,ACC,,
2022,Duke,Kansas,ACC,Big 12,P4,P4,P4_vs_P4,False,False,ACC,Big 12,,
2022,Iowa State,Baylor,Big 12,Big 12,P4,P4,P4_vs_P4,False,False,Big 12,Big 12,,
2022,Baylor,Iowa State,Big 12,Big 12,P4,P4,P4_vs_P4,False,False,Big 12,Big 12,,
2022,Penn State,Central Michigan,Big Ten,MAC,P4,G6,P4_vs_G6,False,False,Big Ten,MAC,,
2022,Central Michigan,Penn State,MAC,Big Ten,G6,P4,G6_vs_P4,False,False,MAC,Big Ten,,
2022,Wake Forest,Clemson,ACC,ACC,P4,P4,P4_vs_P4,False,False,ACC,ACC,,
2022,Clemson,Wake Forest,ACC,ACC,P4,P4,P4_vs_P4,False,False,ACC,ACC,,
2022,Mississippi State,Bowling Green,SEC,MAC,P4,G6,P4_vs_G6,False,False,SEC,MAC,,
2022,Bowling Green,Mississippi State,MAC,SEC,G6,P4,G6_vs_P4,False,False,MAC,SEC,,
2022,Auburn,Missouri,SEC,SEC,P4,P4,P4_vs_P4,False,False,SEC,SEC,,
2022,Missouri,Auburn,SEC,SEC,P4,P4,P4_vs_P4,False,False,SEC,SEC,,
