season,team,raw_team,overall_returning_production,offense_returning_production,defense_returning_production,overall_rank,offense_rank,defense_rank,source
2022,Georgia State,Georgia St.,76.0,72.0,80.0,25,49,21,manual_table
2022,Georgia Tech,Georgia Tech,56.0,58.0,54.0,109,88,110,manual_table
2022,Hawaii,Hawaii,33.0,33.0,33.0,130,127,130,manual_table
2022,Houston,Houston,74.0,72.0,76.0,34,47,31,manual_table
2022,Illinois,Illinois,51.0,51.0,51.0,122,108,114,manual_table
2022,Indiana,Indiana,67.0,71.0,64.0,55,52,78,manual_table
2022,Iowa,Iowa,76.0,84.0,67.0,27,16,66,manual_table
2022,Iowa State,Iowa St.,40.0,37.0,43.0,128,125,123,manual_table
2022,James Madison,James Madison,58.0,61.0,55.0,100,79,106,manual_table
2022,Kansas,Kansas,82.0,75.0,89.0,10,38,3,manual_table
2022,Kansas State,Kansas St.,57.0,59.0,55.0,105,85,107,manual_table
2022,Kent State,Kent St.,53.0,44.0,62.0,117,119,84,manual_table
2022,Kentucky,Kentucky,65.0,59.0,72.0,63,86,43,manual_table
2022,LSU,LSU,62.0,54.0,69.0,82,96,57,manual_table
2022,Liberty,Liberty,51.0,53.0,50.0,121,103,118,manual_table
2022,Louisiana,Louisiana,48.0,43.0,53.0,126,124,111,manual_table
2022,Louisiana Tech,Louisiana Tech,58.0,51.0,66.0,101,111,70,manual_table
2022,Louisville,Louisville,80.0,89.0,71.0,14,6,49,manual_table
2022,Marshall,Marshall,57.0,53.0,61.0,103,99,87,manual_table
2022,Maryland,Maryland,72.0,83.0,61.0,40,18,86,manual_table
2022,Memphis,Memphis,70.0,70.0,70.0,49,56,51,manual_table
2022,Miami,Miami,71.0,63.0,80.0,45,71,22,manual_table
2022,Miami (OH),Miami (Ohio),62.0,76.0,47.0,81,34,120,manual_table
2022,Michigan,Michigan,65.0,87.0,43.0,67,13,124,manual_table
2022,Michigan State,Michigan St.,72.0,65.0,79.0,42,70,23,manual_table
2022,Middle Tennessee,Middle Tenn.,56.0,58.0,54.0,108,91,109,manual_table
2022,Minnesota,Minnesota,70.0,80.0,59.0,50,27,97,manual_table
2022,Mississippi State,Mississippi St.,78.0,72.0,84.0,20,45,8,manual_table
2022,Missouri,Missouri,65.0,52.0,78.0,68,105,30,manual_table
2022,NC State,NC State,81.0,75.0,88.0,12,37,5,manual_table
2022,Navy,Navy,52.0,53.0,51.0,120,98,117,manual_table
2022,Nebraska,Nebraska,57.0,57.0,57.0,104,92,101,manual_table
2022,Nevada,Nevada,27.0,20.0,34.0,131,131,129,manual_table
2022,New Mexico,New Mexico,57.0,44.0,71.0,102,122,48,manual_table
2022,New Mexico State,New Mexico St.,54.0,31.0,76.0,116,129,32,manual_table
2022,North Carolina,North Carolina,63.0,49.0,78.0,75,115,25,manual_table
2022,North Texas,North Texas,81.0,90.0,72.0,13,5,45,manual_table
2022,Northern Illinois,Northern Illinois,83.0,84.0,81.0,8,15,16,manual_table
2022,Northwestern,Northwestern,65.0,65.0,65.0,69,69,74,manual_table
2022,Notre Dame,Notre Dame,59.0,49.0,69.0,93,113,56,manual_table
2022,Ohio,Ohio,70.0,65.0,75.0,48,64,36,manual_table
2022,Ohio State,Ohio St.,76.0,70.0,82.0,24,53,13,manual_table
2022,Oklahoma,Oklahoma,64.0,47.0,82.0,71,117,15,manual_table
2022,Oklahoma State,Oklahoma St.,53.0,69.0,37.0,118,58,128,manual_table
2022,Old Dominion,Old Dominion,75.0,90.0,60.0,30,4,92,manual_table
2022,Ole Miss,Ole Miss,59.0,49.0,68.0,98,114,59,manual_table
2022,Oregon,Oregon,63.0,58.0,69.0,76,90,58,manual_table
2022,Oregon State,Oregon St.,73.0,68.0,78.0,39,61,28,manual_table
2022,Penn State,Penn St.,64.0,71.0,57.0,72,51,103,manual_table
2022,Pittsburgh,Pittsburgh,74.0,74.0,75.0,31,42,34,manual_table
2022,Purdue,Purdue,70.0,68.0,72.0,47,59,41,manual_table
2022,Rice,Rice,63.0,59.0,68.0,77,87,62,manual_table
2022,Rutgers,Rutgers,67.0,74.0,61.0,54,40,90,manual_table
2022,SMU,SMU,79.0,83.0,75.0,19,20,35,manual_table
2022,San Diego State,San Diego St.,54.0,44.0,64.0,115,120,80,manual_table
2022,San Jose State,San Jose St.,57.0,58.0,55.0,107,89,105,manual_table
2022,South Alabama,South Alabama,62.0,57.0,68.0,80,94,61,manual_table
2022,South Carolina,South Carolina,73.0,82.0,65.0,36,22,76,manual_table
2022,South Florida,South Florida,86.0,88.0,84.0,5,11,9,manual_table
2022,Southern Miss,Southern Miss,85.0,86.0,83.0,7,14,11,manual_table
2022,Stanford,Stanford,88.0,94.0,82.0,3,2,14,manual_table
2022,Syracuse,Syracuse,80.0,79.0,81.0,15,29,17,manual_table
2022,TCU,TCU,82.0,82.0,82.0,9,24,12,manual_table
2022,Temple,Temple,66.0,60.0,71.0,59,82,47,manual_table
2022,Tennessee,Tennessee,74.0,80.0,68.0,33,26,60,manual_table
2022,Texas,Texas,68.0,62.0,74.0,53,77,37,manual_table
2022,Texas A&M,Texas A&M,61.0,62.0,60.0,84,76,91,manual_table
2022,Texas State,Texas St.,77.0,89.0,64.0,23,7,79,manual_table
2022,Texas Tech,Texas Tech,60.0,54.0,65.0,90,97,71,manual_table
2022,Toledo,Toledo,73.0,68.0,78.0,38,60,29,manual_table
2022,Troy,Troy,80.0,72.0,87.0,17,48,6,manual_table
2022,Tulane,Tulane,75.0,89.0,62.0,28,10,85,manual_table
2022,Tulsa,Tulsa,56.0,57.0,55.0,110,93,108,manual_table
2022,UAB,UAB,59.0,50.0,67.0,97,112,64,manual_table
2022,UCF,Central Florida,79.0,77.0,81.0,18,33,20,manual_table
2022,UCLA,UCLA,59.0,61.0,57.0,95,78,102,manual_table
2022,UConn,UConn,75.0,74.0,76.0,29,39,33,manual_table
2022,UL Monroe,UL-Monroe,62.0,82.0,41.0,83,21,126,manual_table
2022,UMass,UMass,86.0,89.0,84.0,4,9,7,manual_table
2022,UNLV,UNLV,80.0,76.0,84.0,16,36,10,manual_table
2022,USC,USC,59.0,59.0,59.0,94,83,95,manual_table
2022,UTEP,UTEP,69.0,60.0,78.0,51,81,26,manual_table
2022,UTSA,UTSA,77.0,87.0,67.0,22,12,69,manual_table
2022,Utah,Utah,66.0,71.0,61.0,58,50,88,manual_table
2022,Utah State,Utah St.,55.0,63.0,47.0,113,74,119,manual_table
2022,Vanderbilt,Vanderbilt,69.0,70.0,67.0,52,54,67,manual_table
2022,Virginia,Virginia,51.0,59.0,42.0,123,84,125,manual_table
2022,Virginia Tech,Virginia Tech,65.0,51.0,79.0,64,106,24,manual_table
2022,Wake Forest,Wake Forest,71.0,79.0,64.0,46,30,77,manual_table
2022,Washington,Washington,74.0,81.0,67.0,35,25,68,manual_table
2022,Washington State,Washington St.,52.0,32.0,72.0,119,128,42,manual_table
2022,West Virginia,West Virginia,56.0,48.0,64.0,111,116,81,manual_table
2022,Western Kentucky,W. Kentucky,60.0,51.0,69.0,88,109,55,manual_table
2022,Western Michigan,W. Michigan,49.0,27.0,70.0,124,130,50,manual_table
2022,Wisconsin,Wisconsin,61.0,63.0,59.0,85,73,94,manual_table
2022,Wyoming,Wyoming,55.0,51.0,59.0,112,107,96,manual_table
2023,Air Force,Air Force,59.0,47.0,70.0,75,95,36,derived_from_2023_2025_game_file
2023,Akron,Akron,63.0,78.0,48.0,60,15,93,derived_from_2023_2025_game_file
2023,Alabama,Alabama,40.0,43.0,38.0,105,101,105,derived_from_2023_2025_game_file
2023,Arizona,Arizona,57.0,72.0,42.0,78,37,100,derived_from_2023_2025_game_file
2023,Arkansas,Arkansas,54.0,58.0,51.0,89,78,82,derived_from_2023_2025_game_file
2023,Army,Army,64.0,64.0,64.0,53,59,54,derived_from_2023_2025_game_file
2023,Auburn,Auburn,71.0,72.0,71.0,24,37,32,derived_from_2023_2025_game_file
2023,BYU,BYU,63.0,62.0,65.0,60,67,50,derived_from_2023_2025_game_file
2023,Baylor,Baylor,55.0,60.0,51.0,86,74,82,derived_from_2023_2025_game_file
2023,Boise State,Boise State,67.0,78.0,55.0,42,15,72,derived_from_2023_2025_game_file
2023,Boston College,Boston College,78.0,78.0,79.0,7,15,10,derived_from_2023_2025_game_file
2023,Bowling Green,Bowling Green,59.0,63.0,54.0,75,65,75,derived_from_2023_2025_game_file
2023,Buffalo,Buffalo,53.0,57.0,49.0,91,80,87,derived_from_2023_2025_game_file
2023,California,California,68.0,58.0,78.0,39,78,12,derived_from_2023_2025_game_file
2023,Central Michigan,Central Michigan,66.0,51.0,80.0,45,94,7,derived_from_2023_2025_game_file
2023,Charlotte,Charlotte,50.0,52.0,48.0,101,90,93,derived_from_2023_2025_game_file
2023,Cincinnati,Cincinnati,46.0,42.0,49.0,104,102,87,derived_from_2023_2025_game_file
2023,Clemson,Clemson,69.0,64.0,75.0,32,59,20,derived_from_2023_2025_game_file
2023,Coastal Carolina,Coastal Carolina,72.0,79.0,65.0,21,13,50,derived_from_2023_2025_game_file
2023,Colorado,Colorado,57.0,57.0,57.0,78,80,69,derived_from_2023_2025_game_file
2023,Duke,Duke,71.0,82.0,60.0,24,6,63,derived_from_2023_2025_game_file
2023,East Carolina,East Carolina,34.0,30.0,39.0,109,109,104,derived_from_2023_2025_game_file
2023,Eastern Michigan,Eastern Michigan,63.0,47.0,79.0,60,95,10,derived_from_2023_2025_game_file
2023,Florida,Florida,54.0,55.0,53.0,89,86,78,derived_from_2023_2025_game_file
2023,Florida State,Florida State,87.0,80.0,94.0,1,11,1,derived_from_2023_2025_game_file
2023,Georgia,Georgia,61.0,52.0,70.0,70,90,36,derived_from_2023_2025_game_file
2023,Georgia Tech,Georgia Tech,67.0,69.0,66.0,42,46,45,derived_from_2023_2025_game_file
2023,Hawaii,Hawaii,47.0,45.0,49.0,103,100,87,derived_from_2023_2025_game_file
2023,Houston,Houston,60.0,77.0,43.0,72,22,99,derived_from_2023_2025_game_file
2023,Illinois,Illinois,63.0,64.0,62.0,60,59,61,derived_from_2023_2025_game_file
2023,Indiana,Indiana,69.0,65.0,72.0,32,55,27,derived_from_2023_2025_game_file
2023,Iowa,Iowa,57.0,64.0,49.0,78,59,87,derived_from_2023_2025_game_file
2023,Jacksonville State,Jacksonville State,63.0,62.0,64.0,60,67,54,derived_from_2023_2025_game_file
2023,James Madison,James Madison,70.0,60.0,81.0,30,74,5,derived_from_2023_2025_game_file
2023,Kansas,Kansas,85.0,91.0,80.0,2,1,7,derived_from_2023_2025_game_file
2023,Kentucky,Kentucky,63.0,71.0,55.0,60,41,72,derived_from_2023_2025_game_file
2023,LSU,LSU,71.0,81.0,60.0,24,10,63,derived_from_2023_2025_game_file
2023,Liberty,Liberty,55.0,63.0,47.0,86,65,97,derived_from_2023_2025_game_file
2023,Louisiana,Louisiana,66.0,78.0,54.0,45,15,75,derived_from_2023_2025_game_file
2023,Louisiana Tech,Louisiana Tech,72.0,62.0,81.0,21,67,5,derived_from_2023_2025_game_file
2023,Louisville,Louisville,56.0,61.0,50.0,82,72,85,derived_from_2023_2025_game_file
2023,Marshall,Marshall,61.0,65.0,58.0,70,55,68,derived_from_2023_2025_game_file
2023,Maryland,Maryland,64.0,64.0,63.0,53,59,57,derived_from_2023_2025_game_file
2023,Memphis,Memphis,63.0,67.0,59.0,60,52,65,derived_from_2023_2025_game_file
2023,Miami,Miami,70.0,62.0,77.0,30,67,15,derived_from_2023_2025_game_file
2023,Miami (OH),Miami (OH),69.0,61.0,76.0,32,72,18,derived_from_2023_2025_game_file
2023,Michigan,Michigan,81.0,84.0,78.0,4,4,12,derived_from_2023_2025_game_file
2023,Middle Tennessee,Middle Tennessee,69.0,52.0,86.0,32,90,2,derived_from_2023_2025_game_file
2023,Minnesota,Minnesota,58.0,59.0,57.0,77,77,69,derived_from_2023_2025_game_file
2023,Missouri,Missouri,78.0,77.0,80.0,7,22,7,derived_from_2023_2025_game_file
2023,Navy,Navy,75.0,76.0,74.0,14,25,24,derived_from_2023_2025_game_file
2023,Nebraska,Nebraska,69.0,72.0,66.0,32,37,45,derived_from_2023_2025_game_file
2023,Nevada,Nevada,53.0,53.0,54.0,91,89,75,derived_from_2023_2025_game_file
2023,New Mexico,New Mexico,64.0,78.0,49.0,53,15,87,derived_from_2023_2025_game_file
2023,New Mexico State,New Mexico State,64.0,77.0,51.0,53,22,82,derived_from_2023_2025_game_file
2023,North Carolina,North Carolina,68.0,69.0,68.0,39,46,40,derived_from_2023_2025_game_file
2023,North Texas,North Texas,74.0,76.0,71.0,15,25,32,derived_from_2023_2025_game_file
2023,Northwestern,Northwestern,56.0,46.0,66.0,82,97,45,derived_from_2023_2025_game_file
2023,Notre Dame,Notre Dame,68.0,65.0,72.0,39,55,27,derived_from_2023_2025_game_file
2023,Ohio,Ohio,52.0,78.0,26.0,93,15,109,derived_from_2023_2025_game_file
2023,Ohio State,Ohio State,67.0,57.0,77.0,42,80,15,derived_from_2023_2025_game_file
2023,Oklahoma,Oklahoma,62.0,62.0,63.0,68,67,57,derived_from_2023_2025_game_file
2023,Old Dominion,Old Dominion,57.0,69.0,46.0,78,46,98,derived_from_2023_2025_game_file
2023,Ole Miss,Ole Miss,71.0,80.0,62.0,24,11,61,derived_from_2023_2025_game_file
2023,Oregon,Oregon,65.0,65.0,65.0,47,55,50,derived_from_2023_2025_game_file
2023,Oregon State,Oregon State,65.0,78.0,52.0,47,15,80,derived_from_2023_2025_game_file
2023,Penn State,Penn State,65.0,55.0,75.0,47,86,20,derived_from_2023_2025_game_file
2023,Pittsburgh,Pittsburgh,51.0,52.0,49.0,100,90,87,derived_from_2023_2025_game_file
