season,week,date,game_id,team,opponent,role,spread,ats_result,ats_margin,team_clv,overall_rp_edge,off_vs_def_rp_edge,def_vs_off_rp_edge,overall_rp_edge_bucket,team_conference,opponent_conference,team_tier,opponent_tier,conference_matchup_type,team_changed_conference,opponent_changed_conference,team_previous_conference,opponent_previous_conference,team_years_since_move,opponent_years_since_move,off_vs_def_rp_edge_bucket,def_vs_off_rp_edge_bucket,early_season,rp_edge_bucket,spread_bucket,rp_edge_side
2025,4,2025-09-18T23:30:00.000Z,401762468,Rice,Charlotte,Favorite,-1.6666666666666667,W,9.333333333333334,-2.5,9.0,-12.0,32.0,5_to_15,American,American,G6,G6,G6_vs_G6,False,False,American,American,,,minus_5_to_15,25_plus,True,5_to_15,pick_to_3,team_has_rp_edge
2025,4,2025-09-20T16:00:00.000Z,401762469,Army,North Texas,Underdog,2.5,L,-4.5,-1.5,-2.0,-30.0,24.0,neutral,American,American,G6,G6,G6_vs_G6,False,False,American,American,,,minus_25,15_to_25,True,neutral,pick_to_3,opponent_has_rp_edge
2025,4,2025-09-20T16:00:00.000Z,401762469,North Texas,Army,Favorite,-2.5,W,4.5,1.5,2.0,-24.0,30.0,neutral,American,American,G6,G6,G6_vs_G6,False,False,American,American,,,minus_15_to_25,25_plus,True,neutral,pick_to_3,team_has_rp_edge
2025,4,2025-09-20T16:00:00.000Z,401754537,Clemson,Syracuse,Favorite,-17.5,L,-30.5,1.0,31.0,24.0,38.0,25_plus,ACC,ACC,P4,P4,P4_vs_P4,False,False,ACC,ACC,,,15_to_25,25_plus,True,25_plus,fav_14_plus,team_has_rp_edge
2025,4,2025-09-20T16:45:00.000Z,401752715,Tennessee,UAB,Favorite,-39.0,L,-7.0,1.0,19.0,9.0,29.0,15_to_25,SEC,American,P4,G6,P4_vs_G6,False,False,SEC,American,,,5_to_15,25_plus,True,15_to_25,fav_14_plus,team_has_rp_edge
2025,4,2025-09-20T19:00:00.000Z,401752841,Oregon State,Oregon,Underdog,34.0,P,0.0,0.0,19.0,11.0,25.0,15_to_25,,,,,,,,,,,,5_to_15,25_plus,True,15_to_25,dog_14_plus,team_has_rp_edge
2025,4,2025-09-20T19:30:00.000Z,401752848,Notre Dame,Purdue,Favorite,-24.5,W,1.5,-2.0,25.0,12.0,39.0,25_plus,Independent,Big Ten,Independent,P4,Other,False,False,Independent,Big Ten,,,5_to_15,25_plus,True,25_plus,fav_14_plus,team_has_rp_edge
2025,4,2025-09-20T19:30:00.000Z,401761613,Troy,Buffalo,Underdog,5.833333333333333,W,9.833333333333332,0.0,9.0,-9.0,27.0,5_to_15,Sun Belt,MAC,G6,G6,G6_vs_G6,False,False,Sun Belt,MAC,,,minus_5_to_15,25_plus,True,5_to_15,dog_3_7,team_has_rp_edge
2025,4,2025-09-20T19:30:00.000Z,401762820,Toledo,Western Michigan,Favorite,-12.666666666666666,L,-13.666666666666666,-2.0,23.0,26.0,22.0,15_to_25,MAC,MAC,G6,G6,G6_vs_G6,False,False,MAC,MAC,,,25_plus,15_to_25,True,15_to_25,fav_7_14,team_has_rp_edge
2025,4,2025-09-20T19:30:00.000Z,401752711,Tulane,Ole Miss,Underdog,12.166666666666666,L,-22.833333333333336,1.0,14.0,3.0,24.0,5_to_15,American,SEC,G6,P4,G6_vs_P4,False,False,American,SEC,,,neutral,15_to_25,True,5_to_15,dog_7_14,team_has_rp_edge
