game_id,week,date,away_team,home_team,signal_team,signal_opponent,signal_side,overall_rp,offense_rp,defense_rp,opponent_overall_rp,opponent_offense_rp,opponent_defense_rp,overall_rp_edge,offense_vs_defense_edge,defense_vs_offense_edge,model_spread_field,full_game_model_spread,estimated_1h_spread,estimated_1h_role,candidate_a_defensive_favorite,candidate_b_offensive_underdog
g48,1,2026-09-05,Liberty,James Madison,James Madison,Liberty,home,30.0,27.0,32.0,57.0,64.0,50.0,-27.0,-23.0,-32.0,projection_spread_home,12.19,6.095,Underdog,False,False
g52,1,2026-09-05,Clemson,LSU,Clemson,LSU,away,53.0,46.0,61.0,61.0,61.0,60.0,-8.0,-14.0,0.0,projection_spread_home,-9.8,-4.9,Favorite,False,False
g52,1,2026-09-05,Clemson,LSU,LSU,Clemson,home,61.0,61.0,60.0,53.0,46.0,61.0,8.0,0.0,14.0,projection_spread_home,9.8,4.9,Underdog,False,False
g56,1,2026-09-05,Arkansas State,Memphis,Arkansas State,Memphis,away,49.0,52.0,45.0,42.0,44.0,39.0,7.0,13.0,1.0,projection_spread_home,-11.03,-5.515,Favorite,False,False
g56,1,2026-09-05,Arkansas State,Memphis,Memphis,Arkansas State,home,42.0,44.0,39.0,49.0,52.0,45.0,-7.0,-1.0,-13.0,projection_spread_home,11.03,5.515,Underdog,False,False
g57,1,2026-09-05,Western Michigan,Michigan,Western Michigan,Michigan,away,51.0,60.0,42.0,63.0,72.0,55.0,-12.0,5.0,-30.0,projection_spread_home,-25.26,-12.63,Favorite,False,False
g57,1,2026-09-05,Western Michigan,Michigan,Michigan,Western Michigan,home,63.0,72.0,55.0,51.0,60.0,42.0,12.0,30.0,-5.0,projection_spread_home,25.26,12.63,Underdog,False,True
g58,1,2026-09-05,Toledo,Michigan State,Toledo,Michigan State,away,33.0,42.0,25.0,46.0,48.0,45.0,-13.0,-3.0,-23.0,projection_spread_home,-7.785,-3.8925,Favorite,False,False
g58,1,2026-09-05,Toledo,Michigan State,Michigan State,Toledo,home,46.0,48.0,45.0,33.0,42.0,25.0,13.0,23.0,3.0,projection_spread_home,7.785,3.8925,Underdog,False,False
g60,1,2026-09-05,UL-Monroe,Mississippi State,UL-Monroe,Mississippi State,away,51.0,63.0,40.0,48.0,44.0,52.0,3.0,11.0,-4.0,projection_spread_home,-28.3225,-14.16125,Favorite,False,False
g60,1,2026-09-05,UL-Monroe,Mississippi State,Mississippi State,UL-Monroe,home,48.0,44.0,52.0,51.0,63.0,40.0,-3.0,4.0,-11.0,projection_spread_home,28.3225,14.16125,Underdog,False,True
