season,week,date,game_id,component,edge_team,edge_opponent,conference_matchup_type,component_edge,component_edge_band,edge_team_role,edge_team_spread,edge_team_ats_result,edge_team_ats_margin,edge_team_clv,source_flipped
2023,2,2023-09-09T19:30:00.000Z,401520207,defense_vs_opponent_offense,UTEP,Northwestern,G6_vs_P4,17.0,15_to_24_9,Underdog,1.0,L,-30.0,,False
2023,2,2023-09-10T00:00:00.000Z,401520211,defense_vs_opponent_offense,Sam Houston,Air Force,G6_vs_G6,28.0,25_plus,Underdog,13.166666666666666,W,3.166666666666666,,False
2023,2,2023-09-09T19:30:00.000Z,401520214,defense_vs_opponent_offense,Ole Miss,Tulane,P4_vs_G6,12.0,5_to_14_9,Favorite,-9.833333333333334,W,7.166666666666666,,True
2023,2,2023-09-09T19:30:00.000Z,401520214,defense_vs_opponent_offense,Tulane,Ole Miss,G6_vs_P4,11.0,5_to_14_9,Underdog,9.833333333333334,L,-7.166666666666666,,True
2023,2,2023-09-09T19:30:00.000Z,401520214,offense_vs_opponent_defense,Ole Miss,Tulane,P4_vs_G6,12.0,5_to_14_9,Favorite,-9.833333333333334,W,7.166666666666666,,False
2023,2,2023-09-09T19:30:00.000Z,401520214,offense_vs_opponent_defense,Tulane,Ole Miss,G6_vs_P4,11.0,5_to_14_9,Underdog,9.833333333333334,L,-7.166666666666666,,False
2023,2,2023-09-09T16:00:00.000Z,401520215,defense_vs_opponent_offense,Purdue,Virginia Tech,P4_vs_P4,6.0,5_to_14_9,Underdog,0.8333333333333334,W,7.833333333333333,,True
2023,2,2023-09-09T16:00:00.000Z,401520215,offense_vs_opponent_defense,Virginia Tech,Purdue,P4_vs_P4,14.0,5_to_14_9,Favorite,-0.8333333333333334,L,-7.833333333333333,,False
2023,2,2023-09-09T15:00:00.000Z,401520216,defense_vs_opponent_offense,Vanderbilt,Wake Forest,P4_vs_P4,10.0,5_to_14_9,Underdog,9.666666666666666,L,-6.333333333333334,,False
2023,2,2023-09-09T15:00:00.000Z,401520216,offense_vs_opponent_defense,Vanderbilt,Wake Forest,P4_vs_P4,14.0,5_to_14_9,Underdog,9.666666666666666,L,-6.333333333333334,,False
2023,2,2023-09-09T23:30:00.000Z,401520217,defense_vs_opponent_offense,Washington State,Wisconsin,,5.0,5_to_14_9,Underdog,5.333333333333333,W,14.333333333333332,,True
2023,2,2023-09-09T23:30:00.000Z,401520217,offense_vs_opponent_defense,Wisconsin,Washington State,,25.0,25_plus,Favorite,-5.333333333333333,L,-14.333333333333332,,False
2023,3,2023-09-17T03:00:00.000Z,401520219,defense_vs_opponent_offense,Arizona,UTEP,,9.0,5_to_14_9,Favorite,-18.25,W,2.75,,True
2023,3,2023-09-17T03:00:00.000Z,401520219,offense_vs_opponent_defense,UTEP,Arizona,,25.0,25_plus,Underdog,18.25,L,-2.75,,False
2023,3,2023-09-16T23:30:00.000Z,401520220,defense_vs_opponent_offense,BYU,Arkansas,P4_vs_P4,7.0,5_to_14_9,Underdog,8.25,W,15.25,,False
2023,3,2023-09-16T23:30:00.000Z,401520220,offense_vs_opponent_defense,BYU,Arkansas,P4_vs_P4,11.0,5_to_14_9,Underdog,8.25,W,15.25,,False
2023,3,2023-09-16T16:00:00.000Z,401520222,defense_vs_opponent_offense,Buffalo,Liberty,G6_vs_G6,10.0,5_to_14_9,Underdog,2.75,L,-25.25,,True
2023,3,2023-09-16T16:00:00.000Z,401520222,defense_vs_opponent_offense,Liberty,Buffalo,G6_vs_G6,14.0,5_to_14_9,Favorite,-2.75,W,25.25,,True
2023,3,2023-09-16T16:00:00.000Z,401520222,offense_vs_opponent_defense,Buffalo,Liberty,G6_vs_G6,10.0,5_to_14_9,Underdog,2.75,L,-25.25,,False
2023,3,2023-09-16T16:00:00.000Z,401520222,offense_vs_opponent_defense,Liberty,Buffalo,G6_vs_G6,14.0,5_to_14_9,Favorite,-2.75,W,25.25,,False
2023,3,2023-09-16T19:30:00.000Z,401520223,defense_vs_opponent_offense,Duke,Northwestern,P4_vs_P4,14.0,5_to_14_9,Favorite,-17.0,W,7.0,,False
2023,3,2023-09-16T19:30:00.000Z,401520223,offense_vs_opponent_defense,Duke,Northwestern,P4_vs_P4,16.0,15_to_24_9,Favorite,-17.0,W,7.0,,False
2023,3,2023-09-16T23:00:00.000Z,401520224,defense_vs_opponent_offense,Tennessee,Florida,P4_vs_P4,14.0,5_to_14_9,Favorite,-5.666666666666667,L,-18.666666666666668,,False
2023,3,2023-09-16T16:00:00.000Z,401520226,defense_vs_opponent_offense,Penn State,Illinois,P4_vs_P4,11.0,5_to_14_9,Favorite,-13.5,W,3.5,,False
2023,3,2023-09-16T16:00:00.000Z,401520226,offense_vs_opponent_defense,Illinois,Penn State,P4_vs_P4,7.0,5_to_14_9,Underdog,13.5,L,-3.5,,True
2023,3,2023-09-16T19:30:00.000Z,401520227,defense_vs_opponent_offense,Iowa,Western Michigan,P4_vs_G6,33.0,25_plus,Favorite,-28.5,W,2.5,,True
2023,3,2023-09-16T19:30:00.000Z,401520227,defense_vs_opponent_offense,Western Michigan,Iowa,G6_vs_P4,18.0,15_to_24_9,Underdog,28.5,L,-2.5,,True
2023,3,2023-09-16T19:30:00.000Z,401520227,offense_vs_opponent_defense,Iowa,Western Michigan,P4_vs_G6,33.0,25_plus,Favorite,-28.5,W,2.5,,False
2023,3,2023-09-16T19:30:00.000Z,401520227,offense_vs_opponent_defense,Western Michigan,Iowa,G6_vs_P4,18.0,15_to_24_9,Underdog,28.5,L,-2.5,,False
2023,3,2023-09-16T23:30:00.000Z,401520228,defense_vs_opponent_offense,Akron,Kentucky,G6_vs_P4,23.0,15_to_24_9,Underdog,25.25,L,-6.75,,True
