season,week,game_id,rp_team,rp_opponent,conference_matchup_type,overall_rp_edge,overall_rp_band,offense_vs_defense_edge,defense_vs_offense_edge,rp_team_spread,rp_team_ats_result,rp_team_ats_margin,rp_team_clv,source_flipped,rule_p4_g6_either_component_25_plus,rule_p4_g6_defense_15_plus,rule_p4_p4_overall_15_to_24_9,market_role,spread_bucket,rule_key
2023,2,401525493,Florida State,Southern Miss,P4_vs_G6,27.0,25_plus,27.0,26.0,-31.0,W,22.0,,False,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2023,2,401525497,Syracuse,Western Michigan,P4_vs_G6,24.0,15_to_24_9,42.0,5.0,-25.0,W,16.0,,False,True,False,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2023,1,401525819,Houston,UTSA,P4_vs_G6,8.0,5_to_14_9,29.0,-13.0,0.0,W,3.0,,False,True,False,False,Pick'em,Pick'em,P4_G6_EITHER_COMPONENT_25_PLUS
2023,3,401525837,Kansas,Nevada,P4_vs_G6,32.0,25_plus,37.0,27.0,-28.5,L,-21.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2024,1,401628328,Oklahoma,Temple,P4_vs_G6,8.0,5_to_14_9,-18.0,33.0,-43.5,W,4.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2024,2,401628342,Ole Miss,Middle Tennessee,P4_vs_G6,16.0,15_to_24_9,39.0,-5.0,-42.5,W,6.5,,True,True,False,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2024,2,401628344,Missouri,Buffalo,P4_vs_G6,39.0,25_plus,51.0,27.0,-34.5,W,3.5,,True,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2024,3,401628352,Auburn,New Mexico,P4_vs_G6,25.0,25_plus,20.0,29.0,-25.5,W,0.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2024,3,401628358,Oklahoma,Tulane,P4_vs_G6,12.0,5_to_14_9,-9.0,32.0,-13.5,W,1.5,,False,True,True,False,Favorite,Fav 7-13.5,P4_G6_EITHER_COMPONENT_25_PLUS
2024,3,401628361,Texas,UTSA,P4_vs_G6,25.0,25_plus,35.0,15.0,-36.5,W,12.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2024,4,401628364,Kentucky,Ohio,P4_vs_G6,22.0,15_to_24_9,12.0,30.0,-21.5,W,13.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2024,4,401628371,Texas,UL Monroe,P4_vs_G6,30.0,25_plus,33.0,27.0,-41.5,W,6.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2024,4,401628372,Texas A&M,Bowling Green,P4_vs_G6,24.0,15_to_24_9,32.0,15.0,-21.0,L,-15.0,,True,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2024,1,401628454,Nebraska,UTEP,P4_vs_G6,32.0,25_plus,28.0,36.0,-27.5,W,5.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2024,2,401628470,Penn State,Bowling Green,P4_vs_G6,22.0,15_to_24_9,29.0,14.0,-35.5,L,-28.5,,True,True,False,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2024,2,401628471,Rutgers,Akron,P4_vs_G6,21.0,15_to_24_9,6.0,36.0,-24.5,W,7.5,,True,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2024,3,401628477,Iowa,Troy,P4_vs_G6,33.0,25_plus,51.0,16.0,-23.5,L,-6.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2024,1,401634304,Syracuse,Ohio,P4_vs_G6,47.0,25_plus,48.0,45.0,-17.5,L,-1.5,,True,True,True,False,Favorite,Fav 14-20.5,P4_G6_EITHER_COMPONENT_25_PLUS
2024,2,401635540,Virginia Tech,Marshall,P4_vs_G6,24.0,15_to_24_9,38.0,10.0,-20.5,L,-3.5,,True,True,False,False,Favorite,Fav 14-20.5,P4_G6_EITHER_COMPONENT_25_PLUS
2024,3,401635541,California,San Diego State,P4_vs_G6,27.0,25_plus,36.0,17.0,-18.5,W,2.5,,False,True,True,False,Favorite,Fav 14-20.5,P4_G6_EITHER_COMPONENT_25_PLUS
2024,3,401635548,Virginia Tech,Old Dominion,P4_vs_G6,16.0,15_to_24_9,39.0,-8.0,-15.5,W,4.5,,True,True,False,False,Favorite,Fav 14-20.5,P4_G6_EITHER_COMPONENT_25_PLUS
2024,4,401635558,Virginia,Coastal Carolina,P4_vs_G6,31.0,25_plus,39.0,24.0,-3.5,W,15.5,,True,True,True,False,Favorite,Fav 0.5-6.5,P4_G6_EITHER_COMPONENT_25_PLUS
2024,1,401636608,Arizona,New Mexico,P4_vs_G6,26.0,25_plus,16.0,36.0,-29.0,L,-7.0,,False,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2024,3,401636860,Baylor,Air Force,P4_vs_G6,41.0,25_plus,48.0,34.0,-17.5,W,10.5,,True,True,True,False,Favorite,Fav 14-20.5,P4_G6_EITHER_COMPONENT_25_PLUS
2025,3,401752702,Missouri,Louisiana,P4_vs_G6,19.0,15_to_24_9,3.0,35.0,-27.5,W,14.5,,True,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2025,3,401752703,Oklahoma,Temple,P4_vs_G6,18.0,15_to_24_9,35.0,1.0,-24.5,W,14.5,,False,True,False,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2025,4,401752708,Arkansas,Memphis,P4_vs_G6,18.0,15_to_24_9,32.0,4.0,-7.5,L,-8.5,,False,True,False,False,Favorite,Fav 7-13.5,P4_G6_EITHER_COMPONENT_25_PLUS
2025,4,401752715,Tennessee,UAB,P4_vs_G6,19.0,15_to_24_9,9.0,29.0,-38.5,L,-6.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2025,1,401752793,Minnesota,Buffalo,P4_vs_G6,5.0,5_to_14_9,-23.0,32.0,-16.5,L,-3.5,,True,True,True,False,Favorite,Fav 14-20.5,P4_G6_EITHER_COMPONENT_25_PLUS
2025,1,401752807,Penn State,Nevada,P4_vs_G6,34.0,25_plus,46.0,20.0,-43.5,L,-8.5,,True,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2025,1,401752808,Michigan,New Mexico,P4_vs_G6,37.0,25_plus,38.0,35.0,-34.5,L,-17.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2025,2,401752810,Nebraska,Akron,P4_vs_G6,11.0,5_to_14_9,30.0,-7.0,-33.5,W,34.5,,True,True,False,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2025,2,401752818,Rutgers,Miami (OH),P4_vs_G6,39.0,25_plus,31.0,47.0,-15.5,W,12.5,,True,True,True,False,Favorite,Fav 14-20.5,P4_G6_EITHER_COMPONENT_25_PLUS
2025,3,401752829,Illinois,Western Michigan,P4_vs_G6,39.0,25_plus,29.0,51.0,-27.5,W,10.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2025,3,401752837,UCLA,New Mexico,P4_vs_G6,16.0,15_to_24_9,28.0,4.0,-15.5,L,-40.5,,True,True,False,False,Favorite,Fav 14-20.5,P4_G6_EITHER_COMPONENT_25_PLUS
2025,2,401754527,North Carolina,Charlotte,P4_vs_G6,23.0,15_to_24_9,11.0,36.0,-16.5,W,0.5,,True,True,True,False,Favorite,Fav 14-20.5,P4_G6_EITHER_COMPONENT_25_PLUS
2025,1,401754616,Virginia,Coastal Carolina,P4_vs_G6,14.0,5_to_14_9,29.0,-1.0,-13.5,W,27.5,,True,True,False,False,Favorite,Fav 7-13.5,P4_G6_EITHER_COMPONENT_25_PLUS
2025,4,401754642,Louisville,Bowling Green,P4_vs_G6,20.0,15_to_24_9,28.0,12.0,-25.5,L,-2.5,,True,True,False,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2025,2,401756880,Cincinnati,Bowling Green,P4_vs_G6,30.0,25_plus,35.0,26.0,-21.5,L,-7.5,,True,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2025,2,401756884,Houston,Rice,P4_vs_G6,26.0,25_plus,18.0,32.0,-13.5,W,12.5,,False,True,True,False,Favorite,Fav 7-13.5,P4_G6_EITHER_COMPONENT_25_PLUS
2025,4,401756898,BYU,East Carolina,P4_vs_G6,17.0,15_to_24_9,38.0,-4.0,-5.5,W,15.5,,False,True,False,False,Favorite,Fav 0.5-6.5,P4_G6_EITHER_COMPONENT_25_PLUS
2025,1,401762791,Wisconsin,Miami (OH),P4_vs_G6,32.0,25_plus,18.0,47.0,-18.5,L,-1.5,,True,True,True,False,Favorite,Fav 14-20.5,P4_G6_EITHER_COMPONENT_25_PLUS
2021,1,401281943,Arkansas,Rice,P4_vs_G6,9.0,5_to_14_9,-9.0,26.0,-19.5,W,1.5,,False,True,True,False,Favorite,Fav 14-20.5,P4_G6_DEFENSE_15_PLUS
2021,1,401281949,Mississippi State,Louisiana Tech,P4_vs_G6,23.0,15_to_24_9,7.0,37.0,-20.5,L,-19.5,,True,True,True,False,Favorite,Fav 14-20.5,P4_G6_DEFENSE_15_PLUS
2021,1,401282053,Texas A&M,Kent State,P4_vs_G6,10.0,5_to_14_9,-4.0,24.0,-29.5,W,1.5,,True,False,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2021,3,401282069,Arkansas,Georgia Southern,P4_vs_G6,27.0,25_plus,14.0,39.0,-23.0,W,12.0,,False,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2021,3,401282076,Mississippi State,Memphis,P4_vs_G6,11.0,5_to_14_9,-1.0,22.0,-3.5,L,-5.5,,True,False,True,False,Favorite,Fav 0.5-6.5,P4_G6_DEFENSE_15_PLUS
2021,3,401282079,Texas A&M,New Mexico,P4_vs_G6,11.0,5_to_14_9,4.0,18.0,-30.0,W,4.0,,True,False,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2021,3,401282197,Texas Tech,FIU,P4_vs_G6,13.0,5_to_14_9,-1.0,26.0,-20.5,W,12.5,,True,True,True,False,Favorite,Fav 14-20.5,P4_G6_DEFENSE_15_PLUS
2021,1,401282607,NC State,South Florida,P4_vs_G6,17.0,15_to_24_9,-5.0,39.0,-19.0,W,26.0,,False,True,True,False,Favorite,Fav 14-20.5,P4_G6_DEFENSE_15_PLUS
2021,1,401282610,Georgia Tech,Northern Illinois,P4_vs_G6,13.0,5_to_14_9,-3.0,29.0,-19.0,L,-20.0,,False,True,True,False,Favorite,Fav 14-20.5,P4_G6_DEFENSE_15_PLUS
2021,1,401282611,Syracuse,Ohio,P4_vs_G6,18.0,15_to_24_9,13.0,21.0,2.0,W,22.0,,True,False,True,False,Underdog,Dog 0.5-6.5,P4_G6_DEFENSE_15_PLUS
2021,2,401282620,Miami,Appalachian State,P4_vs_G6,13.0,5_to_14_9,7.0,19.0,-7.5,L,-5.5,,True,False,True,False,Favorite,Fav 7-13.5,P4_G6_DEFENSE_15_PLUS
2021,3,401282634,Boston College,Temple,P4_vs_G6,33.0,25_plus,41.0,25.0,-15.0,W,10.0,,False,True,True,False,Favorite,Fav 14-20.5,P4_G6_DEFENSE_15_PLUS
2021,3,401282755,Iowa,Kent State,P4_vs_G6,22.0,15_to_24_9,19.0,26.0,-22.5,W,0.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2021,4,401282756,Iowa,Colorado State,P4_vs_G6,10.0,5_to_14_9,5.0,16.0,-23.5,L,-13.5,,True,False,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2021,4,401282765,Maryland,Kent State,P4_vs_G6,35.0,25_plus,36.0,35.0,-13.0,W,8.0,,True,True,True,False,Favorite,Fav 7-13.5,P4_G6_DEFENSE_15_PLUS
2021,3,401282774,Michigan,Northern Illinois,P4_vs_G6,3.0,under_5,-10.0,17.0,-27.5,W,25.5,,False,False,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2021,4,401282792,Minnesota,Bowling Green,P4_vs_G6,11.0,5_to_14_9,-3.0,25.0,-30.5,L,-34.5,,True,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2021,2,401282797,Nebraska,Buffalo,P4_vs_G6,18.0,15_to_24_9,-0.0,36.0,-13.5,W,11.5,,True,True,True,False,Favorite,Fav 7-13.5,P4_G6_DEFENSE_15_PLUS
2021,1,401282822,Rutgers,Temple,P4_vs_G6,22.0,15_to_24_9,24.0,20.0,-14.0,W,33.0,,False,False,True,False,Favorite,Fav 14-20.5,P4_G6_DEFENSE_15_PLUS
2021,2,401287899,Oklahoma State,Tulsa,P4_vs_G6,17.0,15_to_24_9,12.0,22.0,-12.0,L,-7.0,,False,False,True,False,Favorite,Fav 7-13.5,P4_G6_DEFENSE_15_PLUS
2021,3,401287906,Iowa State,UNLV,P4_vs_G6,26.0,25_plus,15.0,35.0,-32.0,W,13.0,,False,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2021,4,401287910,TCU,SMU,P4_vs_G6,24.0,15_to_24_9,28.0,20.0,-9.5,L,-17.5,,True,True,True,False,Favorite,Fav 7-13.5,P4_G6_DEFENSE_15_PLUS
2022,1,401403853,Vanderbilt,Hawaii,P4_vs_G6,36.0,25_plus,37.0,34.0,-9.0,W,44.0,,True,True,True,False,Favorite,Fav 7-13.5,P4_G6_DEFENSE_15_PLUS
2022,1,401403864,Tennessee,Ball State,P4_vs_G6,32.0,25_plus,43.0,22.0,-35.5,W,13.5,,True,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2022,3,401403889,Tennessee,Akron,P4_vs_G6,7.0,5_to_14_9,-1.0,15.0,-47.5,W,9.5,,True,False,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2022,4,401403897,LSU,New Mexico,P4_vs_G6,5.0,5_to_14_9,-17.0,25.0,-31.5,W,6.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2022,2,401404066,Oklahoma,Kent State,P4_vs_G6,11.0,5_to_14_9,-15.0,38.0,-33.0,L,-3.0,,True,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2022,3,401404068,Kansas,Houston,P4_vs_G6,8.0,5_to_14_9,-1.0,17.0,8.5,W,26.5,,True,False,True,False,Underdog,Dog 7-13.5,P4_G6_DEFENSE_15_PLUS
2022,2,401405078,Michigan State,Akron,P4_vs_G6,5.0,5_to_14_9,-16.0,26.0,-34.5,W,17.5,,True,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2022,2,401405079,Ohio State,Arkansas State,P4_vs_G6,15.0,15_to_24_9,-0.0,30.0,-44.5,L,-11.5,,True,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2022,3,401405082,Iowa,Nevada,P4_vs_G6,49.0,25_plus,50.0,47.0,-24.0,W,3.0,,False,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2022,1,401411095,North Carolina,Appalachian State,P4_vs_G6,3.0,under_5,-7.0,15.0,3.0,W,5.0,,True,False,True,False,Underdog,Dog 0.5-6.5,P4_G6_DEFENSE_15_PLUS
2022,1,401411096,NC State,East Carolina,P4_vs_G6,9.0,5_to_14_9,1.0,19.0,-12.5,L,-11.5,,True,False,True,False,Favorite,Fav 7-13.5,P4_G6_DEFENSE_15_PLUS
