season,week,date,game_id,metric,home_team,away_team,high_rp_team,low_rp_team,high_rp_side,high_rp_role,high_rp_value,low_rp_value,high_rp_pctile,low_rp_pctile,high_rp_spread,high_rp_margin,high_rp_ats_margin,high_rp_ats_result,home_spread,total_line
2024,4,2024-09-21T19:30:00.000Z,401645329,overall,Navy,Memphis,Memphis,Navy,away,Favorite,496.5,89.7,0.9849624060150376,0.18045112781954886,-8.833333333333334,-12.0,-20.833333333333336,L,8.833333333333334,47.0
2024,4,2024-09-21T20:00:00.000Z,401636876,overall,Oklahoma State,Utah,Oklahoma State,Utah,home,Underdog,388.4,91.2,0.924812030075188,0.18796992481203006,0.8333333333333334,-3.0,-2.1666666666666665,L,0.8333333333333334,53.5
2024,4,2024-09-21T20:15:00.000Z,401628368,overall,Missouri,Vanderbilt,Missouri,Vanderbilt,home,Favorite,461.9,47.5,0.9624060150375939,0.06015037593984962,-18.0,3.0,-15.0,L,-18.0,52.166666666666664
2024,4,2024-09-21T21:00:00.000Z,401641028,overall,Colorado State,UTEP,Colorado State,UTEP,home,Favorite,306.5,85.5,0.8421052631578947,0.16541353383458646,-8.5,10.0,1.5,W,-8.5,48.833333333333336
2024,4,2024-09-21T22:00:00.000Z,401640991,overall,Liberty,East Carolina,Liberty,East Carolina,home,Favorite,463.7,53.1,0.9699248120300752,0.07518796992481203,-7.5,11.0,3.5,W,-7.5,54.666666666666664
2024,4,2024-09-21T23:00:00.000Z,401641008,overall,Louisiana Tech,Tulsa,Tulsa,Louisiana Tech,away,Underdog,252.4,101.0,0.7593984962406015,0.24060150375939848,2.3333333333333335,3.0,5.333333333333334,W,-2.3333333333333335,56.166666666666664
2024,4,2024-09-22T00:00:00.000Z,401628490,overall,Boston College,Michigan State,Boston College,Michigan State,home,Favorite,352.0,75.6,0.8947368421052632,0.12030075187969924,-4.5,4.0,-0.5,L,-4.5,45.5
2025,1,2025-08-30T00:00:00.000Z,401752667,overall,Baylor,Auburn,Baylor,Auburn,home,Underdog,428.0,97.6,0.9701492537313433,0.2462686567164179,0.3333333333333333,-14.0,-13.666666666666666,L,0.3333333333333333,56.833333333333336
2025,1,2025-08-30T00:00:00.000Z,401754375,overall,Colorado,Georgia Tech,Georgia Tech,Colorado,away,Favorite,391.9,37.0,0.9552238805970149,0.05223880597014925,-3.6666666666666665,7.0,3.3333333333333335,W,3.6666666666666665,52.0
2025,1,2025-08-30T02:30:00.000Z,401760358,overall,San José State,Central Michigan,San José State,Central Michigan,home,Favorite,329.8,26.0,0.8059701492537313,0.014925373134328358,-13.5,-2.0,-15.5,L,-13.5,51.166666666666664
2025,1,2025-08-30T22:00:00.000Z,401754616,overall,Virginia,Coastal Carolina,Coastal Carolina,Virginia,away,Underdog,375.9,88.4,0.9253731343283582,0.20149253731343283,13.166666666666666,-41.0,-27.833333333333336,L,-13.166666666666666,55.666666666666664
2025,1,2025-08-31T00:00:00.000Z,401761594,overall,Texas State,Eastern Michigan,Texas State,Eastern Michigan,home,Favorite,493.1,77.6,1.0,0.1791044776119403,-13.833333333333334,25.0,11.166666666666666,W,-13.833333333333334,57.0
2025,1,2025-08-31T01:30:00.000Z,401760361,overall,Fresno State,Georgia Southern,Georgia Southern,Fresno State,away,Underdog,400.0,58.8,0.9626865671641791,0.09701492537313433,1.0,-28.0,-27.0,L,-1.0,51.833333333333336
2025,1,2025-09-02T00:00:00.000Z,401754523,overall,North Carolina,TCU,TCU,North Carolina,away,Favorite,350.5,68.5,0.8880597014925373,0.13432835820895522,-3.3333333333333335,34.0,30.666666666666668,W,3.3333333333333335,56.333333333333336
2025,2,2025-09-06T16:00:00.000Z,401754529,overall,Pittsburgh,Central Michigan,Pittsburgh,Central Michigan,home,Favorite,347.4,26.0,0.8582089552238806,0.014925373134328358,-21.5,28.0,6.5,W,-21.5,48.5
2025,2,2025-09-06T16:00:00.000Z,401754524,overall,NC State,Virginia,NC State,Virginia,home,Favorite,439.0,88.4,0.9925373134328358,0.20149253731343283,-2.75,4.0,1.25,W,-2.75,52.75
2025,2,2025-09-06T16:00:00.000Z,401756885,overall,Texas Tech,Kent State,Texas Tech,Kent State,home,Favorite,332.6,19.5,0.8283582089552238,0.007462686567164179,-48.0,48.0,0.0,P,-48.0,59.75
2025,2,2025-09-06T19:30:00.000Z,401756880,overall,Cincinnati,Bowling Green,Cincinnati,Bowling Green,home,Favorite,337.5,34.7,0.8432835820895522,0.03731343283582089,-22.0,14.0,-8.0,L,-22.0,46.5
2025,2,2025-09-06T23:00:00.000Z,401756882,overall,Kansas State,Army,Kansas State,Army,home,Favorite,349.1,92.9,0.8805970149253731,0.208955223880597,-16.75,-3.0,-19.75,L,-16.75,48.5
