rule_key,rule_label,family,season,games,wins,losses,pushes,avg_1h_ats_margin,median_1h_ats_margin,avg_1h_spread,seasons_present,one_h_ats_win_pct,one_h_ats_edge_pct
G6_vs_G6__OVERALL__10_TO_14_9,G6_vs_G6: overall RP edge 10-14.9,overall_edge,2024,3,1,2,0,1.3333333333333333,-2.0,-1.3333333333333333,1,0.3333333333333333,-16.66666666666667
G6_vs_G6__OVERALL__10_TO_14_9,G6_vs_G6: overall RP edge 10-14.9,overall_edge,2025,3,1,2,0,-0.5,-1.5,-1.5,1,0.3333333333333333,-16.66666666666667
G6_vs_G6__OVERALL__15_TO_24_9,G6_vs_G6: overall RP edge 15-24.9,overall_edge,2024,5,2,3,0,-1.9,-2.0,0.9,1,0.4,-10.0
G6_vs_G6__OVERALL__15_TO_24_9,G6_vs_G6: overall RP edge 15-24.9,overall_edge,2025,6,0,6,0,-7.083333333333333,-5.25,-4.916666666666667,1,0.0,-50.0
G6_vs_G6__OVERALL__25_PLUS,G6_vs_G6: overall RP edge 25+,overall_edge,2024,2,1,1,0,-10.25,-10.25,-3.25,1,0.5,0.0
G6_vs_G6__OVERALL__25_PLUS,G6_vs_G6: overall RP edge 25+,overall_edge,2025,2,1,1,0,4.25,4.25,-0.75,1,0.5,0.0
G6_vs_G6__OVERALL__5_TO_9_9,G6_vs_G6: overall RP edge 5-9.9,overall_edge,2024,3,1,2,0,-2.5,-1.5,4.166666666666667,1,0.3333333333333333,-16.66666666666667
G6_vs_G6__OVERALL__5_TO_9_9,G6_vs_G6: overall RP edge 5-9.9,overall_edge,2025,4,1,3,0,-4.0,-2.0,3.25,1,0.25,-25.0
G6_vs_P4__BOTH_COMPONENTS__10_PLUS,G6_vs_P4: both RP components 10+,both_components,2024,1,0,1,0,-3.5,-3.5,11.5,1,0.0,-50.0
G6_vs_P4__BOTH_COMPONENTS__10_PLUS,G6_vs_P4: both RP components 10+,both_components,2025,2,1,1,0,3.0,3.0,13.5,1,0.5,0.0
G6_vs_P4__BOTH_COMPONENTS__15_PLUS,G6_vs_P4: both RP components 15+,both_components,2024,1,0,1,0,-3.5,-3.5,11.5,1,0.0,-50.0
G6_vs_P4__BOTH_COMPONENTS__5_PLUS,G6_vs_P4: both RP components 5+,both_components,2024,3,1,2,0,-0.16666666666666666,-3.5,15.5,1,0.3333333333333333,-16.66666666666667
G6_vs_P4__BOTH_COMPONENTS__5_PLUS,G6_vs_P4: both RP components 5+,both_components,2025,2,1,1,0,3.0,3.0,13.5,1,0.5,0.0
G6_vs_P4__DEFENSE_VS_OFFENSE__10_TO_14_9,G6_vs_P4: Def RP vs opp Off RP edge 10-14.9,defense_vs_offense,2024,2,1,1,0,-17.0,-17.0,9.0,1,0.5,0.0
G6_vs_P4__DEFENSE_VS_OFFENSE__15_TO_24_9,G6_vs_P4: Def RP vs opp Off RP edge 15-24.9,defense_vs_offense,2024,2,0,2,0,-5.5,-5.5,14.0,1,0.0,-50.0
G6_vs_P4__DEFENSE_VS_OFFENSE__15_TO_24_9,G6_vs_P4: Def RP vs opp Off RP edge 15-24.9,defense_vs_offense,2025,5,3,2,0,3.1,7.5,3.7,1,0.6,10.0
G6_vs_P4__DEFENSE_VS_OFFENSE__25_PLUS,G6_vs_P4: Def RP vs opp Off RP edge 25+,defense_vs_offense,2024,2,0,2,0,-9.25,-9.25,8.25,1,0.0,-50.0
G6_vs_P4__DEFENSE_VS_OFFENSE__25_PLUS,G6_vs_P4: Def RP vs opp Off RP edge 25+,defense_vs_offense,2025,1,1,0,0,4.0,4.0,14.0,1,1.0,50.0
G6_vs_P4__DEF_POS_OFF_NEG,"G6_vs_P4: defense edge positive, offense edge negative",mixed_components,2024,5,1,4,0,-12.0,-7.5,10.2,1,0.2,-30.0
G6_vs_P4__DEF_POS_OFF_NEG,"G6_vs_P4: defense edge positive, offense edge negative",mixed_components,2025,2,2,0,0,7.25,7.25,-1.75,1,1.0,50.0
G6_vs_P4__EITHER_COMPONENT__15_PLUS,G6_vs_P4: either RP component 15+,either_component,2024,8,2,6,0,-2.6875,-4.5,13.6875,1,0.25,-25.0
G6_vs_P4__EITHER_COMPONENT__15_PLUS,G6_vs_P4: either RP component 15+,either_component,2025,8,5,3,0,2.375,5.75,6.625,1,0.625,12.5
G6_vs_P4__EITHER_COMPONENT__25_PLUS,G6_vs_P4: either RP component 25+,either_component,2024,6,2,4,0,-1.4166666666666667,-2.25,15.25,1,0.3333333333333333,-16.66666666666667
G6_vs_P4__EITHER_COMPONENT__25_PLUS,G6_vs_P4: either RP component 25+,either_component,2025,2,2,0,0,7.25,7.25,13.75,1,1.0,50.0
G6_vs_P4__OFFENSE_VS_DEFENSE__10_TO_14_9,G6_vs_P4: Off RP vs opp Def RP edge 10-14.9,offense_vs_defense,2024,3,2,1,0,1.1666666666666667,0.5,15.166666666666666,1,0.6666666666666666,16.666666666666657
G6_vs_P4__OFFENSE_VS_DEFENSE__10_TO_14_9,G6_vs_P4: Off RP vs opp Def RP edge 10-14.9,offense_vs_defense,2025,3,2,1,0,5.166666666666667,7.5,11.833333333333334,1,0.6666666666666666,16.666666666666657
G6_vs_P4__OFFENSE_VS_DEFENSE__15_TO_24_9,G6_vs_P4: Off RP vs opp Def RP edge 15-24.9,offense_vs_defense,2024,1,0,1,0,-5.5,-5.5,1.5,1,0.0,-50.0
G6_vs_P4__OFFENSE_VS_DEFENSE__15_TO_24_9,G6_vs_P4: Off RP vs opp Def RP edge 15-24.9,offense_vs_defense,2025,1,0,1,0,-11.0,-11.0,7.0,1,0.0,-50.0
G6_vs_P4__OFFENSE_VS_DEFENSE__25_PLUS,G6_vs_P4: Off RP vs opp Def RP edge 25+,offense_vs_defense,2024,4,2,2,0,2.5,3.5,18.75,1,0.5,0.0
G6_vs_P4__OFFENSE_VS_DEFENSE__25_PLUS,G6_vs_P4: Off RP vs opp Def RP edge 25+,offense_vs_defense,2025,1,1,0,0,10.5,10.5,13.5,1,1.0,50.0
G6_vs_P4__OFF_POS_DEF_NEG,"G6_vs_P4: offense edge positive, defense edge negative",mixed_components,2024,4,3,1,0,1.5,3.0,15.5,1,0.75,25.0
G6_vs_P4__OFF_POS_DEF_NEG,"G6_vs_P4: offense edge positive, defense edge negative",mixed_components,2025,2,2,0,0,10.0,10.0,11.0,1,1.0,50.0
G6_vs_P4__OVERALL__10_TO_14_9,G6_vs_P4: overall RP edge 10-14.9,overall_edge,2024,4,1,3,0,-2.625,-3.25,5.375,1,0.25,-25.0
G6_vs_P4__OVERALL__10_TO_14_9,G6_vs_P4: overall RP edge 10-14.9,overall_edge,2025,4,2,2,0,-1.125,-1.75,8.375,1,0.5,0.0
G6_vs_P4__OVERALL__15_TO_24_9,G6_vs_P4: overall RP edge 15-24.9,overall_edge,2024,3,1,2,0,-0.16666666666666666,-3.5,18.833333333333332,1,0.3333333333333333,-16.66666666666667
G6_vs_P4__OVERALL__15_TO_24_9,G6_vs_P4: overall RP edge 15-24.9,overall_edge,2025,2,1,1,0,1.25,1.25,11.75,1,0.5,0.0
G6_vs_P4__OVERALL__25_PLUS,G6_vs_P4: overall RP edge 25+,overall_edge,2024,1,1,0,0,10.5,10.5,18.5,1,1.0,50.0
G6_vs_P4__OVERALL__5_TO_9_9,G6_vs_P4: overall RP edge 5-9.9,overall_edge,2024,2,1,1,0,-3.5,-3.5,17.0,1,0.5,0.0
P4_vs_G6__BOTH_COMPONENTS__10_PLUS,P4_vs_G6: both RP components 10+,both_components,2024,14,6,8,0,-2.642857142857143,-2.0,-11.571428571428571,1,0.42857142857142855,-7.142857142857146
P4_vs_G6__BOTH_COMPONENTS__10_PLUS,P4_vs_G6: both RP components 10+,both_components,2025,11,3,8,0,-3.9545454545454546,-3.0,-14.681818181818182,1,0.2727272727272727,-22.72727272727273
P4_vs_G6__BOTH_COMPONENTS__15_PLUS,P4_vs_G6: both RP components 15+,both_components,2024,10,4,6,0,-2.2,-2.0,-11.1,1,0.4,-10.0
P4_vs_G6__BOTH_COMPONENTS__15_PLUS,P4_vs_G6: both RP components 15+,both_components,2025,7,2,5,0,-2.142857142857143,-3.5,-14.571428571428571,1,0.2857142857142857,-21.42857142857143
P4_vs_G6__BOTH_COMPONENTS__25_PLUS,P4_vs_G6: both RP components 25+,both_components,2024,3,2,1,0,0.5,0.5,-10.833333333333334,1,0.6666666666666666,16.666666666666657
P4_vs_G6__BOTH_COMPONENTS__25_PLUS,P4_vs_G6: both RP components 25+,both_components,2025,4,2,2,0,-0.5,-0.5,-14.5,1,0.5,0.0
P4_vs_G6__BOTH_COMPONENTS__5_PLUS,P4_vs_G6: both RP components 5+,both_components,2024,15,7,8,0,-2.1,-0.5,-11.633333333333333,1,0.4666666666666667,-3.3333333333333357
P4_vs_G6__BOTH_COMPONENTS__5_PLUS,P4_vs_G6: both RP components 5+,both_components,2025,14,6,8,0,-2.0,-1.5,-14.928571428571429,1,0.42857142857142855,-7.142857142857146
P4_vs_G6__DEFENSE_VS_OFFENSE__10_TO_14_9,P4_vs_G6: Def RP vs opp Off RP edge 10-14.9,defense_vs_offense,2024,3,1,2,0,-7.166666666666667,-7.5,-13.5,1,0.3333333333333333,-16.66666666666667
P4_vs_G6__DEFENSE_VS_OFFENSE__10_TO_14_9,P4_vs_G6: Def RP vs opp Off RP edge 10-14.9,defense_vs_offense,2025,5,0,5,0,-10.3,-3.5,-12.3,1,0.0,-50.0
P4_vs_G6__DEFENSE_VS_OFFENSE__15_TO_24_9,P4_vs_G6: Def RP vs opp Off RP edge 15-24.9,defense_vs_offense,2024,7,1,6,0,-4.785714285714286,-3.5,-12.785714285714286,1,0.14285714285714285,-35.714285714285715
P4_vs_G6__DEFENSE_VS_OFFENSE__15_TO_24_9,P4_vs_G6: Def RP vs opp Off RP edge 15-24.9,defense_vs_offense,2025,3,0,3,0,-8.0,-3.5,-11.333333333333334,1,0.0,-50.0
P4_vs_G6__DEFENSE_VS_OFFENSE__25_PLUS,P4_vs_G6: Def RP vs opp Off RP edge 25+,defense_vs_offense,2024,9,7,2,0,2.0555555555555554,5.5,-11.833333333333334,1,0.7777777777777778,27.777777777777786
P4_vs_G6__DEFENSE_VS_OFFENSE__25_PLUS,P4_vs_G6: Def RP vs opp Off RP edge 25+,defense_vs_offense,2025,9,4,5,0,0.3888888888888889,-0.5,-12.833333333333334,1,0.4444444444444444,-5.555555555555557
P4_vs_G6__DEF_POS_OFF_NEG,"P4_vs_G6: defense edge positive, offense edge negative",mixed_components,2024,5,2,3,0,-1.5,-2.5,-12.9,1,0.4,-10.0
P4_vs_G6__DEF_POS_OFF_NEG,"P4_vs_G6: defense edge positive, offense edge negative",mixed_components,2025,5,0,5,0,-10.4,-13.5,-4.8,1,0.0,-50.0
P4_vs_G6__EITHER_COMPONENT__15_PLUS,P4_vs_G6: either RP component 15+,either_component,2024,20,8,12,0,-2.6,-2.0,-11.95,1,0.4,-10.0
P4_vs_G6__EITHER_COMPONENT__15_PLUS,P4_vs_G6: either RP component 15+,either_component,2025,26,13,13,0,-0.9807692307692307,0.0,-11.75,1,0.5,0.0
P4_vs_G6__EITHER_COMPONENT__25_PLUS,P4_vs_G6: either RP component 25+,either_component,2024,17,8,9,0,-1.8529411764705883,-0.5,-12.205882352941176,1,0.47058823529411764,-2.941176470588239
P4_vs_G6__EITHER_COMPONENT__25_PLUS,P4_vs_G6: either RP component 25+,either_component,2025,17,9,8,0,2.3529411764705883,4.5,-13.0,1,0.5294117647058824,2.941176470588239
P4_vs_G6__OFFENSE_VS_DEFENSE__10_TO_14_9,P4_vs_G6: Off RP vs opp Def RP edge 10-14.9,offense_vs_defense,2024,2,2,0,0,8.5,8.5,-10.0,1,1.0,50.0
P4_vs_G6__OFFENSE_VS_DEFENSE__10_TO_14_9,P4_vs_G6: Off RP vs opp Def RP edge 10-14.9,offense_vs_defense,2025,3,2,1,0,2.0,2.5,-10.333333333333334,1,0.6666666666666666,16.666666666666657
P4_vs_G6__OFFENSE_VS_DEFENSE__15_TO_24_9,P4_vs_G6: Off RP vs opp Def RP edge 15-24.9,offense_vs_defense,2024,3,1,2,0,-3.5,-0.5,-6.833333333333333,1,0.3333333333333333,-16.66666666666667
P4_vs_G6__OFFENSE_VS_DEFENSE__15_TO_24_9,P4_vs_G6: Off RP vs opp Def RP edge 15-24.9,offense_vs_defense,2025,9,4,5,0,-6.055555555555555,-2.5,-10.5,1,0.4444444444444444,-5.555555555555557
P4_vs_G6__OFFENSE_VS_DEFENSE__25_PLUS,P4_vs_G6: Off RP vs opp Def RP edge 25+,offense_vs_defense,2024,11,3,8,0,-4.409090909090909,-4.5,-12.136363636363637,1,0.2727272727272727,-22.72727272727273
P4_vs_G6__OFFENSE_VS_DEFENSE__25_PLUS,P4_vs_G6: Off RP vs opp Def RP edge 25+,offense_vs_defense,2025,12,7,5,0,2.875,5.0,-13.625,1,0.5833333333333334,8.333333333333336
P4_vs_G6__OFF_POS_DEF_NEG,"P4_vs_G6: offense edge positive, defense edge negative",mixed_components,2024,3,0,3,0,-9.833333333333334,-4.5,-9.833333333333334,1,0.0,-50.0
P4_vs_G6__OFF_POS_DEF_NEG,"P4_vs_G6: offense edge positive, defense edge negative",mixed_components,2025,7,5,2,0,2.642857142857143,2.5,-10.071428571428571,1,0.7142857142857143,21.42857142857143
P4_vs_G6__OVERALL__10_TO_14_9,P4_vs_G6: overall RP edge 10-14.9,overall_edge,2024,3,2,1,0,0.8333333333333334,8.5,-8.833333333333334,1,0.6666666666666666,16.666666666666657
P4_vs_G6__OVERALL__10_TO_14_9,P4_vs_G6: overall RP edge 10-14.9,overall_edge,2025,6,4,2,0,2.6666666666666665,3.0,-10.833333333333334,1,0.6666666666666666,16.666666666666657
P4_vs_G6__OVERALL__15_TO_24_9,P4_vs_G6: overall RP edge 15-24.9,overall_edge,2024,6,2,4,0,-4.666666666666667,-4.0,-12.666666666666666,1,0.3333333333333333,-16.66666666666667
