season,week,date,game_id,team,opponent,spread,ats_result,ats_margin,team_clv,team_conference,opponent_conference,team_tier,opponent_tier,conference_matchup_type,team_overall,team_offense,team_defense,opp_overall,opp_offense,opp_defense,overall_rp_edge,off_vs_def_rp_edge,def_vs_off_rp_edge
2021,4,2021-09-25T16:00:00.000Z,401282085,Mississippi State,LSU,1.5,L,-1.5,,SEC,SEC,P4,P4,P4_vs_P4,79.0,72.0,85.0,79.0,82.0,76.0,0.0,-4.0,3.0
2021,4,2021-09-25T16:00:00.000Z,401282086,Boston College,Missouri,-1.0,W,6.0,,ACC,SEC,P4,P4,P4_vs_P4,75.0,84.0,66.0,72.0,82.0,62.0,3.0,22.0,-16.0
2021,4,2021-09-25T16:00:00.000Z,401282086,Missouri,Boston College,1.0,L,-6.0,,SEC,ACC,P4,P4,P4_vs_P4,72.0,82.0,62.0,75.0,84.0,66.0,-3.0,16.0,-22.0
2021,4,2021-09-25T23:00:00.000Z,401282087,Kentucky,South Carolina,-4.5,W,1.5,,SEC,SEC,P4,P4,P4_vs_P4,60.0,60.0,60.0,47.0,54.0,40.0,13.0,20.0,6.0
2021,4,2021-09-25T23:00:00.000Z,401282087,South Carolina,Kentucky,4.5,L,-1.5,,SEC,SEC,P4,P4,P4_vs_P4,47.0,54.0,40.0,60.0,60.0,60.0,-13.0,-6.0,-20.0
2021,4,2021-09-25T16:00:00.000Z,401282088,Georgia,Vanderbilt,-36.0,W,26.0,,SEC,SEC,P4,P4,P4_vs_P4,62.0,84.0,39.0,66.0,75.0,57.0,-4.0,27.0,-36.0
2021,4,2021-09-25T16:00:00.000Z,401282088,Vanderbilt,Georgia,36.0,L,-26.0,,SEC,SEC,P4,P4,P4_vs_P4,66.0,75.0,57.0,62.0,84.0,39.0,4.0,36.0,-27.0
2021,1,2021-09-04T19:30:00.000Z,401282174,Marshall,Navy,-3.0,W,39.0,,Conference USA,American,G6,G6,G6_vs_G6,55.0,52.0,57.0,65.0,56.0,74.0,-10.0,-22.0,1.0
2021,1,2021-09-04T19:30:00.000Z,401282174,Navy,Marshall,3.0,L,-39.0,,American,Conference USA,G6,G6,G6_vs_G6,65.0,56.0,74.0,55.0,52.0,57.0,10.0,-1.0,22.0
2021,1,2021-09-05T00:00:00.000Z,401282177,South Alabama,Southern Miss,-2.0,W,22.0,,Sun Belt,Conference USA,G6,G6,G6_vs_G6,73.0,79.0,67.0,67.0,57.0,77.0,6.0,2.0,10.0
2021,1,2021-09-05T00:00:00.000Z,401282177,Southern Miss,South Alabama,2.0,L,-22.0,,Conference USA,Sun Belt,G6,G6,G6_vs_G6,67.0,57.0,77.0,73.0,79.0,67.0,-6.0,-10.0,-2.0
