date,away_team,home_team,team,opponent,projected_spread,team_off_rp,opp_def_rp,off_vs_def_gap,historical_support
2026-09-19,Nevada,Middle Tennessee,Nevada,Middle Tennessee,-10.6,57.0,37.0,20.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,Coastal Carolina,Delaware,Delaware,Coastal Carolina,-3.3,62.0,44.0,18.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,Purdue,UCLA,UCLA,Purdue,-9.7,73.0,55.0,18.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,Marshall,Missouri State,Marshall,Missouri State,-9.8,61.0,44.0,17.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,New Mexico,Oklahoma,Oklahoma,New Mexico,-21.0,75.0,58.0,17.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,Buffalo,Penn State,Penn State,Buffalo,-31.0,50.0,33.0,17.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,Kentucky,Texas A&M,Texas A&M,Kentucky,-19.0,67.0,52.0,15.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,Wyoming,Central Michigan,Wyoming,Central Michigan,-1.1,43.0,29.0,14.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,Tulane,Kansas State,Kansas State,Tulane,-19.7,65.0,52.0,13.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-24,Liberty,Coastal Carolina,Liberty,Coastal Carolina,-5.1,64.0,44.0,20.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-26,San Diego State,Toledo,San Diego State,Toledo,-7.6,76.0,25.0,51.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-26,Northern Illinois,Georgia State,Northern Illinois,Georgia State,-5.2,68.0,27.0,41.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-26,Ball State,Kent State,Kent State,Ball State,-7.2,57.0,24.0,33.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-26,Iowa,Michigan,Michigan,Iowa,-5.4,72.0,40.0,32.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-26,Arizona,Washington State,Arizona,Washington State,-12.2,66.0,36.0,30.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-26,Nebraska,Michigan State,Nebraska,Michigan State,-5.3,69.0,45.0,24.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-26,Illinois,Ohio State,Ohio State,Illinois,-25.5,71.0,47.0,24.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-26,Army,Temple,Army,Temple,-2.8,67.0,43.0,24.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-26,Middle Tennessee,Jacksonville State,Jacksonville State,Middle Tennessee,-20.8,60.0,37.0,23.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-26,Appalachian State,NC State,NC State,Appalachian State,-20.1,62.0,39.0,23.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-26,Missouri State,SMU,SMU,Missouri State,-33.0,66.0,44.0,22.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-26,Florida Atlantic,UL-Monroe,Florida Atlantic,UL-Monroe,-15.7,62.0,40.0,22.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-26,Central Michigan,Miami-FL,Miami-FL,Central Michigan,-35.1,48.0,29.0,19.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-26,Boise State,Western Michigan,Boise State,Western Michigan,-11.5,60.0,42.0,18.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-26,Hawaii,Wyoming,Hawaii,Wyoming,-2.7,54.0,36.0,18.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-26,Oklahoma State,West Virginia,Oklahoma State,West Virginia,-2.9,62.0,46.0,16.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-26,Virginia Tech,Boston College,Virginia Tech,Boston College,-9.0,71.0,57.0,14.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-26,New Mexico,New Mexico State,New Mexico,New Mexico State,-12.9,68.0,55.0,13.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-26,Notre Dame,Purdue,Notre Dame,Purdue,-27.4,67.0,55.0,12.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-26,Colorado State,UTSA,UTSA,Colorado State,-8.8,64.0,54.0,10.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
