game_id,week,date,away_team,home_team,signal_team,signal_opponent,signal_side,overall_rp_edge,offense_vs_defense_edge,defense_vs_offense_edge,model_field,projected_home_margin,full_game_model_betting_spread,estimated_1h_spread,estimated_1h_role,candidate_a_defensive_favorite,candidate_b_offensive_underdog
g24,1,2026-09-05,East Carolina,Alabama,Alabama,East Carolina,home,6.0,-15.0,28.0,projection_spread_home,23.7925,-23.7925,-11.89625,Favorite,True,False
g30,1,2026-09-05,Baylor,Auburn,Baylor,Auburn,away,-4.0,-14.0,6.0,projection_spread_home,7.255,7.255,3.6275,Underdog,False,False
g30,1,2026-09-05,Baylor,Auburn,Auburn,Baylor,home,4.0,-6.0,14.0,projection_spread_home,7.255,-7.255,-3.6275,Favorite,False,False
g33,1,2026-09-05,UCLA,California,UCLA,California,away,9.0,28.0,-9.0,projection_spread_home,1.6675,1.6675,0.83375,Underdog,False,True
g33,1,2026-09-05,UCLA,California,California,UCLA,home,-9.0,9.0,-28.0,projection_spread_home,1.6675,-1.6675,-0.83375,Favorite,False,False
g35,1,2026-09-05,Boston College,Cincinnati,Boston College,Cincinnati,away,-7.0,-12.0,0.0,projection_spread_home,9.44,9.44,4.72,Underdog,False,False
g35,1,2026-09-05,Boston College,Cincinnati,Cincinnati,Boston College,home,7.0,0.0,12.0,projection_spread_home,9.44,-9.44,-4.72,Favorite,False,False
g36,1,2026-09-05,Wyoming,Colorado State,Wyoming,Colorado State,away,-6.0,-11.0,-2.0,projection_spread_home,1.995,1.995,0.9975,Underdog,False,False
g36,1,2026-09-05,Wyoming,Colorado State,Colorado State,Wyoming,home,6.0,2.0,11.0,projection_spread_home,1.995,-1.995,-0.9975,Favorite,False,False
g38,1,2026-09-05,Tulane,Duke,Tulane,Duke,away,-9.0,-23.0,4.0,projection_spread_home,7.9325,7.9325,3.96625,Underdog,False,False
g38,1,2026-09-05,Tulane,Duke,Duke,Tulane,home,9.0,-4.0,23.0,projection_spread_home,7.9325,-7.9325,-3.96625,Favorite,False,False
g39,1,2026-09-05,Florida Atlantic,Florida,Florida Atlantic,Florida,away,-2.0,-15.0,10.0,projection_spread_home,26.1075,26.1075,13.05375,Underdog,False,False
g39,1,2026-09-05,Florida Atlantic,Florida,Florida,Florida Atlantic,home,2.0,-10.0,15.0,projection_spread_home,26.1075,-26.1075,-13.05375,Favorite,False,False
g42,1,2026-09-05,UNLV,Hawaii,UNLV,Hawaii,away,-5.0,3.0,-14.0,projection_spread_home,-2.2725,-2.2725,-1.13625,Favorite,False,False
g42,1,2026-09-05,UNLV,Hawaii,Hawaii,UNLV,home,5.0,14.0,-3.0,projection_spread_home,-2.2725,2.2725,1.13625,Underdog,False,True
g43,1,2026-09-05,Oregon State,Houston,Oregon State,Houston,away,-18.0,-9.0,-27.0,projection_spread_home,19.235,19.235,9.6175,Underdog,False,False
g43,1,2026-09-05,Oregon State,Houston,Houston,Oregon State,home,18.0,27.0,9.0,projection_spread_home,19.235,-19.235,-9.6175,Favorite,False,False
g44,1,2026-09-05,UAB,Illinois,UAB,Illinois,away,-15.0,-15.0,-14.0,projection_spread_home,27.395,27.395,13.6975,Underdog,False,False
g44,1,2026-09-05,UAB,Illinois,Illinois,UAB,home,15.0,14.0,15.0,projection_spread_home,27.395,-27.395,-13.6975,Favorite,False,False
g45,1,2026-09-05,North Texas,Indiana,North Texas,Indiana,away,-24.0,-30.0,-19.0,projection_spread_home,33.8875,33.8875,16.94375,Underdog,False,False
g45,1,2026-09-05,North Texas,Indiana,Indiana,North Texas,home,24.0,19.0,30.0,projection_spread_home,33.8875,-33.8875,-16.94375,Favorite,True,False
g46,1,2026-09-05,Northern Illinois,Iowa,Northern Illinois,Iowa,away,4.0,28.0,-20.0,projection_spread_home,34.0475,34.0475,17.02375,Underdog,False,True
g46,1,2026-09-05,Northern Illinois,Iowa,Iowa,Northern Illinois,home,-4.0,20.0,-28.0,projection_spread_home,34.0475,-34.0475,-17.02375,Favorite,False,False
g48,1,2026-09-05,Liberty,James Madison,Liberty,James Madison,away,27.0,32.0,23.0,projection_spread_home,12.19,12.19,6.095,Underdog,False,False
g48,1,2026-09-05,Liberty,James Madison,James Madison,Liberty,home,-27.0,-23.0,-32.0,projection_spread_home,12.19,-12.19,-6.095,Favorite,False,False
g52,1,2026-09-05,Clemson,LSU,Clemson,LSU,away,-8.0,-14.0,0.0,projection_spread_home,9.8,9.8,4.9,Underdog,False,False
g52,1,2026-09-05,Clemson,LSU,LSU,Clemson,home,8.0,0.0,14.0,projection_spread_home,9.8,-9.8,-4.9,Favorite,False,False
g56,1,2026-09-05,Arkansas State,Memphis,Arkansas State,Memphis,away,7.0,13.0,1.0,projection_spread_home,11.03,11.03,5.515,Underdog,False,False
g56,1,2026-09-05,Arkansas State,Memphis,Memphis,Arkansas State,home,-7.0,-1.0,-13.0,projection_spread_home,11.03,-11.03,-5.515,Favorite,False,False
g57,1,2026-09-05,Western Michigan,Michigan,Western Michigan,Michigan,away,-12.0,5.0,-30.0,projection_spread_home,25.26,25.26,12.63,Underdog,False,True
g57,1,2026-09-05,Western Michigan,Michigan,Michigan,Western Michigan,home,12.0,30.0,-5.0,projection_spread_home,25.26,-25.26,-12.63,Favorite,False,False
g58,1,2026-09-05,Toledo,Michigan State,Toledo,Michigan State,away,-13.0,-3.0,-23.0,projection_spread_home,7.785,7.785,3.8925,Underdog,False,False
g58,1,2026-09-05,Toledo,Michigan State,Michigan State,Toledo,home,13.0,23.0,3.0,projection_spread_home,7.785,-7.785,-3.8925,Favorite,False,False
g60,1,2026-09-05,UL-Monroe,Mississippi State,UL-Monroe,Mississippi State,away,3.0,11.0,-4.0,projection_spread_home,28.3225,28.3225,14.16125,Underdog,False,True
g60,1,2026-09-05,UL-Monroe,Mississippi State,Mississippi State,UL-Monroe,home,-3.0,4.0,-11.0,projection_spread_home,28.3225,-28.3225,-14.16125,Favorite,False,False
g62,1,2026-09-05,Ohio,Nebraska,Ohio,Nebraska,away,-36.0,-51.0,-21.0,projection_spread_home,17.5575,17.5575,8.77875,Underdog,False,False
g62,1,2026-09-05,Ohio,Nebraska,Nebraska,Ohio,home,36.0,21.0,51.0,projection_spread_home,17.5575,-17.5575,-8.77875,Favorite,True,False
g63,1,2026-09-05,Western Kentucky,Nevada,Western Kentucky,Nevada,away,-16.0,-2.0,-31.0,projection_spread_home,-5.43,-5.43,-2.715,Favorite,False,False
g63,1,2026-09-05,Western Kentucky,Nevada,Nevada,Western Kentucky,home,16.0,31.0,2.0,projection_spread_home,-5.43,5.43,2.715,Underdog,False,False
g64,1,2026-09-05,Central Michigan,New Mexico,Central Michigan,New Mexico,away,-17.0,4.0,-39.0,projection_spread_home,11.1875,11.1875,5.59375,Underdog,False,True
g64,1,2026-09-05,Central Michigan,New Mexico,New Mexico,Central Michigan,home,17.0,39.0,-4.0,projection_spread_home,11.1875,-11.1875,-5.59375,Favorite,False,False
g68,1,2026-09-05,Ball State,Ohio State,Ball State,Ohio State,away,-24.0,-3.0,-47.0,projection_spread_home,55.85,55.85,27.925,Underdog,False,False
g68,1,2026-09-05,Ball State,Ohio State,Ohio State,Ball State,home,24.0,47.0,3.0,projection_spread_home,55.85,-55.85,-27.925,Favorite,False,False
g69,1,2026-09-05,UTEP,Oklahoma,UTEP,Oklahoma,away,-30.0,-28.0,-32.0,projection_spread_home,41.1825,41.1825,20.59125,Underdog,False,False
g69,1,2026-09-05,UTEP,Oklahoma,Oklahoma,UTEP,home,30.0,32.0,28.0,projection_spread_home,41.1825,-41.1825,-20.59125,Favorite,True,False
g71,1,2026-09-05,Boise State,Oregon,Boise State,Oregon,away,-9.0,-6.0,-10.0,projection_spread_home,24.4675,24.4675,12.23375,Underdog,False,False
g71,1,2026-09-05,Boise State,Oregon,Oregon,Boise State,home,9.0,10.0,6.0,projection_spread_home,24.4675,-24.4675,-12.23375,Favorite,False,False
g72,1,2026-09-05,Marshall,Penn State,Marshall,Penn State,away,-4.0,8.0,-14.0,projection_spread_home,27.0225,27.0225,13.51125,Underdog,False,True
g72,1,2026-09-05,Marshall,Penn State,Penn State,Marshall,home,4.0,14.0,-8.0,projection_spread_home,27.0225,-27.0225,-13.51125,Favorite,False,False
g73,1,2026-09-05,Miami-OH,Pittsburgh,Miami-OH,Pittsburgh,away,-9.0,-11.0,-8.0,projection_spread_home,17.395,17.395,8.6975,Underdog,False,False
g73,1,2026-09-05,Miami-OH,Pittsburgh,Pittsburgh,Miami-OH,home,9.0,8.0,11.0,projection_spread_home,17.395,-17.395,-8.6975,Favorite,False,False
g79,1,2026-09-05,Kent State,South Carolina,Kent State,South Carolina,away,-20.0,-4.0,-37.0,projection_spread_home,33.8425,33.8425,16.92125,Underdog,False,False
g79,1,2026-09-05,Kent State,South Carolina,South Carolina,Kent State,home,20.0,37.0,4.0,projection_spread_home,33.8425,-33.8425,-16.92125,Favorite,False,False
g85,1,2026-09-05,Texas State,Texas,Texas State,Texas,away,-12.0,7.0,-30.0,projection_spread_home,31.1375,31.1375,15.56875,Underdog,False,True
g85,1,2026-09-05,Texas State,Texas,Texas,Texas State,home,12.0,30.0,-7.0,projection_spread_home,31.1375,-31.1375,-15.56875,Favorite,False,False
g86,1,2026-09-05,Missouri State,Texas A&M,Missouri State,Texas A&M,away,-31.0,-38.0,-23.0,projection_spread_home,38.89,38.89,19.445,Underdog,False,False
g86,1,2026-09-05,Missouri State,Texas A&M,Texas A&M,Missouri State,home,31.0,23.0,38.0,projection_spread_home,38.89,-38.89,-19.445,Favorite,True,False
g89,1,2026-09-05,Oklahoma State,Tulsa,Oklahoma State,Tulsa,away,-4.0,2.0,-11.0,projection_spread_home,-10.5925,-10.5925,-5.29625,Favorite,False,False
g89,1,2026-09-05,Oklahoma State,Tulsa,Tulsa,Oklahoma State,home,4.0,11.0,-2.0,projection_spread_home,-10.5925,10.5925,5.29625,Underdog,False,True
g95,1,2026-09-05,Washington State,Washington,Washington State,Washington,away,-23.0,-13.0,-33.0,projection_spread_home,18.41,18.41,9.205,Underdog,False,False
g95,1,2026-09-05,Washington State,Washington,Washington,Washington State,home,23.0,33.0,13.0,projection_spread_home,18.41,-18.41,-9.205,Favorite,False,False
g96,1,2026-09-05,Coastal Carolina,West Virginia,Coastal Carolina,West Virginia,away,-10.0,-7.0,-13.0,projection_spread_home,18.4125,18.4125,9.20625,Underdog,False,False
g96,1,2026-09-05,Coastal Carolina,West Virginia,West Virginia,Coastal Carolina,home,10.0,13.0,7.0,projection_spread_home,18.4125,-18.4125,-9.20625,Favorite,False,False
g97,1,2026-09-06,Wisconsin,Notre Dame,Wisconsin,Notre Dame,away,-13.0,-16.0,-10.0,projection_spread_home,22.88,22.88,11.44,Underdog,False,False
g97,1,2026-09-06,Wisconsin,Notre Dame,Notre Dame,Wisconsin,home,13.0,10.0,16.0,projection_spread_home,22.88,-22.88,-11.44,Favorite,False,False
g98,1,2026-09-06,Louisville,Ole Miss,Louisville,Ole Miss,away,-8.0,-10.0,-6.0,projection_spread_home,7.6225,7.6225,3.81125,Underdog,False,False
g98,1,2026-09-06,Louisville,Ole Miss,Ole Miss,Louisville,home,8.0,6.0,10.0,projection_spread_home,7.6225,-7.6225,-3.81125,Favorite,False,False
g99,1,2026-09-07,SMU,Florida State,SMU,Florida State,away,5.0,9.0,1.0,projection_spread_home,-1.445,-1.445,-0.7225,Favorite,False,False
g99,1,2026-09-07,SMU,Florida State,Florida State,SMU,home,-5.0,-1.0,-9.0,projection_spread_home,-1.445,1.445,0.7225,Underdog,False,False
g101,2,2026-09-11,Rutgers,Boston College,Rutgers,Boston College,away,-3.0,-8.0,2.0,projection_spread_home,-2.6275,-2.6275,-1.31375,Favorite,False,False
g101,2,2026-09-11,Rutgers,Boston College,Boston College,Rutgers,home,3.0,-2.0,8.0,projection_spread_home,-2.6275,2.6275,1.31375,Underdog,False,False
g102,2,2026-09-11,Missouri,Kansas,Missouri,Kansas,away,-9.0,-8.0,-9.0,projection_spread_home,-7.905,-7.905,-3.9525,Favorite,False,False
g102,2,2026-09-11,Missouri,Kansas,Kansas,Missouri,home,9.0,9.0,8.0,projection_spread_home,-7.905,7.905,3.9525,Underdog,False,False
g104,2,2026-09-12,North Dakota State,Air Force,North Dakota State,Air Force,away,-7.0,-30.0,18.0,projection_spread_home,0.4362,0.4362,0.2181,Underdog,False,False
g104,2,2026-09-12,North Dakota State,Air Force,Air Force,North Dakota State,home,7.0,-18.0,30.0,projection_spread_home,0.4362,-0.4362,-0.2181,Favorite,True,False
g108,2,2026-09-12,Southern Miss,Auburn,Southern Miss,Auburn,away,-35.0,-35.0,-36.0,projection_spread_home,28.87,28.87,14.435,Underdog,False,False
g108,2,2026-09-12,Southern Miss,Auburn,Auburn,Southern Miss,home,35.0,36.0,35.0,projection_spread_home,28.87,-28.87,-14.435,Favorite,True,False
g109,2,2026-09-12,Arizona,BYU,Arizona,BYU,away,-4.0,-3.0,-4.0,projection_spread_home,6.8875,6.8875,3.44375,Underdog,False,False
g109,2,2026-09-12,Arizona,BYU,BYU,Arizona,home,4.0,4.0,3.0,projection_spread_home,6.8875,-6.8875,-3.44375,Favorite,False,False
g112,2,2026-09-12,Memphis,Boise State,Memphis,Boise State,away,-15.0,-11.0,-21.0,projection_spread_home,9.2625,9.2625,4.63125,Underdog,False,False
g112,2,2026-09-12,Memphis,Boise State,Boise State,Memphis,home,15.0,21.0,11.0,projection_spread_home,9.2625,-9.2625,-4.63125,Favorite,False,False
g115,2,2026-09-12,Georgia Southern,Clemson,Georgia Southern,Clemson,away,-10.0,-38.0,16.0,projection_spread_home,24.74,24.74,12.37,Underdog,False,False
g115,2,2026-09-12,Georgia Southern,Clemson,Clemson,Georgia Southern,home,10.0,-16.0,38.0,projection_spread_home,24.74,-24.74,-12.37,Favorite,True,False
g119,2,2026-09-12,Maryland,Connecticut,Maryland,Connecticut,away,40.0,31.0,49.0,projection_spread_home,-8.9575,-8.9575,-4.47875,Favorite,True,False
g119,2,2026-09-12,Maryland,Connecticut,Connecticut,Maryland,home,-40.0,-49.0,-31.0,projection_spread_home,-8.9575,8.9575,4.47875,Underdog,False,False
g120,2,2026-09-12,Appalachian State,East Carolina,Appalachian State,East Carolina,away,-8.0,-20.0,6.0,projection_spread_home,12.515,12.515,6.2575,Underdog,False,False
g120,2,2026-09-12,Appalachian State,East Carolina,East Carolina,Appalachian State,home,8.0,-6.0,20.0,projection_spread_home,12.515,-12.515,-6.2575,Favorite,False,False
g122,2,2026-09-12,Navy,Florida Atlantic,Navy,Florida Atlantic,away,-17.0,-32.0,-1.0,projection_spread_home,-8.805,-8.805,-4.4025,Favorite,False,False
g122,2,2026-09-12,Navy,Florida Atlantic,Florida Atlantic,Navy,home,17.0,1.0,32.0,projection_spread_home,-8.805,8.805,4.4025,Underdog,False,False
g123,2,2026-09-12,Buffalo,Florida International,Buffalo,Florida International,away,-17.0,-24.0,-10.0,projection_spread_home,1.9575,1.9575,0.97875,Underdog,False,False
g123,2,2026-09-12,Buffalo,Florida International,Florida International,Buffalo,home,17.0,10.0,24.0,projection_spread_home,1.9575,-1.9575,-0.97875,Favorite,False,False
g125,2,2026-09-12,Western Kentucky,Georgia,Western Kentucky,Georgia,away,-36.0,-35.0,-37.0,projection_spread_home,33.9125,33.9125,16.95625,Underdog,False,False
g125,2,2026-09-12,Western Kentucky,Georgia,Georgia,Western Kentucky,home,36.0,37.0,35.0,projection_spread_home,33.9125,-33.9125,-16.95625,Favorite,True,False
g126,2,2026-09-12,Tennessee,Georgia Tech,Tennessee,Georgia Tech,away,13.0,-3.0,28.0,projection_spread_home,-8.24,-8.24,-4.12,Favorite,True,False
g126,2,2026-09-12,Tennessee,Georgia Tech,Georgia Tech,Tennessee,home,-13.0,-28.0,3.0,projection_spread_home,-8.24,8.24,4.12,Underdog,False,False
g127,2,2026-09-12,New Mexico State,Hawaii,New Mexico State,Hawaii,away,6.0,9.0,1.0,projection_spread_home,15.4825,15.4825,7.74125,Underdog,False,False
g127,2,2026-09-12,New Mexico State,Hawaii,Hawaii,New Mexico State,home,-6.0,-1.0,-9.0,projection_spread_home,15.4825,-15.4825,-7.74125,Favorite,False,False
g129,2,2026-09-12,Duke,Illinois,Duke,Illinois,away,-1.0,1.0,-1.0,projection_spread_home,6.1625,6.1625,3.08125,Underdog,False,True
g129,2,2026-09-12,Duke,Illinois,Illinois,Duke,home,1.0,1.0,-1.0,projection_spread_home,6.1625,-6.1625,-3.08125,Favorite,False,False
g131,2,2026-09-12,Iowa State,Iowa,Iowa State,Iowa,away,1.0,4.0,-2.0,projection_spread_home,13.9825,13.9825,6.99125,Underdog,False,True
g131,2,2026-09-12,Iowa State,Iowa,Iowa,Iowa State,home,-1.0,2.0,-4.0,projection_spread_home,13.9825,-13.9825,-6.99125,Favorite,False,False
g133,2,2026-09-12,Washington State,Kansas State,Washington State,Kansas State,away,-16.0,-3.0,-29.0,projection_spread_home,14.8375,14.8375,7.41875,Underdog,False,False
g133,2,2026-09-12,Washington State,Kansas State,Kansas State,Washington State,home,16.0,29.0,3.0,projection_spread_home,14.8375,-14.8375,-7.41875,Favorite,False,False
g134,2,2026-09-12,Georgia State,Kennesaw State,Georgia State,Kennesaw State,away,-11.0,-7.0,-15.0,projection_spread_home,11.5625,11.5625,5.78125,Underdog,False,False
g134,2,2026-09-12,Georgia State,Kennesaw State,Kennesaw State,Georgia State,home,11.0,15.0,7.0,projection_spread_home,11.5625,-11.5625,-5.78125,Favorite,False,False
g136,2,2026-09-12,Alabama,Kentucky,Alabama,Kentucky,away,2.0,-17.0,21.0,projection_spread_home,-10.8675,-10.8675,-5.43375,Favorite,False,False
g136,2,2026-09-12,Alabama,Kentucky,Kentucky,Alabama,home,-2.0,-21.0,17.0,projection_spread_home,-10.8675,10.8675,5.43375,Underdog,False,False
g137,2,2026-09-12,Louisiana Tech,LSU,Louisiana Tech,LSU,away,-5.0,4.0,-13.0,projection_spread_home,31.17,31.17,15.585,Underdog,False,True
g137,2,2026-09-12,Louisiana Tech,LSU,LSU,Louisiana Tech,home,5.0,13.0,-4.0,projection_spread_home,31.17,-31.17,-15.585,Favorite,False,False
g139,2,2026-09-12,Middle Tennessee,Marshall,Middle Tennessee,Marshall,away,-12.0,-2.0,-24.0,projection_spread_home,13.3325,13.3325,6.66625,Underdog,False,False
g139,2,2026-09-12,Middle Tennessee,Marshall,Marshall,Middle Tennessee,home,12.0,24.0,2.0,projection_spread_home,13.3325,-13.3325,-6.66625,Favorite,False,False
g142,2,2026-09-12,Oklahoma,Michigan,Oklahoma,Michigan,away,2.0,20.0,-17.0,projection_spread_home,0.81,0.81,0.405,Underdog,False,True
g142,2,2026-09-12,Oklahoma,Michigan,Michigan,Oklahoma,home,-2.0,17.0,-20.0,projection_spread_home,0.81,-0.81,-0.405,Favorite,False,False
g143,2,2026-09-12,Eastern Michigan,Michigan State,Eastern Michigan,Michigan State,away,16.0,14.0,16.0,projection_spread_home,17.85,17.85,8.925,Underdog,False,False
g143,2,2026-09-12,Eastern Michigan,Michigan State,Michigan State,Eastern Michigan,home,-16.0,-16.0,-14.0,projection_spread_home,17.85,-17.85,-8.925,Favorite,False,False
g144,2,2026-09-12,Mississippi State,Minnesota,Mississippi State,Minnesota,away,-20.0,-21.0,-19.0,projection_spread_home,0.5025,0.5025,0.25125,Underdog,False,False
g144,2,2026-09-12,Mississippi State,Minnesota,Minnesota,Mississippi State,home,20.0,19.0,21.0,projection_spread_home,0.5025,-0.5025,-0.25125,Favorite,False,False
g147,2,2026-09-12,Bowling Green,Nebraska,Bowling Green,Nebraska,away,-34.0,-37.0,-31.0,projection_spread_home,23.8875,23.8875,11.94375,Underdog,False,False
g147,2,2026-09-12,Bowling Green,Nebraska,Nebraska,Bowling Green,home,34.0,31.0,37.0,projection_spread_home,23.8875,-23.8875,-11.94375,Favorite,True,False
g151,2,2026-09-12,UNLV,North Texas,UNLV,North Texas,away,8.0,5.0,12.0,projection_spread_home,-2.155,-2.155,-1.0775,Favorite,False,False
g151,2,2026-09-12,UNLV,North Texas,North Texas,UNLV,home,-8.0,-12.0,-5.0,projection_spread_home,-2.155,2.155,1.0775,Underdog,False,False
g153,2,2026-09-12,Rice,Notre Dame,Rice,Notre Dame,away,-33.0,-37.0,-29.0,projection_spread_home,45.6475,45.6475,22.82375,Underdog,False,False
g153,2,2026-09-12,Rice,Notre Dame,Notre Dame,Rice,home,33.0,29.0,37.0,projection_spread_home,45.6475,-45.6475,-22.82375,Favorite,True,False
g154,2,2026-09-12,Jacksonville State,Ohio,Jacksonville State,Ohio,away,24.0,12.0,36.0,projection_spread_home,3.2075,3.2075,1.60375,Underdog,False,False
g154,2,2026-09-12,Jacksonville State,Ohio,Ohio,Jacksonville State,home,-24.0,-36.0,-12.0,projection_spread_home,3.2075,-3.2075,-1.60375,Favorite,False,False
g155,2,2026-09-12,Oregon,Oklahoma State,Oregon,Oklahoma State,away,8.0,12.0,4.0,projection_spread_home,-22.6725,-22.6725,-11.33625,Favorite,False,False
g155,2,2026-09-12,Oregon,Oklahoma State,Oklahoma State,Oregon,home,-8.0,-4.0,-12.0,projection_spread_home,-22.6725,22.6725,11.33625,Underdog,False,False
g156,2,2026-09-12,Charlotte,Ole Miss,Charlotte,Ole Miss,away,-18.0,-10.0,-27.0,projection_spread_home,44.1125,44.1125,22.05625,Underdog,False,False
g156,2,2026-09-12,Charlotte,Ole Miss,Ole Miss,Charlotte,home,18.0,27.0,10.0,projection_spread_home,44.1125,-44.1125,-22.05625,Favorite,False,False
g157,2,2026-09-12,Texas Tech,Oregon State,Texas Tech,Oregon State,away,18.0,23.0,15.0,projection_spread_home,-28.7725,-28.7725,-14.38625,Favorite,False,False
g157,2,2026-09-12,Texas Tech,Oregon State,Oregon State,Texas Tech,home,-18.0,-15.0,-23.0,projection_spread_home,-28.7725,28.7725,14.38625,Underdog,False,False
g158,2,2026-09-12,Central Florida,Pittsburgh,Central Florida,Pittsburgh,away,3.0,5.0,0.0,projection_spread_home,7.8975,7.8975,3.94875,Underdog,False,False
g158,2,2026-09-12,Central Florida,Pittsburgh,Pittsburgh,Central Florida,home,-3.0,0.0,-5.0,projection_spread_home,7.8975,-7.8975,-3.94875,Favorite,False,False
g159,2,2026-09-12,Wake Forest,Purdue,Wake Forest,Purdue,away,-5.0,-10.0,0.0,projection_spread_home,-5.1675,-5.1675,-2.58375,Favorite,False,False
g159,2,2026-09-12,Wake Forest,Purdue,Purdue,Wake Forest,home,5.0,0.0,10.0,projection_spread_home,-5.1675,5.1675,2.58375,Underdog,False,False
g164,2,2026-09-12,California,Syracuse,California,Syracuse,away,-4.0,3.0,-11.0,projection_spread_home,-2.1125,-2.1125,-1.05625,Favorite,False,False
g164,2,2026-09-12,California,Syracuse,Syracuse,California,home,4.0,11.0,-3.0,projection_spread_home,-2.1125,2.1125,1.05625,Underdog,False,True
g166,2,2026-09-12,Penn State,Temple,Penn State,Temple,away,-1.0,7.0,-9.0,projection_spread_home,-21.915,-21.915,-10.9575,Favorite,False,False
g166,2,2026-09-12,Penn State,Temple,Temple,Penn State,home,1.0,9.0,-7.0,projection_spread_home,-21.915,21.915,10.9575,Underdog,False,True
g167,2,2026-09-12,Ohio State,Texas,Ohio State,Texas,away,-8.0,8.0,-23.0,projection_spread_home,-2.7225,-2.7225,-1.36125,Favorite,False,False
g167,2,2026-09-12,Ohio State,Texas,Texas,Ohio State,home,8.0,23.0,-8.0,projection_spread_home,-2.7225,2.7225,1.36125,Underdog,False,True
g168,2,2026-09-12,Arizona State,Texas A&M,Arizona State,Texas A&M,away,-14.0,-10.0,-18.0,projection_spread_home,17.1675,17.1675,8.58375,Underdog,False,False
g168,2,2026-09-12,Arizona State,Texas A&M,Texas A&M,Arizona State,home,14.0,18.0,10.0,projection_spread_home,17.1675,-17.1675,-8.58375,Favorite,False,False
g169,2,2026-09-12,UTSA,Texas State,UTSA,Texas State,away,-2.0,21.0,-26.0,projection_spread_home,1.2425,1.2425,0.62125,Underdog,False,True
g169,2,2026-09-12,UTSA,Texas State,Texas State,UTSA,home,2.0,26.0,-21.0,projection_spread_home,1.2425,-1.2425,-0.62125,Favorite,False,False
g172,2,2026-09-12,South Alabama,Tulane,South Alabama,Tulane,away,4.0,-1.0,9.0,projection_spread_home,13.7625,13.7625,6.88125,Underdog,False,False
g172,2,2026-09-12,South Alabama,Tulane,Tulane,South Alabama,home,-4.0,-9.0,1.0,projection_spread_home,13.7625,-13.7625,-6.88125,Favorite,False,False
g173,2,2026-09-12,UL-Monroe,UAB,UL-Monroe,UAB,away,16.0,25.0,8.0,projection_spread_home,7.2625,7.2625,3.63125,Underdog,False,False
g173,2,2026-09-12,UL-Monroe,UAB,UAB,UL-Monroe,home,-16.0,-8.0,-25.0,projection_spread_home,7.2625,-7.2625,-3.63125,Favorite,False,False
g177,2,2026-09-12,Arkansas,Utah,Arkansas,Utah,away,0.0,0.0,0.0,projection_spread_home,10.43,10.43,5.215,Underdog,False,False
g177,2,2026-09-12,Arkansas,Utah,Utah,Arkansas,home,0.0,0.0,0.0,projection_spread_home,10.43,-10.43,-5.215,Favorite,False,False
g178,2,2026-09-12,Delaware,Vanderbilt,Delaware,Vanderbilt,away,18.0,13.0,24.0,projection_spread_home,23.9925,23.9925,11.99625,Underdog,False,False
g178,2,2026-09-12,Delaware,Vanderbilt,Vanderbilt,Delaware,home,-18.0,-24.0,-13.0,projection_spread_home,23.9925,-23.9925,-11.99625,Favorite,False,False
g180,2,2026-09-12,Old Dominion,Virginia Tech,Old Dominion,Virginia Tech,away,-29.0,-44.0,-13.0,projection_spread_home,10.5025,10.5025,5.25125,Underdog,False,False
