rule_key,rule_label,family,games,wins,losses,pushes,avg_1h_ats_margin,median_1h_ats_margin,avg_1h_spread,seasons_present,one_h_ats_win_pct,one_h_ats_edge_pct,avg_1h_ats_margin_2024,avg_1h_ats_margin_2025,games_2024,games_2025,one_h_ats_win_pct_2024,one_h_ats_win_pct_2025,positive_seasons,positive_margin_seasons,min_season_games,season_pct_gap,season_margin_gap,discovery_score,status
G6_vs_G6__DEFENSE_VS_OFFENSE__25_PLUS,G6_vs_G6: Def RP vs opp Off RP edge 25+,defense_vs_offense,10,3,7,0,-2.95,-3.5,0.25,2,0.3,-20.0,-4.833333333333333,-0.125,6.0,4.0,0.16666666666666666,0.5,0,0,4.0,0.33333333333333337,4.708333333333333,-54.75,No actionable signal
G6_vs_G6__DEF_POS_OFF_NEG,"G6_vs_G6: defense edge positive, offense edge negative",mixed_components,7,3,4,0,0.7857142857142857,-2.0,0.6428571428571429,2,0.42857142857142855,-7.142857142857146,-4.25,2.8,2.0,5.0,0.0,0.6,1,1,2.0,0.6,7.05,-9.24,No actionable signal
G6_vs_G6__EITHER_COMPONENT__15_PLUS,G6_vs_G6: either RP component 15+,either_component,31,12,19,0,-1.5483870967741935,-2.0,-0.22580645161290322,2,0.3870967741935484,-11.29032258064516,-2.0714285714285716,-1.1176470588235294,14.0,17.0,0.42857142857142855,0.35294117647058826,0,0,14.0,0.07563025210084029,0.9537815126050422,-21.11,No actionable signal
G6_vs_G6__EITHER_COMPONENT__25_PLUS,G6_vs_G6: either RP component 25+,either_component,23,9,14,0,-2.0434782608695654,-2.0,-0.8695652173913043,2,0.391304347826087,-10.869565217391305,-2.5,-1.6923076923076923,10.0,13.0,0.4,0.38461538461538464,0,0,10.0,0.015384615384615385,0.8076923076923077,-24.59,No actionable signal
G6_vs_G6__OFFENSE_VS_DEFENSE__10_TO_14_9,G6_vs_G6: Off RP vs opp Def RP edge 10-14.9,offense_vs_defense,1,0,1,0,-0.5,-0.5,6.5,1,0.0,-50.0,,-0.5,,1.0,,0.0,0,0,1.0,,,-47.0,No actionable signal
G6_vs_G6__OFFENSE_VS_DEFENSE__15_TO_24_9,G6_vs_G6: Off RP vs opp Def RP edge 15-24.9,offense_vs_defense,6,2,4,0,-1.6666666666666667,-2.5,0.6666666666666666,2,0.3333333333333333,-16.66666666666667,0.5,-3.8333333333333335,3.0,3.0,0.6666666666666666,0.0,1,1,3.0,0.6666666666666666,4.333333333333334,-40.33,No actionable signal
G6_vs_G6__OFFENSE_VS_DEFENSE__25_PLUS,G6_vs_G6: Off RP vs opp Def RP edge 25+,offense_vs_defense,14,6,8,0,-2.9642857142857144,-1.25,-1.3214285714285714,2,0.42857142857142855,-7.142857142857146,-4.0,-2.388888888888889,5.0,9.0,0.6,0.3333333333333333,1,0,5.0,0.26666666666666666,1.6111111111111112,-28.38,No actionable signal
G6_vs_G6__OFF_POS_DEF_NEG,"G6_vs_G6: offense edge positive, defense edge negative",mixed_components,8,4,4,0,-2.0,0.0,-0.5,2,0.5,0.0,2.5,-3.5,2.0,6.0,1.0,0.3333333333333333,1,1,2.0,0.6666666666666667,6.0,-6.0,No actionable signal
G6_vs_G6__OVERALL__10_TO_14_9,G6_vs_G6: overall RP edge 10-14.9,overall_edge,6,2,4,0,0.4166666666666667,-1.75,-1.4166666666666667,2,0.3333333333333333,-16.66666666666667,1.3333333333333333,-0.5,3.0,3.0,0.3333333333333333,0.3333333333333333,0,1,3.0,0.0,1.8333333333333333,-24.92,No actionable signal
G6_vs_G6__OVERALL__15_TO_24_9,G6_vs_G6: overall RP edge 15-24.9,overall_edge,11,2,9,0,-4.7272727272727275,-3.5,-2.272727272727273,2,0.18181818181818182,-31.818181818181817,-1.9,-7.083333333333333,5.0,6.0,0.4,0.0,0,0,5.0,0.4,5.183333333333334,-59.5,No actionable signal
