season,week,date,game_id,metric,home_team,away_team,high_rp_team,low_rp_team,high_rp_side,high_rp_role,high_rp_value,low_rp_value,high_rp_pctile,low_rp_pctile,high_rp_spread,high_rp_ats_margin,high_rp_ats_result,home_spread,total_line
2024,3,2024-09-14T22:00:00.000Z,401640990,overall,Liberty,UTEP,Liberty,UTEP,home,Favorite,0.738,0.236,0.8721804511278195,0.15413533834586465,-23.666666666666668,-5.666666666666668,L,-23.666666666666668,57.5
2024,3,2024-09-14T23:00:00.000Z,401643789,overall,Southern Miss,South Florida,South Florida,Southern Miss,away,Favorite,0.859,0.223,0.943609022556391,0.13157894736842105,-11.666666666666666,13.333333333333334,W,11.666666666666666,58.5
2024,3,2024-09-15T02:30:00.000Z,401641033,overall,Fresno State,New Mexico State,Fresno State,New Mexico State,home,Favorite,0.683,0.137,0.8195488721804511,0.045112781954887216,-19.833333333333332,28.166666666666668,W,-19.833333333333332,48.333333333333336
2024,4,2024-09-21T16:00:00.000Z,401628367,overall,Mississippi State,Florida,Florida,Mississippi State,away,Favorite,0.723,0.191,0.8571428571428571,0.08646616541353383,-6.666666666666667,10.333333333333332,W,6.666666666666667,58.0
2024,4,2024-09-21T18:00:00.000Z,401635558,overall,Coastal Carolina,Virginia,Virginia,Coastal Carolina,away,Favorite,0.618,0.268,0.7518796992481203,0.20300751879699247,-3.5,15.5,W,3.5,52.166666666666664
2024,4,2024-09-21T19:30:00.000Z,401635554,overall,Louisville,Georgia Tech,Georgia Tech,Louisville,away,Underdog,0.849,0.153,0.9323308270676691,0.06015037593984962,8.833333333333334,-3.166666666666666,L,-8.833333333333334,55.833333333333336
2024,4,2024-09-21T20:15:00.000Z,401628368,overall,Missouri,Vanderbilt,Missouri,Vanderbilt,home,Favorite,0.875,0.163,0.9548872180451128,0.06766917293233082,-18.0,-15.0,L,-18.0,52.166666666666664
2024,4,2024-09-21T21:00:00.000Z,401641028,overall,Colorado State,UTEP,Colorado State,UTEP,home,Favorite,0.635,0.236,0.7744360902255639,0.15413533834586465,-8.5,1.5,W,-8.5,48.833333333333336
2024,4,2024-09-21T23:00:00.000Z,401641008,overall,Louisiana Tech,Tulsa,Tulsa,Louisiana Tech,away,Underdog,0.709,0.261,0.8421052631578947,0.19548872180451127,2.3333333333333335,5.333333333333334,W,-2.3333333333333335,56.166666666666664
2024,4,2024-09-22T00:00:00.000Z,401628490,overall,Boston College,Michigan State,Boston College,Michigan State,home,Favorite,0.882,0.301,0.9699248120300752,0.24060150375939848,-4.5,-0.5,L,-4.5,45.5
2025,1,2025-08-30T00:00:00.000Z,401752667,overall,Baylor,Auburn,Baylor,Auburn,home,Underdog,0.825,0.218,0.8507462686567164,0.1791044776119403,0.3333333333333333,-13.666666666666666,L,0.3333333333333333,56.833333333333336
2025,1,2025-08-30T00:00:00.000Z,401754375,overall,Colorado,Georgia Tech,Georgia Tech,Colorado,away,Favorite,0.811,0.073,0.8432835820895522,0.007462686567164179,-3.6666666666666665,3.3333333333333335,W,3.6666666666666665,52.0
2025,1,2025-08-30T01:30:00.000Z,401757224,overall,Sam Houston,UNLV,Sam Houston,UNLV,home,Underdog,0.901,0.152,0.8880597014925373,0.11194029850746269,10.333333333333334,-6.666666666666666,L,10.333333333333334,59.833333333333336
2025,1,2025-08-30T18:30:00.000Z,401752806,overall,Indiana,Old Dominion,Old Dominion,Indiana,away,Underdog,0.742,0.251,0.7686567164179104,0.23134328358208955,23.333333333333332,10.333333333333332,W,-23.333333333333332,53.666666666666664
2025,1,2025-08-31T00:00:00.000Z,401761594,overall,Texas State,Eastern Michigan,Texas State,Eastern Michigan,home,Favorite,0.927,0.249,0.9029850746268657,0.22014925373134328,-13.833333333333334,11.166666666666666,W,-13.833333333333334,57.0
2025,1,2025-08-31T01:30:00.000Z,401760361,overall,Fresno State,Georgia Southern,Georgia Southern,Fresno State,away,Underdog,0.922,0.172,0.8955223880597015,0.12686567164179105,1.0,-27.0,L,-1.0,51.833333333333336
2025,2,2025-09-06T16:00:00.000Z,401754529,overall,Pittsburgh,Central Michigan,Pittsburgh,Central Michigan,home,Favorite,0.749,0.103,0.7761194029850746,0.029850746268656716,-21.5,6.5,W,-21.5,48.5
2025,2,2025-09-06T19:30:00.000Z,401756880,overall,Cincinnati,Bowling Green,Cincinnati,Bowling Green,home,Favorite,0.794,0.079,0.8283582089552238,0.022388059701492536,-22.0,-8.0,L,-22.0,46.5
2025,2,2025-09-07T02:15:00.000Z,401754526,overall,BYU,Stanford,BYU,Stanford,home,Favorite,0.871,0.189,0.8805970149253731,0.15671641791044777,-20.5,3.5,W,-20.5,44.0
2025,2,2025-09-07T02:15:00.000Z,401752948,overall,Washington State,San Diego State,San Diego State,Washington State,away,Underdog,0.803,0.249,0.835820895522388,0.22014925373134328,2.25,-20.75,L,-2.25,46.5
2025,3,2025-09-12T23:30:00.000Z,401756893,overall,Houston,Colorado,Houston,Colorado,home,Favorite,1.052,0.073,1.0,0.007462686567164179,-3.8333333333333335,12.166666666666666,W,-3.8333333333333335,45.333333333333336
2025,3,2025-09-13T20:30:00.000Z,401754535,overall,Miami,South Florida,South Florida,Miami,away,Underdog,0.999,0.125,0.9701492537313433,0.055970149253731345,17.666666666666668,-19.333333333333332,L,-17.666666666666668,56.5
2025,3,2025-09-13T21:00:00.000Z,401757256,overall,Bowling Green,Liberty,Liberty,Bowling Green,away,Favorite,0.996,0.079,0.9552238805970149,0.022388059701492536,-6.0,-16.0,L,6.0,51.5
2025,3,2025-09-14T00:00:00.000Z,401756895,overall,Wyoming,Utah,Wyoming,Utah,home,Underdog,0.774,0.14,0.8059701492537313,0.08208955223880597,24.5,-0.5,L,24.5,47.333333333333336
2025,4,2025-09-18T23:30:00.000Z,401762468,overall,Charlotte,Rice,Rice,Charlotte,away,Favorite,0.751,0.238,0.7835820895522388,0.208955223880597,-1.6666666666666667,9.333333333333334,W,1.6666666666666667,42.0
