built_at,team,injury_score,injury_tier,injury_count,stack_penalty,top_injuries
2026-07-29T12:01:01.218875+00:00,Southeast Missouri,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Southeastern La.,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Southern,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Southern Illinois,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Southern Miss,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Southern Utah,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Stanford,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Stonehill,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Stony Brook,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Sun Belt East,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Sun Belt West,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Syracuse,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,TCU,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Tarleton State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Temple,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Tennessee,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Tennessee State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Tennessee Tech,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Texas,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Texas A&M,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Texas Southern,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Texas State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Texas Tech,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,The Citadel,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Toledo,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Towson,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Troy,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Tulane,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Tulsa,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,UAB,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,UAPB,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,UAlbany,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,UC Davis,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,UCLA,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,UIW,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,UL-Monroe,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,UNLV,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,USC,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,UT Martin,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,UTEP,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,UTRGV,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,UTSA,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Utah,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Utah State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Utah Tech,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,VMI,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Vanderbilt,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Villanova,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Virginia,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Virginia Tech,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Wagner,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Wake Forest,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Washington,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Washington State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Weber State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,West Georgia,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,West Virginia,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Western Carolina,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Western Illinois,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Western Kentucky,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Western Michigan,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,William & Mary,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Wisconsin,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Wofford,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Wyoming,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Youngstown State,0.0,None,0,0.0,
