team,conference,rank_post,combo_post,avg_total_wins_post,avg_conference_wins_post,make_title_game_pct_post,conference_title_pct_post,lose_title_game_pct_post,bowl_eligibility_pct_post,rank_pre,combo_pre,avg_total_wins_pre,avg_conference_wins_pre,make_title_game_pct_pre,conference_title_pct_pre,lose_title_game_pct_pre,bowl_eligibility_pct_pre,avg_total_wins_delta,avg_conference_wins_delta,make_title_game_pct_delta,conference_title_pct_delta
Washington,B1G,21,13.6,6.9111,5.0131,0.0312,0.0048,0.0264,0.8595,21,13.6,6.9159,5.0173,0.0315,0.0048,0.0267,0.8575,-0.004799999999999471,-0.0041999999999999815,-0.00030000000000000165,0.0
Iowa,B1G,22,12.7,7.1561,5.3038,0.0239,0.0033,0.0206,0.8922,22,12.7,7.1722,5.3219,0.0252,0.0042,0.0211,0.8968,-0.01609999999999978,-0.01810000000000045,-0.001299999999999999,-0.0008999999999999998
Clemson,ACC,23,12.6,6.9372,5.1816,0.1402,0.0526,0.0876,0.8369,23,12.6,6.9229,5.1623,0.1385,0.0549,0.0836,0.8375,0.014299999999999535,0.019300000000000317,0.0016999999999999793,-0.0022999999999999965
South Carolina,SEC,26,12.0,5.46,4.0607,0.0173,0.0047,0.0126,0.4831,26,12.0,5.4776,4.0766,0.0176,0.0041,0.0135,0.49,-0.017599999999999838,-0.015900000000000247,-0.00030000000000000165,0.0005999999999999998
Utah,B12,28,11.0667,7.6372,5.9148,0.2293,0.0578,0.1715,0.9307,28,11.0667,7.6179,5.903,0.2325,0.059,0.1735,0.9251,0.019300000000000317,0.011800000000000033,-0.0032000000000000084,-0.0011999999999999997
Auburn,SEC,24,12.2,5.4034,3.7272,0.0086,0.0018,0.0068,0.4718,24,12.2,5.4235,3.7457,0.0109,0.0025,0.0085,0.4737,-0.02009999999999934,-0.01849999999999996,-0.0023,-0.0007000000000000001
Louisville,ACC,27,11.4,7.093,6.1066,0.314,0.0906,0.2234,0.8514,27,11.4,7.1042,6.1078,0.3223,0.0979,0.2245,0.8486,-0.011199999999999655,-0.0011999999999998678,-0.008299999999999974,-0.007300000000000001
SMU,ACC,25,12.1333,7.3375,6.239,0.3349,0.1027,0.2322,0.9155,25,12.1333,7.318,6.22,0.3228,0.0992,0.2236,0.9082,0.01950000000000074,0.019000000000000128,0.0121,0.003500000000000003
Kansas State,B12,32,8.5667,7.5962,5.7582,0.1352,0.0279,0.1073,0.9214,32,8.5667,7.5887,5.753,0.1418,0.033,0.1088,0.9194,0.007499999999999396,0.0052000000000003155,-0.0066000000000000225,-0.0051
Arizona,B12,30,8.7,6.6077,4.8115,0.0779,0.0165,0.0614,0.7861,30,8.7,6.6081,4.8113,0.0722,0.0169,0.0552,0.7848,-0.00039999999999995595,0.00019999999999953388,0.005699999999999997,-0.0003999999999999976
Vanderbilt,SEC,29,9.6,5.3339,3.6837,0.0079,0.0014,0.0065,0.45,29,9.6,5.3171,3.6654,0.0076,0.0014,0.0062,0.4446,0.016799999999999926,0.018299999999999983,0.0003000000000000008,0.0
Virginia Tech,ACC,34,8.3333,6.4396,4.9574,0.0882,0.0223,0.0659,0.7407,34,8.3333,6.4634,4.9757,0.0896,0.0288,0.0608,0.7463,-0.0237999999999996,-0.018299999999999983,-0.0013999999999999985,-0.006499999999999999
Illinois,B1G,35,8.2667,6.0342,4.4183,0.005,0.0003,0.0047,0.6563,35,8.2667,6.0338,4.4162,0.0052,0.0004,0.0048,0.6545,0.00039999999999995595,0.002100000000000435,-0.00019999999999999966,-0.00010000000000000005
TCU,B12,37,7.9667,6.0995,4.5344,0.0543,0.0127,0.0416,0.6612,37,7.9667,6.1231,4.5517,0.0596,0.0122,0.0474,0.6651,-0.023600000000000065,-0.017300000000000537,-0.005299999999999999,0.0004999999999999987
Florida State,ACC,33,8.4667,5.5092,3.9603,0.0335,0.0103,0.0232,0.4997,33,8.4667,5.5246,3.9674,0.0319,0.0091,0.0228,0.5029,-0.015400000000000524,-0.007099999999999884,0.0016000000000000042,0.0011999999999999997
Houston,B12,31,8.6333,6.2617,4.5588,0.039,0.008,0.031,0.7002,31,8.6333,6.2758,4.5662,0.0368,0.0083,0.0285,0.7057,-0.014100000000000001,-0.007400000000000517,0.0022000000000000006,-0.0002999999999999999
Nebraska,B1G,36,8.1667,5.0471,3.1592,0.001,0.0,0.001,0.3586,36,8.1667,5.0711,3.1761,0.0007,0.0,0.0007,0.3655,-0.02400000000000002,-0.016900000000000137,0.00030000000000000003,0.0
Oklahoma State,B12,43,5.7,5.5896,4.6579,0.0384,0.0078,0.0306,0.527,43,5.7,5.5761,4.6432,0.0381,0.0077,0.0304,0.5243,0.013499999999999623,0.014699999999999491,0.0002999999999999947,9.99999999999994e-05
Boise State,PAC12,42,5.8333,8.0504,6.431,0.8678,0.6467,0.2211,0.9699,42,5.8333,8.0574,6.4406,0.8721,0.6974,0.1746,0.97,-0.006999999999999673,-0.009599999999999831,-0.0042999999999999705,-0.05069999999999997
Virginia,ACC,38,7.8333,6.4256,4.7924,0.0658,0.0178,0.048,0.7314,38,7.8333,6.4604,4.8205,0.0655,0.0135,0.052,0.7397,-0.03479999999999972,-0.028100000000000236,0.0002999999999999947,0.0043
Pittsburgh,ACC,39,7.7,5.8509,4.3902,0.0349,0.0098,0.0251,0.5993,39,7.7,5.8325,4.3717,0.0348,0.0101,0.0247,0.5896,0.018400000000000638,0.018500000000000405,0.00010000000000000286,-0.0002999999999999999
Arizona State,B12,40,6.6333,4.9916,4.0618,0.0203,0.0033,0.017,0.3612,40,6.6333,4.9841,4.0492,0.0193,0.0036,0.0156,0.3613,0.007500000000000284,0.012599999999999945,0.0009999999999999974,-0.0002999999999999999
Georgia Tech,ACC,44,5.3333,4.9861,3.9713,0.0154,0.0037,0.0117,0.3658,44,5.3333,5.0046,3.9967,0.0162,0.0036,0.0126,0.368,-0.018499999999999517,-0.02540000000000031,-0.0007999999999999986,0.00010000000000000026
Duke,ACC,53,3.7,5.6404,4.433,0.0305,0.0054,0.0251,0.5373,53,3.7,5.6485,4.4374,0.0319,0.0074,0.0245,0.5402,-0.008100000000000662,-0.004400000000000404,-0.0013999999999999985,-0.002
Minnesota,B1G,50,4.6333,4.9885,3.4127,0.0012,0.0,0.0012,0.3596,50,4.6333,4.9843,3.4097,0.0011,0.0,0.0011,0.3555,0.0041999999999999815,0.0030000000000001137,9.999999999999983e-05,0.0
UCLA,B1G,51,4.6,5.9202,3.8191,0.0008,0.0,0.0008,0.6105,51,4.6,5.9174,3.8261,0.0014,0.0001,0.0013,0.6106,0.00280000000000058,-0.006999999999999673,-0.0006,-0.0001
Arkansas,SEC,49,4.7,3.062,1.9808,0.0001,0.0,0.0001,0.0351,49,4.7,3.066,1.9727,0.0003,0.0,0.0003,0.0362,-0.0040000000000000036,0.008099999999999996,-0.00019999999999999998,0.0
NC State,ACC,47,4.9333,6.114,4.8502,0.0623,0.0102,0.0521,0.6563,47,4.9333,6.1217,4.8621,0.0638,0.0129,0.0509,0.6579,-0.007699999999999818,-0.0118999999999998,-0.0014999999999999944,-0.0026999999999999993
Northwestern,B1G,54,3.6,4.3825,2.7231,0.0,0.0,0.0,0.1919,54,3.6,4.3686,2.7238,0.0001,0.0,0.0001,0.1912,0.013900000000000468,-0.000700000000000145,-0.0001,0.0
Baylor,B12,45,5.2,4.9158,3.7283,0.0119,0.0017,0.0102,0.3447,45,5.2,4.9102,3.7285,0.0101,0.0017,0.0084,0.3426,0.005600000000000271,-0.00019999999999997797,0.0018000000000000013,0.0
Cincinnati,B12,57,3.0667,4.7497,3.3341,0.0083,0.0014,0.0069,0.3077,57,3.0667,4.7683,3.3518,0.0091,0.0013,0.0077,0.3086,-0.018600000000000172,-0.01770000000000005,-0.0008000000000000004,0.00010000000000000005
Mississippi State,SEC,48,4.8,3.3558,1.9736,0.0002,0.0,0.0002,0.0531,48,4.8,3.3671,1.9839,0.0002,0.0,0.0002,0.0559,-0.01130000000000031,-0.010299999999999976,0.0,0.0
Kentucky,SEC,41,6.0333,3.0861,1.7854,0.0002,0.0,0.0002,0.035,41,6.0333,3.0931,1.7989,0.0001,0.0,0.0001,0.0372,-0.007000000000000117,-0.013499999999999845,0.0001,0.0
Maryland,B1G,60,2.5667,4.8017,3.5723,0.0007,0.0001,0.0006,0.314,60,2.5667,4.8161,3.5853,0.0011,0.0,0.0011,0.3207,-0.014399999999999302,-0.013000000000000345,-0.0004000000000000001,0.0001
North Carolina,ACC,55,3.6,4.2869,3.0246,0.0044,0.001,0.0034,0.1981,55,3.6,4.2787,3.0225,0.0056,0.0011,0.0045,0.198,0.00820000000000043,0.0020999999999999908,-0.0011999999999999997,-0.00010000000000000005
California,ACC,58,2.8667,5.0231,4.0168,0.0215,0.0029,0.0186,0.3787,58,2.8667,5.0422,4.033,0.0225,0.0036,0.0189,0.3837,-0.019099999999999895,-0.016200000000000436,-0.0010000000000000009,-0.0007000000000000001
Kansas,B12,52,3.9667,4.6563,3.3862,0.0075,0.0007,0.0068,0.2788,52,3.9667,4.6357,3.3681,0.0082,0.001,0.0072,0.2725,0.02059999999999995,0.018100000000000005,-0.000700000000000001,-0.00030000000000000003
Wake Forest,ACC,56,3.1333,5.1758,3.5588,0.0132,0.0022,0.011,0.4087,56,3.1333,5.1674,3.5539,0.0142,0.0024,0.0117,0.4053,0.008399999999999963,0.0049000000000001265,-0.0010000000000000009,-0.00019999999999999966
UNLV,MW,63,1.2667,8.9582,6.0149,0.6825,0.458,0.2245,0.9901,63,1.2667,8.9176,5.9831,0.6782,0.4437,0.2345,0.9891,0.040599999999999525,0.031799999999999606,0.0042999999999999705,0.014300000000000035
Central Florida,B12,59,2.5667,4.9523,3.6388,0.0084,0.0006,0.0078,0.3571,59,2.5667,4.951,3.6383,0.0103,0.001,0.0093,0.3514,0.001300000000000523,0.0004999999999997229,-0.0019000000000000006,-0.0004000000000000001
Rutgers,B1G,64,0.8,4.2643,2.7319,0.0,0.0,0.0,0.1853,64,0.8,4.2449,2.7191,0.0004,0.0,0.0004,0.182,0.019400000000000084,0.012799999999999923,-0.0004,0.0
Wisconsin,B1G,46,5.0,4.3111,3.364,0.0005,0.0,0.0005,0.1932,46,5.0,4.3359,3.3837,0.0007,0.0,0.0007,0.1993,-0.024799999999999933,-0.019700000000000273,-0.00019999999999999998,0.0
Navy,American,65,0.4333,7.3346,6.1655,0.5765,0.3529,0.2236,0.9139,65,0.4333,7.3202,6.15,0.5759,0.3595,0.2164,0.912,0.01440000000000019,0.015499999999999403,0.0006000000000000449,-0.006599999999999995
Iowa State,B12,68,0.0333,4.1143,3.0826,0.0029,0.0001,0.0028,0.1634,68,0.0333,4.1395,3.1091,0.0041,0.0004,0.0037,0.173,-0.02519999999999989,-0.026500000000000412,-0.0012000000000000005,-0.00030000000000000003
Colorado,B12,62,1.3333,3.4505,2.8014,0.0034,0.0006,0.0028,0.0886,62,1.3333,3.4795,2.8118,0.0024,0.0003,0.0021,0.0917,-0.028999999999999915,-0.010399999999999743,0.001,0.0003
West Virginia,B12,61,1.8333,4.2219,2.9725,0.0011,0.0001,0.001,0.1898,61,1.8333,4.231,2.9872,0.0022,0.0001,0.0021,0.1851,-0.009100000000000108,-0.014699999999999935,-0.0011,0.0
Michigan State,B1G,67,0.1333,4.2909,2.5403,0.0002,0.0,0.0002,0.1863,67,0.1333,4.2903,2.5394,0.0001,0.0,0.0001,0.1889,0.0005999999999994898,0.0008999999999996788,0.0001,0.0
New Mexico,MW,75,-2.0333,7.0233,5.2484,0.4486,0.2107,0.2379,0.8646,75,-2.0333,7.0188,5.2505,0.4456,0.209,0.2366,0.8627,0.0045000000000001705,-0.0020999999999995467,0.0030000000000000027,0.001700000000000007
Syracuse,ACC,69,-0.5667,3.519,2.7445,0.003,0.0001,0.0029,0.0854,69,-0.5667,3.5033,2.7275,0.003,0.0003,0.0027,0.0847,0.01570000000000027,0.016999999999999904,0.0,-0.00019999999999999998
Memphis,American,71,-1.5,6.5889,5.2815,0.3055,0.1533,0.1522,0.7806,71,-1.5,6.5508,5.2343,0.2956,0.1527,0.1429,0.77,0.03810000000000002,0.04720000000000013,0.00990000000000002,0.0005999999999999894
San Diego State,PAC12,66,0.4,6.0761,4.512,0.3514,0.1287,0.2227,0.6455,66,0.4,6.07,4.5062,0.3479,0.1101,0.2378,0.6473,0.006099999999999994,0.005799999999999805,0.003500000000000003,0.018600000000000005
North Dakota State,MW,84,-4.1667,7.708,5.2042,0.0,0.0,0.0,0.9479,84,-4.1667,7.6801,5.1845,0.0,0.0,0.0,0.9466,0.027899999999999814,0.019700000000000273,0.0,0.0
Boston College,ACC,81,-3.4667,2.8453,2.0869,0.0002,0.0,0.0002,0.0315,81,-3.4667,2.8237,2.0558,0.0002,0.0,0.0002,0.0285,0.02159999999999984,0.031099999999999905,0.0,0.0
UTSA,American,79,-2.7667,6.6228,5.3028,0.254,0.1188,0.1352,0.7803,79,-2.7667,6.6527,5.3369,0.2979,0.1488,0.1491,0.7879,-0.029900000000000482,-0.034099999999999575,-0.043899999999999995,-0.029999999999999985
Stanford,ACC,78,-2.7333,2.602,2.0002,0.0011,0.0,0.0011,0.0216,78,-2.7333,2.606,1.9961,0.0004,0.0001,0.0003,0.0183,-0.0040000000000000036,0.0040999999999999925,0.0007000000000000001,-0.0001
East Carolina,American,77,-2.1,6.9543,5.5343,0.2808,0.1341,0.1467,0.8571,77,-2.1,6.9418,5.5286,0.2819,0.1284,0.1535,0.8538,0.012500000000000178,0.005700000000000038,-0.0010999999999999899,0.005700000000000011
James Madison,Sun Belt,72,-1.8667,7.0593,5.959,0.5048,0.3463,0.1585,0.873,72,-1.8667,7.0902,5.9676,0.5128,0.3486,0.1642,0.8795,-0.030899999999999928,-0.008600000000000385,-0.008000000000000007,-0.0023000000000000242
Fresno State,PAC12,70,-0.9333,6.9707,4.3146,0.2782,0.1014,0.1768,0.8375,70,-0.9333,6.9684,4.3141,0.2759,0.0833,0.1926,0.8373,0.0022999999999999687,0.0005000000000006111,0.0023000000000000242,0.018100000000000005
Air Force,MW,87,-5.5333,7.1717,5.4101,0.3967,0.1572,0.2395,0.8734,87,-5.5333,7.1853,5.4266,0.4496,0.2065,0.2431,0.8753,-0.01359999999999939,-0.016499999999999737,-0.0529,-0.04929999999999998
South Florida,American,75,-2.0333,7.1922,4.6464,0.158,0.0715,0.0865,0.8833,75,-2.0333,7.2026,4.6538,0.1493,0.0668,0.0825,0.8816,-0.010400000000000631,-0.007400000000000517,0.008700000000000013,0.004699999999999996
Miami-OH,MAC,91,-6.8333,7.7542,6.4612,0.7176,0.4192,0.2984,0.9558,91,-6.8333,7.762,6.4674,0.7322,0.5253,0.2068,0.9561,-0.007799999999999585,-0.006199999999999761,-0.014599999999999946,-0.10609999999999997
Purdue,B1G,73,-1.9667,2.1629,1.7851,0.0,0.0,0.0,0.0069,73,-1.9667,2.1451,1.7643,0.0,0.0,0.0,0.0055,0.01780000000000026,0.02079999999999993,0.0,0.0
Army,American,80,-3.2667,6.1529,4.6496,0.1385,0.061,0.0775,0.6616,80,-3.2667,6.1664,4.6699,0.1468,0.0613,0.0855,0.6607,-0.013500000000000512,-0.020299999999999763,-0.008300000000000002,-0.00030000000000000165
Hawaii,MW,85,-4.2,7.5044,5.0615,0.3469,0.1495,0.1974,0.9132,85,-4.2,7.5137,5.0831,0.3039,0.1148,0.1891,0.9177,-0.009299999999999642,-0.021600000000000286,0.04299999999999998,0.034699999999999995
Washington State,PAC12,82,-3.6667,4.1219,3.791,0.1647,0.0477,0.117,0.1725,82,-3.6667,4.1057,3.7731,0.1574,0.0382,0.1192,0.169,0.016200000000000436,0.017900000000000027,0.007300000000000001,0.009500000000000001
Western Kentucky,CUSA,89,-6.2,6.9073,6.2331,0.6443,0.3731,0.2712,0.8815,89,-6.2,6.9244,6.2494,0.6487,0.3777,0.271,0.8889,-0.017100000000000115,-0.016299999999999315,-0.0044000000000000705,-0.004599999999999993
Tulane,American,74,-2.0,6.6594,4.7111,0.1491,0.0701,0.079,0.791,74,-2.0,6.6474,4.6988,0.1154,0.0451,0.0703,0.7908,0.011999999999999567,0.012299999999999756,0.03370000000000001,0.024999999999999994
Old Dominion,Sun Belt,86,-4.9333,6.4081,5.2523,0.283,0.1567,0.1263,0.7309,86,-4.9333,6.3747,5.2357,0.2777,0.1419,0.1359,0.7241,0.03340000000000032,0.016600000000000392,0.005299999999999971,0.014800000000000008
Texas State,PAC12,83,-4.0667,4.8152,3.6402,0.1226,0.0344,0.0882,0.3203,83,-4.0667,4.8081,3.6389,0.1253,0.0264,0.0989,0.3204,0.007100000000000328,0.0013000000000000789,-0.002699999999999994,0.008
Troy,Sun Belt,92,-7.0333,6.5089,5.0099,0.2156,0.0999,0.1157,0.7703,92,-7.0333,6.5188,5.0226,0.2182,0.1042,0.114,0.7727,-0.00990000000000002,-0.012699999999999712,-0.002599999999999991,-0.004299999999999998
Oregon State,PAC12,96,-8.1333,4.5258,3.5771,0.1168,0.0202,0.0966,0.2512,96,-8.1333,4.5193,3.5688,0.118,0.0249,0.0931,0.2468,0.00649999999999995,0.008300000000000196,-0.0011999999999999927,-0.004699999999999999
Liberty,CUSA,93,-7.5333,7.766,6.11,0.5703,0.3106,0.2597,0.9663,93,-7.5333,7.7635,6.1068,0.5687,0.3089,0.2598,0.9644,0.002500000000000391,0.0032000000000005357,0.0016000000000000458,0.0016999999999999793
Marshall,Sun Belt,95,-8.0,6.9853,5.1656,0.2105,0.0949,0.1156,0.8744,95,-8.0,6.9791,5.1582,0.208,0.0978,0.1102,0.875,0.006199999999999761,0.007400000000000517,0.0025000000000000022,-0.0029
Florida Atlantic,American,101,-9.0333,5.2748,3.5955,0.0427,0.0122,0.0305,0.4369,101,-9.0333,5.2792,3.5962,0.0403,0.0124,0.028,0.4397,-0.004400000000000404,-0.000700000000000145,0.0023999999999999994,-0.0001999999999999988
Western Michigan,MAC,90,-6.5,6.1281,5.2742,0.3742,0.2066,0.1676,0.676,90,-6.5,6.165,5.3026,0.372,0.1826,0.1894,0.6854,-0.036900000000000155,-0.028399999999999537,0.0021999999999999797,0.023999999999999994
Tulsa,American,98,-8.9667,5.2038,3.9653,0.0423,0.0112,0.0311,0.4072,98,-8.9667,5.1984,3.9701,0.0433,0.0128,0.0305,0.4098,0.005399999999999849,-0.0047999999999999154,-0.0010000000000000009,-0.0016000000000000007
Jacksonville State,CUSA,98,-8.9667,7.1488,5.7091,0.3349,0.1488,0.1861,0.8898,98,-8.9667,7.1366,5.6934,0.3378,0.1502,0.1876,0.8852,0.012199999999999989,0.015700000000000713,-0.0029000000000000137,-0.0014000000000000123
Utah State,PAC12,88,-6.0667,3.4701,2.8511,0.0487,0.0117,0.037,0.0726,88,-6.0667,3.4825,2.8605,0.0504,0.0099,0.0405,0.0793,-0.012399999999999967,-0.009399999999999853,-0.0017000000000000001,0.0017999999999999995
Colorado State,PAC12,106,-10.4667,3.8054,2.883,0.0498,0.0092,0.0406,0.13,106,-10.4667,3.8139,2.8977,0.053,0.0098,0.0432,0.1323,-0.00849999999999973,-0.014699999999999935,-0.0032000000000000015,-0.0005999999999999998
Louisiana Tech,Sun Belt,97,-8.8333,5.3266,4.7733,0.1607,0.0645,0.0962,0.4554,97,-8.8333,5.3465,4.7821,0.1598,0.0658,0.094,0.4577,-0.019899999999999807,-0.008799999999999919,0.0009000000000000119,-0.0012999999999999956
Arkansas State,Sun Belt,104,-9.5667,6.2662,5.3069,0.2101,0.0814,0.1287,0.7094,104,-9.5667,6.2707,5.3178,0.2102,0.0847,0.1255,0.7127,-0.004499999999999282,-0.010900000000000354,-9.999999999998899e-05,-0.0032999999999999974
Temple,American,103,-9.4,5.1041,3.8933,0.0314,0.0086,0.0228,0.3804,103,-9.4,5.1298,3.9005,0.0324,0.0087,0.0236,0.386,-0.0257000000000005,-0.007200000000000095,-0.0010000000000000009,-9.99999999999994e-05
Georgia Southern,Sun Belt,105,-9.7667,4.947,4.3682,0.0982,0.0399,0.0583,0.3538,105,-9.7667,4.946,4.3697,0.1057,0.0456,0.0602,0.352,0.001000000000000334,-0.0015000000000000568,-0.007500000000000007,-0.005700000000000004
Louisiana,Sun Belt,102,-9.2333,7.1127,5.3626,0.2296,0.0892,0.1404,0.8844,102,-9.2333,7.1007,5.3467,0.218,0.0849,0.133,0.8825,0.012000000000000455,0.01589999999999936,0.0116,0.004299999999999998
Kennesaw State,CUSA,108,-10.8333,6.7206,5.403,0.2969,0.1157,0.1812,0.8344,108,-10.8333,6.7031,5.3831,0.2943,0.121,0.1733,0.8282,0.01750000000000007,0.019899999999999807,0.002599999999999991,-0.005299999999999999
Wyoming,MW,113,-12.0,5.217,3.6413,0.0764,0.0164,0.06,0.4263,113,-12.0,5.2029,3.6324,0.0759,0.0181,0.0578,0.4201,0.014100000000000001,0.00890000000000013,0.0005000000000000004,-0.0017000000000000001
Connecticut,Independent,111,-11.1,4.1681,0.0,0.0,0.0,0.0,0.1687,111,-11.1,4.1613,0.0,0.0,0.0,0.0,0.1665,0.006800000000000139,0.0,0.0,0.0
Toledo,MAC,94,-7.7,6.1377,5.182,0.2692,0.1441,0.1251,0.6645,94,-7.7,6.1274,5.1845,0.267,0.0914,0.1755,0.6657,0.010299999999999976,-0.0024999999999995026,0.0021999999999999797,0.05270000000000001
North Texas,American,98,-8.9667,4.2042,3.7302,0.0175,0.0057,0.0118,0.1613,98,-8.9667,4.2325,3.7451,0.0178,0.0032,0.0147,0.168,-0.02829999999999977,-0.014899999999999913,-0.0002999999999999982,0.0025
Buffalo,MAC,115,-13.0667,5.2394,4.7235,0.1637,0.0596,0.1041,0.4242,115,-13.0667,5.2156,4.7017,0.1695,0.0595,0.11,0.4239,0.0237999999999996,0.02179999999999982,-0.0058,0.00010000000000000286
Appalachian State,Sun Belt,110,-10.9333,5.1209,3.9144,0.0364,0.012,0.0244,0.3793,110,-10.9333,5.1403,3.9274,0.0383,0.0122,0.0261,0.3884,-0.019400000000000084,-0.0129999999999999,-0.001899999999999999,-0.00020000000000000052
Nevada,MW,118,-14.0667,4.3392,3.0959,0.0334,0.0065,0.0269,0.1955,118,-14.0667,4.3518,3.1075,0.0314,0.0058,0.0256,0.2049,-0.012599999999999945,-0.011600000000000055,0.0020000000000000018,0.0007000000000000001
Central Michigan,MAC,114,-12.6,5.0925,4.4457,0.122,0.0462,0.0758,0.3918,114,-12.6,5.1036,4.4533,0.1234,0.0437,0.0797,0.3925,-0.011099999999999888,-0.007599999999999163,-0.0013999999999999985,0.0024999999999999953
