game_id,week,away_team,home_team,model_id,availability_status,present_components,required_components,provider_range,provider_stddev
g161,2,Tulsa,Sam Houston,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,9.300000000000002,3.525290768149488
g164,2,California,Syracuse,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.580000000000001,1.3308174179803933
g166,2,Penn State,Temple,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,7.439999999999998,2.8244778278471214
g167,2,Ohio State,Texas,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,6.570000000000004,2.794623185690695
g168,2,Arizona State,Texas A&M,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.4800000000000004,1.2550199201606325
g169,2,UTSA,Texas State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.4,2.187297133450322
g172,2,South Alabama,Tulane,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,6.010000000000003,2.726906443206295
g173,2,UL-Monroe,UAB,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,4.599999999999998,1.6570078454853494
g174,2,San Diego State,UCLA,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,7.999999999999999,3.5714562856067533
g175,2,Louisiana,USC,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,6.310000000000002,2.5527472945828382
g177,2,Arkansas,Utah,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,6.260000000000002,2.2575816707264442
g178,2,Delaware,Vanderbilt,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,14.619999999999994,5.176504612187647
g180,2,Old Dominion,Virginia Tech,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,19.23,7.590910271502358
g181,2,Utah State,Washington,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.599999999999998,2.0344040896537727
g186,3,Syracuse,Pittsburgh,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,8.97999999999999,3.6260274406021766
g187,3,Houston,Texas Tech,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,2.5700000000000003,1.0915213007541362
g188,3,Miami-FL,Wake Forest,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.5,2.087151168459055
g189,3,Florida State,Alabama,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.640000000000006,2.167325540845216
g190,3,Charlotte,Appalachian State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,15.5,5.886238187501419
g191,3,Northern Illinois,Arizona,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,7.599999999999998,3.0005499495925734
g192,3,Georgia,Arkansas,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,9.850000000000005,3.5819643702862276
g193,3,Florida,Auburn,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,6.099999999999992,2.4341322889276142
g194,3,Louisiana Tech,Baylor,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,6.240000000000002,2.2107238633533597
g198,3,Georgia State,Central Florida,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,11.309999999999999,4.516167484715331
g199,3,Wyoming,Central Michigan,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.84,1.529477034806342
g200,3,Miami-OH,Cincinnati,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,4.010000000000007,1.8858071879171545
g201,3,North Carolina,Clemson,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,6.349999999999996,2.5576783906503944
g202,3,BYU,Colorado State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,2.59,0.9310041621818882
g203,3,Coastal Carolina,Delaware,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,4.699999999999999,1.9497996691968118
g204,3,Stanford,Duke,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.8499999999999996,1.4028430952889919
g205,3,Florida International,Florida Atlantic,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,8.329999999999997,3.5020592156615504
g208,3,Western Kentucky,Indiana,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,9.399999999999999,3.8546984317842545
g210,3,Bowling Green,Iowa State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,9.479999999999995,3.6430344494665414
g211,3,Georgia Southern,Jacksonville State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.27,1.297851590128856
g212,3,Arizona State,Kansas,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,2.280000000000001,0.8364807230295271
g213,3,Tulane,Kansas State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,13.1,5.592126160951664
g214,3,Ball State,Liberty,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,9.2,3.6709944156862995
g215,3,UAB,Louisiana,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,2.489999999999995,0.9202003857856161
g216,3,SMU,Louisville,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,2.1100000000000048,0.816865196957247
g217,3,Virginia Tech,Maryland,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.340000000000012,1.2390722335683308
g220,3,UTEP,Michigan,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,8.299999999999997,3.327652137769209
