snapshot_date,season,source,team,raw_team,rank,rating,off_rating,def_rating,sos,source_url,pulled_at,notes
2026-05-12,2026,Sagarin,LIU Post AA,LIU Post AA,215.0,41.61,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Mercyhurst AA,Mercyhurst AA,227.0,38.62,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Merrimack AA,Merrimack AA,232.0,37.64,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Wagner AA,Wagner AA,241.0,35.81,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Stonehill College AA,Stonehill College AA,245.0,34.56,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Robert Morris AA,Robert Morris AA,247.0,34.2,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,New Haven AA,New Haven AA,250.0,33.69,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Saint Francis-Pa. AA,Saint Francis-Pa. AA,258.0,29.28,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Lehigh AA,Lehigh AA,116.0,59.01,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Lafayette AA,Lafayette AA,179.0,48.63,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Richmond AA,Richmond AA,195.0,45.68,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Holy Cross AA,Holy Cross AA,196.0,45.38,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Colgate AA,Colgate AA,212.0,42.52,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Georgetown AA,Georgetown AA,239.0,35.94,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Bucknell AA,Bucknell AA,244.0,35.13,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Fordham AA,Fordham AA,249.0,33.9,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,St. Thomas-Mn. AA,St. Thomas-Mn. AA,188.0,46.56,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Drake AA,Drake AA,194.0,45.71,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,San Diego AA,San Diego AA,197.0,45.36,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Presbyterian College AA,Presbyterian College AA,204.0,43.87,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Dayton AA,Dayton AA,218.0,40.8,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Butler AA,Butler AA,233.0,37.61,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Marist AA,Marist AA,243.0,35.52,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Morehead State AA,Morehead State AA,251.0,32.23,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Valparaiso AA,Valparaiso AA,262.0,26.25,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Davidson AA,Davidson AA,264.0,24.06,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Stetson AA,Stetson AA,265.0,23.22,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Mercer AA,Mercer AA,130.0,56.52,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Western Carolina AA,Western Carolina AA,154.0,51.53,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,East Tennessee State AA,East Tennessee State AA,160.0,50.83,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Wofford AA,Wofford AA,173.0,49.55,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Chattanooga AA,Chattanooga AA,203.0,43.95,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,The Citadel AA,The Citadel AA,206.0,43.5,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
