flag,reason,game_id,cfbd_game_id,week,date,away_team,home_team,neutral_site,away_power,home_power,home_hfa,hfa_used,stored_projected_margin_home,expected_margin_home,projection_diff_pts,stored_projected_spread,expected_projected_spread,market_spread,projected_total,market_total
OK,,g48,,1,2026-09-05,Liberty,James Madison,False,-8.473,1.017,2.7,2.7,12.19,12.190000000000001,-1.7763568394002505e-15,James Madison -12.2,James Madison -12.2,James Madison -6.5,54.45,52.5
OK,,g52,401856660,1,2026-09-05,Clemson,LSU,False,12.1145,18.0145,3.9,3.9,9.8,9.800000000000002,-1.7763568394002505e-15,LSU -9.8,LSU -9.8,LSU -11.5,45.75,50.5
OK,,g64,401864498,1,2026-09-05,Central Michigan,New Mexico,False,-12.428,-2.1405,0.9,0.9,11.1875,11.187500000000002,-1.7763568394002505e-15,New Mexico -11.2,New Mexico -11.2,New Mexico -12.5,49.35,48.5
OK,,g122,401862703,2,2026-09-12,Navy,Florida Atlantic,False,1.0895,-9.5155,1.8,1.8,-8.805,-8.804999999999998,-1.7763568394002505e-15,Navy -8.8,Navy -8.8,,58.4,
OK,,g133,401856781,2,2026-09-12,Washington State,Kansas State,False,-2.6455,8.392,3.8,3.8,14.8375,14.837499999999999,1.7763568394002505e-15,Kansas State -14.8,Kansas State -14.8,,50.55,
OK,,g173,401862708,2,2026-09-12,UL-Monroe,UAB,False,-20.268,-16.8055,3.8,3.8,7.2625,7.262500000000002,-1.7763568394002505e-15,UAB -7.3,UAB -7.3,,55.2,
OK,,g180,401858221,2,2026-09-12,Old Dominion,Virginia Tech,False,-2.2055,5.997,2.3,2.3,10.5025,10.502500000000001,-1.7763568394002505e-15,Virginia Tech -10.5,Virginia Tech -10.5,,49.05,
OK,,g190,401864574,3,2026-09-19,Charlotte,Appalachian State,False,-23.1705,-11.6805,1.8,1.8,13.29,13.290000000000001,-1.7763568394002505e-15,Appalachian State -13.3,Appalachian State -13.3,,53.75,
OK,,g201,401858229,3,2026-09-19,North Carolina,Clemson,False,1.9295,12.1145,2.5,2.5,12.685,12.684999999999999,1.7763568394002505e-15,Clemson -12.7,Clemson -12.7,,46.05,
OK,,g213,401856792,3,2026-09-19,Tulane,Kansas State,False,-0.3055,8.392,3.8,3.8,12.4975,12.497499999999999,1.7763568394002505e-15,Kansas State -12.5,Kansas State -12.5,,53.3,
OK,,g237,401858457,3,2026-09-19,USC,Rutgers,False,17.9595,1.0395,2.1,2.1,-14.82,-14.819999999999999,-1.7763568394002505e-15,USC -14.8,USC -14.8,,58.65,
OK,,g241,401860888,3,2026-09-19,Fresno State,San Jose State,False,-1.9905,-14.4105,2.5,2.5,-9.92,-9.920000000000002,1.7763568394002505e-15,Fresno State -9.9,Fresno State -9.9,,47.85,
OK,,g243,401856691,3,2026-09-19,Mississippi State,South Carolina,False,5.4545,11.5345,2.3,2.3,8.38,8.379999999999999,1.7763568394002505e-15,South Carolina -8.4,South Carolina -8.4,,52.55,
OK,,g263,401862778,4,2026-09-25,Navy,UAB,False,1.0895,-16.8055,3.8,3.8,-14.095,-14.094999999999999,-1.7763568394002505e-15,Navy -14.1,Navy -14.1,,56.45,
OK,,g265,401856696,4,2026-09-26,South Carolina,Alabama,False,11.5345,19.527,3.2,3.2,11.1925,11.192500000000003,-1.7763568394002505e-15,Alabama -11.2,Alabama -11.2,,46.1,
OK,,g271,401862785,4,2026-09-26,South Florida,Bowling Green,False,0.7595,-15.4455,1.5,1.5,-14.705,-14.704999999999998,-1.7763568394002505e-15,South Florida -14.7,South Florida -14.7,,50.35,
OK,,g274,401862780,4,2026-09-26,Louisiana,Charlotte,False,-9.8605,-23.1705,1.7,1.7,-11.61,-11.610000000000001,1.7763568394002505e-15,Louisiana -11.6,Louisiana -11.6,,55.9,
OK,,g283,401856700,4,2026-09-26,Oklahoma,Georgia,False,18.687,25.3895,1.8,1.8,8.5025,8.502500000000001,-1.7763568394002505e-15,Georgia -8.5,Georgia -8.5,,48.9,
OK,,g297,401858463,4,2026-09-26,Iowa,Michigan,False,13.6395,16.597,2.9,2.9,5.8575,5.857500000000002,-1.7763568394002505e-15,Michigan -5.9,Michigan -5.9,,48.3,
OK,,g320,401862782,4,2026-09-26,Florida Atlantic,UL-Monroe,False,-9.5155,-20.268,1.5,1.5,-9.2525,-9.252500000000001,1.7763568394002505e-15,Florida Atlantic -9.3,Florida Atlantic -9.3,,57.15,
OK,,g322,401860895,4,2026-09-26,Oregon State,UTEP,False,-9.153,-19.1955,2.5,2.5,-7.5425,-7.542499999999999,-1.7763568394002505e-15,Oregon State -7.5,Oregon State -7.5,,48.4,
OK,,g327,401856804,4,2026-09-26,Arizona,Washington State,False,9.372,-2.6455,3.3,3.3,-8.7175,-8.717500000000001,1.7763568394002505e-15,Arizona -8.7,Arizona -8.7,,48.65,
