season,team,conference,total_ppa,total_passing_ppa,total_receiving_ppa,total_rushing_ppa,percent_ppa,percent_passing_ppa,percent_receiving_ppa,percent_rushing_ppa,usage,passing_usage,receiving_usage,rushing_usage,year
2024,Alabama,SEC,303.8,140.9,70.9,92.0,0.602,1.009,0.303,0.699,0.547,0.946,0.268,0.404,2024
2024,App State,Sun Belt,503.6,201.9,238.0,63.6,0.879,0.966,0.82,0.859,0.792,0.971,0.768,0.64,2024
2024,Arizona,Pac-12,295.2,152.2,139.9,3.1,0.616,0.909,0.576,0.045,0.542,0.98,0.453,0.169,2024
2024,Arizona State,Pac-12,145.1,35.2,40.8,69.1,0.615,0.905,0.337,0.907,0.595,0.585,0.426,0.796,2024
2024,Arkansas,SEC,182.3,2.6,179.3,0.5,0.527,0.027,0.944,0.008,0.307,0.003,0.893,0.205,2024
2024,Arkansas State,Sun Belt,341.0,113.3,173.9,53.7,0.859,1.045,0.737,1.021,0.849,0.769,0.823,0.938,2024
2024,Army,FBS Independents,140.4,44.2,44.6,51.6,0.702,1.035,0.56,0.662,0.743,0.723,0.646,0.772,2024
2024,Auburn,SEC,233.5,55.2,80.8,97.6,0.712,1.047,0.494,0.872,0.845,0.921,0.607,0.903,2024
2024,Ball State,Mid-American,108.0,16.1,49.1,42.8,0.557,0.553,0.58,0.534,0.563,0.668,0.703,0.403,2024
2024,Baylor,Big 12,204.8,31.8,134.0,39.0,0.552,0.308,0.654,0.617,0.596,0.283,0.736,0.855,2024
2024,Boise State,Mountain West,249.8,78.2,103.7,67.8,0.5,0.562,0.437,0.548,0.486,0.377,0.383,0.611,2024
2024,Boston College,ACC,352.0,84.0,126.9,141.1,0.882,1.024,0.738,0.972,0.84,0.915,0.725,0.834,2024
2024,Bowling Green,Mid-American,246.8,101.3,74.7,70.8,0.66,0.969,0.43,0.741,0.721,0.972,0.319,0.782,2024
2024,Buffalo,Mid-American,38.1,5.6,13.9,18.6,0.141,0.067,0.096,0.455,0.168,0.056,0.119,0.301,2024
2024,BYU,Big 12,109.5,-12.7,98.6,23.6,0.564,-0.407,0.765,0.698,0.561,0.367,0.756,0.613,2024
2024,California,Pac-12,205.4,75.0,88.0,42.4,0.594,0.84,0.505,0.512,0.661,0.718,0.477,0.716,2024
2024,Central Michigan,Mid-American,174.4,17.6,127.1,29.7,0.518,0.174,0.833,0.357,0.519,0.025,0.801,0.702,2024
2024,Charlotte,American Athletic,134.6,10.4,108.9,15.3,0.623,0.575,0.721,0.328,0.545,0.607,0.692,0.424,2024
2024,Cincinnati,Big 12,121.2,-1.3,75.1,47.5,0.308,-0.016,0.389,0.399,0.33,0.095,0.45,0.452,2024
2024,Clemson,ACC,256.2,75.6,117.1,63.5,0.774,0.872,0.743,0.732,0.778,0.969,0.738,0.617,2024
2024,Coastal Carolina,Sun Belt,126.6,29.2,73.1,24.3,0.268,0.168,0.292,0.518,0.393,0.296,0.376,0.501,2024
2024,Colorado,Pac-12,287.1,138.8,134.5,13.9,0.665,0.994,0.502,0.567,0.621,0.992,0.414,0.232,2024
2024,Colorado State,Mountain West,306.5,163.8,151.7,-9.1,0.635,0.914,0.483,0.91,0.733,0.945,0.452,0.69,2024
2024,Duke,ACC,165.2,52.3,100.0,12.9,0.496,0.533,0.567,0.221,0.496,0.525,0.608,0.399,2024
