snapshot_date,season,team,conference,book,win_total,over_odds,under_odds,source_url,notes
2026-06-19,2026,Arizona,,DraftKings,4.5,-125.0,105.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Kansas,,DraftKings,6.5,130.0,-156.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK CO DK; best_under=DK CO DK
2026-06-19,2026,Kentucky,,DraftKings,2.5,110.0,-130.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Kentucky,,DraftKings,4.5,-125.0,105.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK CO DK; best_under=DK CO DK
2026-06-19,2026,Louisville,,DraftKings,5.5,-180.0,150.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Louisville,,DraftKings,7.5,-166.0,140.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK IN DK; best_under=DK IN DK
2026-06-19,2026,Miami-FL,,DraftKings,7.5,-180.0,150.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Miami-FL,,DraftKings,10.5,-110.0,-110.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK CO DK; best_under=DK CO DK
2026-06-19,2026,Michigan,,DraftKings,5.5,115.0,-136.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Michigan,,DraftKings,8.5,140.0,-180.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK CO DK; best_under=DK CO DK
2026-06-19,2026,Michigan St,,DraftKings,2.5,-120.0,100.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Michigan St,,DraftKings,4.5,130.0,-156.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK CO DK; best_under=DK CO DK
2026-06-19,2026,Minnesota,,DraftKings,3.5,100.0,-120.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Minnesota,,DraftKings,5.5,-150.0,125.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK CO DK; best_under=DK CO DK
2026-06-19,2026,Missouri,,DraftKings,4.5,120.0,-140.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Missouri,,DraftKings,6.5,-136.0,115.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK CO DK; best_under=DK CO DK
2026-06-19,2026,Nebraska,,DraftKings,3.5,-105.0,-115.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Nebraska,,DraftKings,6.5,115.0,-136.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK IN DK; best_under=DK IN DK
2026-06-19,2026,Ohio State,,DraftKings,7.5,115.0,-136.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Ohio State,,DraftKings,9.5,-166.0,140.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK CO DK; best_under=DK CO DK
2026-06-19,2026,Ole Miss,,DraftKings,5.5,130.0,-156.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Ole Miss,,DraftKings,7.5,-140.0,120.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK IN DK; best_under=DK IN DK
2026-06-19,2026,Pittsburgh,,DraftKings,5.5,115.0,-136.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Pittsburgh,,DraftKings,7.5,-146.0,125.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK IN DK; best_under=DK IN DK
2026-06-19,2026,SMU,,DraftKings,6.5,-115.0,-105.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,SMU,,DraftKings,8.5,-125.0,105.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK IN DK; best_under=DK IN DK
2026-06-19,2026,Syracuse,,DraftKings,2.5,-120.0,100.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Syracuse,,DraftKings,4.5,105.0,-125.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK CO DK; best_under=DK CO DK
2026-06-19,2026,Texas A&M,,DraftKings,5.5,-120.0,100.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Texas A&M,,DraftKings,8.5,100.0,-120.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK CO DK; best_under=DK CO DK
2026-06-19,2026,UCLA,,DraftKings,3.5,-150.0,125.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,UCLA,,DraftKings,6.5,110.0,-132.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK CO DK; best_under=DK CO DK
2026-06-19,2026,Utah,,DraftKings,6.5,110.0,-130.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Utah,,DraftKings,8.5,-150.0,125.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK CO DK; best_under=DK CO DK
2026-06-19,2026,Washington,,DraftKings,5.5,134.0,-170.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Washington,,DraftKings,7.5,-170.0,140.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK IN DK; best_under=DK IN DK
2026-06-19,2026,West Virginia,,DraftKings,3.5,100.0,-130.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,West Virginia,,DraftKings,5.5,-150.0,125.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK CO DK; best_under=DK CO DK
2026-06-19,2026,Wisconsin,,DraftKings,4.5,120.0,-146.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Wisconsin,,DraftKings,6.5,-105.0,-115.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK IN DK; best_under=DK IN DK
